file_path,Storage,Common,E2E,Client,best_module,best_likelihood
src\client\java\teammates\client\scripts\DataMigrationForTextQuestionDetailsFormat.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForUnencryptedKeyForInstructors.java,5.00,5.00,0.00,90.00,Client,90.00
src\client\java\teammates\client\scripts\GenerateUsageStatisticsObjects.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForUnencryptedKeyForStudents.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\TeamEvalResultCalculations.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\SingleAccountGoogleIdMigrationScript.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\MockCourseWithLargeResponseScript.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\package-info.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\PopulateCourseSearchDocuments.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\util\LoopHelper.java,0.00,10.00,0.00,90.00,Client,90.00
src\client\java\teammates\client\util\ClientProperties.java,0.00,10.00,0.00,90.00,Client,90.00
src\client\java\teammates\client\util\package-info.java,0.00,5.00,0.00,95.00,Client,95.00
src\client\java\teammates\client\util\BackDoor.java,0.00,10.00,80.00,10.00,E2E,80.00
src\e2e\java\teammates\e2e\cases\axe\InstructorCoursesPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorCourseEnrollPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\AdminNotificationsPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\AdminHomePageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorCourseJoinConfirmationPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\FeedbackSubmitPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorCourseEditPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\AdminSessionsPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\AdminSearchPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorCourseDetailsPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\FeedbackResultsPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\AdminAccountsPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorFeedbackSessionsPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorCourseStudentDetailsPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorFeedbackEditPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorFeedbackReportPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorCourseStudentDetailsEditPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorSearchPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorStudentActivityLogsPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorStudentListPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorSessionIndividualExtensionPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorNotificationsPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorStudentRecordsPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\InstructorHomePageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\StudentCourseDetailsPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\package-info.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\StudentHomePageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\StudentNotificationsPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\axe\StudentCourseJoinConfirmationPageAxeTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\AutomatedSessionRemindersE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\AdminNotificationsPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\AdminAccountsPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\FeedbackMcqQuestionE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\BaseFeedbackQuestionE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\AdminSessionsPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\AdminSearchPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\BaseE2ETestCase.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\FeedbackConstSumRecipientQuestionE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\AdminHomePageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\FeedbackConstSumOptionQuestionE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\FeedbackContributionQuestionE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\FeedbackMsqQuestionE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\FeedbackNumScaleQuestionE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\FeedbackTextQuestionE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\FeedbackRankRecipientQuestionE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\FeedbackRubricQuestionE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorCourseEnrollPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\FeedbackResultsPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\FeedbackSubmitPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\FeedbackRankOptionQuestionE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorCourseDetailsPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorCourseEditPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorCourseJoinConfirmationPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorCourseStudentDetailsEditPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorCourseStudentDetailsPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorCoursesPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorFeedbackEditPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorFeedbackSessionsPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorNotificationsPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorHomePageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorFeedbackReportPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorSearchPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorSessionIndividualExtensionPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorStudentActivityLogsPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorStudentListPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\InstructorStudentRecordsPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\NotificationBannerE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\package-info.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\StudentHomePageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\StudentCourseDetailsPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\StudentCourseJoinConfirmationPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\StudentNotificationsPageE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\TimezoneSyncerTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\cases\SystemErrorEmailReportE2ETest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\AdminHomePage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\ErrorReportingModal.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\AdminAccountsPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\AppPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\DevServerLoginPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\AdminSessionsPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\AdminTimezonePage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\FeedbackResultsPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\AdminSearchPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\Browser.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\CourseJoinConfirmationPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\AdminNotificationsPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\IanaTimezonePage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\FeedbackSubmitPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\HomePage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorCourseDetailsPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorFeedbackSessionsPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorCoursesPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorCourseEnrollPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorFeedbackEditPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorFeedbackResultsPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorCourseEditPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorCourseStudentDetailsEditPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorCourseStudentDetailsViewPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorNotificationsPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorHomePage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\StudentCourseDetailsPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorSearchPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\StudentNotificationsPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorStudentListPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorStudentRecordsPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorSessionIndividualExtensionPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\StudentHomePage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\InstructorStudentActivityLogsPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\UserNotificationsPage.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\pageobjects\package-info.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\util\TestProperties.java,0.00,5.00,95.00,0.00,E2E,95.00
src\e2e\java\teammates\e2e\util\MaximumRetriesExceededException.java,0.00,5.00,95.00,0.00,E2E,95.00
src\e2e\java\teammates\e2e\util\BackDoor.java,0.00,5.00,95.00,0.00,E2E,95.00
src\e2e\java\teammates\e2e\util\package-info.java,0.00,10.00,90.00,0.00,E2E,90.00
src\e2e\java\teammates\e2e\util\EmailAccountTest.java,0.00,5.00,95.00,0.00,E2E,95.00
src\e2e\java\teammates\e2e\util\EmailAccount.java,0.00,5.00,95.00,0.00,E2E,95.00
src\e2e\java\teammates\e2e\util\Retryable.java,0.00,5.00,95.00,0.00,E2E,95.00
src\e2e\java\teammates\e2e\util\GmailServiceMaker.java,0.00,5.00,95.00,0.00,E2E,95.00
src\e2e\java\teammates\e2e\util\RetryManager.java,0.00,10.00,90.00,0.00,E2E,90.00
src\e2e\java\teammates\e2e\util\AxeUtil.java,0.00,5.00,95.00,0.00,E2E,95.00
src\e2e\java\teammates\e2e\util\TestDataValidityTest.java,0.00,0.00,100.00,0.00,E2E,100.00
src\e2e\java\teammates\e2e\util\TestNgXmlTest.java,0.00,5.00,95.00,0.00,E2E,95.00
src\e2e\java\teammates\e2e\util\TestPropertiesTest.java,0.00,5.00,95.00,0.00,E2E,95.00
src\main\java\teammates\common\datatransfer\attributes\AccountRequestAttributes.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\attributes\AccountAttributes.java,5.00,98.00,0.00,2.00,Common,98.00
src\main\java\teammates\common\datatransfer\attributes\FeedbackResponseCommentAttributes.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\attributes\EntityAttributes.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\attributes\CourseAttributes.java,5.00,98.00,0.00,2.00,Common,98.00
src\main\java\teammates\common\datatransfer\attributes\package-info.java,2.00,96.00,1.00,1.00,Common,96.00
src\main\java\teammates\common\datatransfer\attributes\DeadlineExtensionAttributes.java,0.00,99.00,0.00,1.00,Common,99.00
src\main\java\teammates\common\datatransfer\attributes\FeedbackResponseAttributes.java,5.00,98.00,1.00,2.00,Common,98.00
src\main\java\teammates\common\datatransfer\attributes\FeedbackSessionAttributes.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\attributes\FeedbackQuestionAttributes.java,5.00,98.00,0.00,0.00,Common,98.00
src\main\java\teammates\common\datatransfer\attributes\InstructorAttributes.java,0.00,99.00,0.00,1.00,Common,99.00
src\main\java\teammates\common\datatransfer\attributes\NotificationAttributes.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\attributes\UsageStatisticsAttributes.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\attributes\StudentAttributes.java,0.00,99.00,0.00,1.00,Common,99.00
src\main\java\teammates\common\datatransfer\logs\FeedbackSessionAuditLogDetails.java,0.00,99.00,0.00,1.00,Common,99.00
src\main\java\teammates\common\datatransfer\logs\FeedbackSessionLogType.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\logs\package-info.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\logs\EmailSentLogDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\logs\DefaultLogDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\logs\InstanceLogDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\logs\GeneralLogEntry.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\logs\LogSeverity.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\logs\ExceptionLogDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\logs\LogDetails.java,0.00,98.00,0.00,2.00,Common,98.00
src\main\java\teammates\common\datatransfer\logs\LogEvent.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\logs\QueryLogsParams.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\logs\SourceLocation.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\logs\RequestLogUser.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\logs\RequestLogDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackMsqResponseDetails.java,0.00,99.00,0.00,1.00,Common,99.00
src\main\java\teammates\common\datatransfer\questions\FeedbackConstantSumResponseDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackNumericalScaleQuestionDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackMcqResponseDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackConstantSumDistributePointsType.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackQuestionDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackContributionResponseDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackMcqQuestionDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackNumericalScaleResponseDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackContributionQuestionDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackMsqQuestionDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackConstantSumQuestionDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackRankQuestionDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackQuestionType.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackRankRecipientsResponseDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackRankOptionsQuestionDetails.java,0.00,99.00,0.00,1.00,Common,99.00
src\main\java\teammates\common\datatransfer\questions\FeedbackRubricResponseDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackRubricQuestionDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackRankOptionsResponseDetails.java,0.00,99.00,0.00,1.00,Common,99.00
src\main\java\teammates\common\datatransfer\questions\FeedbackRankRecipientsQuestionDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackResponseDetails.java,2.00,98.00,0.00,0.00,Common,98.00
src\main\java\teammates\common\datatransfer\questions\FeedbackTextQuestionDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\package-info.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\questions\FeedbackTextResponseDetails.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\FeedbackResultFetchType.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\FeedbackSessionLogEntry.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\AttributesDeletionQuery.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\ErrorLogEntry.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\InstructorPrivileges.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\CourseRoster.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\DataBundle.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\InstructorPrivilegesLegacy.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\InstructorPermissionSet.java,1.00,98.00,0.00,1.00,Common,98.00
src\main\java\teammates\common\datatransfer\FeedbackQuestionRecipient.java,0.00,99.00,0.00,1.00,Common,99.00
src\main\java\teammates\common\datatransfer\NotificationStyle.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\FeedbackParticipantType.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\NotificationTargetUser.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\package-info.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\UserInfo.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\QueryLogsResults.java,5.00,95.00,0.00,0.00,Common,95.00
src\main\java\teammates\common\datatransfer\UserInfoCookie.java,0.00,100.00,0.00,0.00,Common,100.00
src\main\java\teammates\common\datatransfer\SessionResultsBundle.java,0.00,99.00,0.00,1.00,Common,99.00
src\main\java\teammates\common\datatransfer\TeamEvalResult.java,0.00,98.00,0.00,2.00,Common,98.00
