file_path,DistributedCameraSourceMgr,DistributedCameraSinkMgr,ChannelSource,ChannelSink,CameraDataProcessCommon,CameraDataPreProcess,CameraDataPostProcess,CameraServiceCommon,VirtualCameraHdf,utils,best_module,best_likelihood
services\cameraservice\base\src\dcamera_event_cmd.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,CameraServiceCommon,85.00
services\cameraservice\base\src\dcamera_metadata_setting_cmd.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,CameraServiceCommon,85.00
services\cameraservice\base\src\dcamera_channel_info_cmd.cpp,0.00,0.00,75.00,10.00,0.00,0.00,0.00,15.00,0.00,0.00,ChannelSource,75.00
services\cameraservice\base\src\dcamera_info_cmd.cpp,0.00,0.00,70.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,ChannelSource,70.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_session_callback.h,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_input_callback.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,CameraServiceCommon,70.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_manager_callback.h,15.00,10.00,0.00,0.00,0.00,0.00,0.00,70.00,3.00,2.00,CameraServiceCommon,70.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_photo_callback.h,85.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,20.00,DistributedCameraSourceMgr,85.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_preview_callback.h,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,80.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_video_callback.h,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,40.00
services\cameraservice\cameraoperator\client\include\listener\dcamera_video_surface_listener.h,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,60.00
services\cameraservice\cameraoperator\client\include\listener\dcamera_photo_surface_listener.h,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
services\cameraservice\cameraoperator\client\include\dcamera_client.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,utils,85.00
services\cameraservice\cameraoperator\client\include\icamera_operator.h,60.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,10.00,DistributedCameraSourceMgr,60.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_video_callback.cpp,10.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,utils,85.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_session_callback.cpp,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,80.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_photo_callback.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_input_callback.cpp,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,70.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_manager_callback.cpp,20.00,20.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,10.00,CameraServiceCommon,50.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_preview_callback.cpp,80.00,75.00,20.00,15.00,10.00,5.00,5.00,70.00,0.00,85.00,utils,85.00
services\cameraservice\cameraoperator\client\src\listener\dcamera_photo_surface_listener_common.cpp,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,85.00
services\cameraservice\cameraoperator\client\src\listener\dcamera_photo_surface_listener.cpp,0.00,85.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,5.00,DistributedCameraSinkMgr,85.00
services\cameraservice\cameraoperator\client\src\listener\dcamera_video_surface_listener.cpp,0.00,20.00,0.00,0.00,10.00,70.00,0.00,0.00,0.00,0.00,CameraDataPreProcess,70.00
services\cameraservice\cameraoperator\client\src\listener\dcamera_video_surface_listener_common.cpp,0.00,85.00,0.00,5.00,0.00,0.00,10.00,0.00,0.00,0.00,DistributedCameraSinkMgr,85.00
services\cameraservice\cameraoperator\client\src\dcamera_client_common.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\cameraoperator\client\src\dcamera_client.cpp,60.00,10.00,5.00,0.00,5.00,0.00,0.00,10.00,0.00,5.00,DistributedCameraSourceMgr,60.00
services\cameraservice\cameraoperator\handler\src\dcamera_handler.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,CameraServiceCommon,70.00
services\cameraservice\cameraoperator\handler\src\dcamera_handler_common.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\sinkservice\include\distributedcamera\distributed_camera_sink_service.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\sinkservice\include\distributedcamera\distributed_camera_sink_stub.h,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,90.00
services\cameraservice\sinkservice\include\distributedcameramgr\callback\dcamera_sink_controller_state_callback.h,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,90.00
services\cameraservice\sinkservice\include\distributedcameramgr\callback\dcamera_sink_output_result_callback.h,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,80.00
services\cameraservice\sinkservice\include\distributedcameramgr\eventbus\dcamera_post_authorization_event.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,CameraServiceCommon,90.00
services\cameraservice\sinkservice\include\distributedcameramgr\eventbus\dcamera_frame_trigger_event.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,0.00,CameraServiceCommon,80.00
services\cameraservice\sinkservice\include\distributedcameramgr\eventbus\dcamera_photo_output_event.h,60.00,50.00,10.00,10.00,40.00,20.00,20.00,70.00,10.00,50.00,CameraServiceCommon,70.00
services\cameraservice\sinkservice\include\distributedcameramgr\eventbus\dcamera_video_output_event.h,10.00,25.00,5.00,5.00,20.00,5.00,5.00,30.00,0.00,20.00,None,30.00
services\cameraservice\sinkservice\include\distributedcameramgr\interface\icamera_sink_access_control.h,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,85.00
services\cameraservice\sinkservice\include\distributedcameramgr\interface\icamera_sink_output.h,2.00,45.00,1.00,35.00,0.00,0.00,0.00,15.00,0.00,2.00,None,45.00
services\cameraservice\sinkservice\include\distributedcameramgr\interface\icamera_sink_data_process.h,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,80.00
services\cameraservice\sinkservice\include\distributedcameramgr\listener\dcamera_sink_data_process_listener.h,0.00,5.00,0.00,0.00,10.00,85.00,0.00,0.00,0.00,0.00,CameraDataPreProcess,85.00
services\cameraservice\sinkservice\include\distributedcameramgr\listener\dcamera_sink_output_channel_listener.h,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelSink,90.00
services\cameraservice\sinkservice\include\distributedcameramgr\listener\dcamera_sink_controller_channel_listener.h,0.00,60.00,0.00,30.00,0.00,0.00,0.00,10.00,0.00,0.00,DistributedCameraSinkMgr,60.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_output.h,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,85.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_service_ipc.h,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,90.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_data_process.h,0.00,90.00,0.00,0.00,5.00,3.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,90.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_controller.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_access_control.h,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,90.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_dev.h,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,80.00
services\cameraservice\sourceservice\include\distributedcamera\distributed_camera_source_service.h,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,90.00
services\cameraservice\sourceservice\include\distributedcamera\distributed_camera_source_stub.h,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,90.00
services\cameraservice\sourceservice\include\distributedcamera\dcamera_service_state_listener.h,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
services\cameraservice\sourceservice\include\distributedcamera\dcamera_source_callback_proxy.h,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,80.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameracontrol\dcamera_source_controller_channel_listener.h,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelSource,90.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameracontrol\dcamera_source_controller.h,85.00,0.00,10.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,DistributedCameraSourceMgr,85.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_source_input.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_stream_data_process.h,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,85.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_stream_data_process_producer.h,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,90.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_stream_data_process_pipeline_listener.h,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,85.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_source_data_process.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_source_input_channel_listener.h,35.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelSource,65.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerahdf\dcamera_provider_callback_impl.h,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerainterface\icamera_state_listener.h,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerainterface\icamera_source_data_process.h,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,90.00
