file_path,WebUI,Auth,Registry,Image,best_module,best_likelihood
services\tools.descartes.teastore.registry\src\main\java\tools\descartes\teastore\registry\rest\RegistryREST.java,0.00,0.00,100.00,0.00,Registry,100.00
services\tools.descartes.teastore.registry\src\main\java\tools\descartes\teastore\registry\servlet\IndexServlet.java,5.00,0.00,99.00,0.00,Registry,99.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\rest\ReadyRest.java,98.00,1.00,1.00,0.00,WebUI,98.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\elhelper\ELHelperUtils.java,100.00,0.00,0.00,0.00,WebUI,100.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\CartServlet.java,100.00,0.00,0.00,0.00,WebUI,100.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\DataBaseActionServlet.java,99.00,0.00,0.00,1.00,WebUI,99.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\IndexServlet.java,100.00,0.00,0.00,0.00,WebUI,100.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\OrderServlet.java,99.00,0.00,0.00,1.00,WebUI,99.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\CategoryServlet.java,100.00,0.00,0.00,0.00,WebUI,100.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\DataBaseServlet.java,100.00,0.00,0.00,0.00,WebUI,100.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\CartActionServlet.java,99.00,0.00,0.00,1.00,WebUI,99.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\ErrorServlet.java,100.00,0.00,0.00,0.00,WebUI,100.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\AbstractUIServlet.java,99.00,1.00,0.00,0.00,WebUI,99.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\LoginActionServlet.java,95.00,5.00,0.00,0.00,WebUI,95.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\LoginServlet.java,90.00,10.00,0.00,0.00,WebUI,90.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\AboutUsServlet.java,100.00,0.00,0.00,0.00,WebUI,100.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\ProductServlet.java,99.00,0.00,0.00,1.00,WebUI,99.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\ProfileServlet.java,100.00,0.00,0.00,0.00,WebUI,100.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\StatusServlet.java,99.00,0.00,1.00,0.00,WebUI,99.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\startup\WebuiStartup.java,98.00,1.00,1.00,0.00,WebUI,98.00
