Class: src/test/java/teammates/ui/webapi/SendLoginEmailActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/InstructorCourseJoinEmailWorkerActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/storage/api/FeedbackSessionsDbTest.jvtp, Predicted Module: Test Driver, Correct Module: Storage
Class: src/test/java/teammates/ui/webapi/SessionLinksRecoveryActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/InstructorSearchIndexingWorkerActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetTimeZonesActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/SendErrorReportActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/CreateInstructorActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetAuthInfoActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/DeleteStudentsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/FeedbackSessionRemindParticularUsersEmailWorkerActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/TeamEvalResultTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/SearchAccountRequestsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/main/java/teammates/ui/webapi/AdminExceptionTestAction.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/storage/api/StudentsDbTest.jvtp, Predicted Module: Test Driver, Correct Module: Storage
Class: src/test/java/teammates/ui/webapi/FeedbackSessionPublishedEmailWorkerActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/e2e/java/teammates/e2e/cases/FeedbackRubricQuestionE2ETest.jvtp, Predicted Module: Test Driver, Correct Module: E2E
Class: src/test/java/teammates/common/datatransfer/attributes/FeedbackQuestionAttributesTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/UpdateCourseActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetDeadlineExtensionActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/UpdateInstructorActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetRegkeyValidityActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetAccountActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/FeedbackSessionClosingRemindersActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/CreateNotificationActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetCourseActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/FeedbackSessionPublishedRemindersActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/SearchInstructorsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetHasResponsesActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/attributes/FeedbackResponseAttributesTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/logic/core/AccountsLogicTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/common/util/JsonUtilsTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/GetUsageStatisticsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/storage/api/FeedbackQuestionsDbTest.jvtp, Predicted Module: Test Driver, Correct Module: Storage
Class: src/test/java/teammates/logic/core/FeedbackResponsesLogicTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/ui/webapi/CreateFeedbackQuestionActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetNotificationsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/InstructorPrivilegesTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/common/datatransfer/attributes/StudentAttributesTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/logic/core/InstructorsLogicTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/ui/webapi/GetInstructorActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetFeedbackSessionSubmittedGiverSetActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/FeedbackSessionRemindEmailWorkerActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/logic/core/CoursesLogicTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/ui/webapi/DeleteStudentActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/FeedbackSessionResendPublishedEmailWorkerActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetFeedbackQuestionRecipientsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/MarkNotificationAsReadActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/util/StringHelperTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/logic/core/DataBundleLogicTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/common/datatransfer/questions/FeedbackNumericalScaleQuestionDetailsTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/common/util/SanitizationHelperTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/GetAccountsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/DeleteNotificationActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/UnpublishFeedbackSessionActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/logic/core/DeadlineExtensionsLogicTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/ui/servlets/WebPageServletTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/RestoreFeedbackSessionActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/attributes/InstructorAttributesTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/storage/api/FeedbackResponsesDbTest.jvtp, Predicted Module: Test Driver, Correct Module: Storage
Class: src/test/java/teammates/ui/webapi/GetNotificationActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/storage/api/NotificationsDbTest.jvtp, Predicted Module: Test Driver, Correct Module: Storage
Class: src/test/java/teammates/logic/external/GoogleRecaptchaServiceTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/ui/webapi/CreateFeedbackSessionActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/attributes/FeedbackSessionAttributesTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/CreateFeedbackSessionLogActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/CreateCourseActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetSessionResultsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/UpdateFeedbackQuestionActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/e2e/java/teammates/e2e/cases/BaseE2ETestCase.jvtp, Predicted Module: Test Driver, Correct Module: E2E
Class: src/test/java/teammates/ui/webapi/FeedbackSessionClosedRemindersActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetAccountRequestActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/questions/FeedbackMcqQuestionDetailsTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/PublishFeedbackSessionActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetFeedbackSessionLogsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetInstructorsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/RestoreCourseActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetSessionResponseStatsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/util/TimeHelperTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/servlets/LegacyUrlMapperTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/CompileLogsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/questions/FeedbackConstantSumQuestionDetailsTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/storage/api/InstructorsDbTest.jvtp, Predicted Module: Test Driver, Correct Module: Storage
Class: src/test/java/teammates/common/datatransfer/attributes/NotificationAttributesTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/StudentCourseJoinEmailWorkerActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/servlets/WebApiServletTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/CreateAccountActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/DeleteFeedbackSessionActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/JsonResultTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/DeleteInstructorActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/CourseRosterTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/logic/api/EmailSenderTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/ui/webapi/DeleteAccountActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/questions/FeedbackRankOptionsQuestionDetailsTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/e2e/java/teammates/e2e/cases/InstructorFeedbackReportPageE2ETest.jvtp, Predicted Module: Test Driver, Correct Module: E2E
Class: src/test/java/teammates/ui/webapi/GetFeedbackQuestionsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/BinCourseActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/e2e/java/teammates/e2e/cases/FeedbackSubmitPageE2ETest.jvtp, Predicted Module: Test Driver, Correct Module: E2E
Class: src/test/java/teammates/ui/webapi/FeedbackSessionOpeningRemindersActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/JoinCourseActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/FeedbackSessionOpeningSoonRemindersActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/SubmitFeedbackResponsesActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/logic/core/FeedbackResponseCommentsLogicTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/ui/webapi/RemindFeedbackSessionResultActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/attributes/AccountAttributesTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/logic/core/NotificationsLogicTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/common/datatransfer/questions/FeedbackContributionQuestionDetailsTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/GetOngoingSessionsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/e2e/java/teammates/e2e/cases/InstructorCourseEditPageE2ETest.jvtp, Predicted Module: Test Driver, Correct Module: E2E
Class: src/test/java/teammates/ui/webapi/UpdateFeedbackResponseCommentActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetStudentsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/BaseActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/DeleteFeedbackResponseCommentActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/ErrorLogEntryTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/request/StudentsEnrollRequestTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/storage/search/AccountRequestSearchTest.jvtp, Predicted Module: Test Driver, Correct Module: Storage
Class: src/test/java/teammates/ui/webapi/GetFeedbackSessionsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/UpdateInstructorPrivilegeActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetCourseSectionNamesActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/logic/core/UsageStatisticsLogicTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/ui/webapi/SearchStudentsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/FeedbackSessionUnpublishedEmailWorkerActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/logic/api/EmailGeneratorTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/ui/webapi/GetFeedbackResponseCommentActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetCourseJoinStatusActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/logic/api/UserProvisionTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/common/datatransfer/SessionResultsBundleTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/DeleteAccountRequestActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/StudentSearchIndexingWorkerActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/servlets/OriginCheckFilterTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/DeleteFeedbackQuestionActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/questions/FeedbackRankRecipientsQuestionDetailsTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/ResetAccountRequestActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/CalculateUsageStatisticsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/DeleteCourseActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/logic/core/AccountRequestsLogicTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/e2e/java/teammates/e2e/util/TestDataValidityTest.jvtp, Predicted Module: Test Driver, Correct Module: E2E
Class: src/test/java/teammates/common/datatransfer/questions/FeedbackTextQuestionDetailsTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/SendJoinReminderEmailActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetFeedbackSessionActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/AccountRequestSearchIndexingWorkerActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/attributes/CourseAttributesTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/logic/core/StudentsLogicTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/logic/core/FeedbackSessionsLogicTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/common/datatransfer/questions/FeedbackRubricQuestionDetailsTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/storage/search/InstructorSearchTest.jvtp, Predicted Module: Test Driver, Correct Module: Storage
Class: src/test/java/teammates/ui/webapi/GetActionClassesActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/attributes/DeadlineExtensionAttributesTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/GetReadNotificationsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/storage/api/DeadlineExtensionsDbTest.jvtp, Predicted Module: Test Driver, Correct Module: Storage
Class: src/test/java/teammates/ui/webapi/RemindFeedbackSessionSubmissionActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/logic/core/FeedbackQuestionsLogicTest.jvtp, Predicted Module: Test Driver, Correct Module: Logic
Class: src/test/java/teammates/ui/webapi/GetStudentActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/storage/api/AccountsDbTest.jvtp, Predicted Module: Test Driver, Correct Module: Storage
Class: src/test/java/teammates/common/datatransfer/attributes/AccountRequestAttributesTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/BinFeedbackSessionActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
