Project,Module,File,GT,TFIDF@10,Score@10,TFIDF@20,Score@20,TFIDF@30,Score@30,TFIDF@40,Score@40,TFIDF@50,Score@50,TFIDF@60,Score@60,TFIDF@70,Score@70,TFIDF@80,Score@80,TFIDF@90,Score@90
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/SupportedDocumentFilter.java,Presentation Conversion,Presentation Conversion,139.64,Presentation Conversion,139.64,Presentation Conversion,139.64,Presentation Conversion,139.64,Presentation Conversion,139.64,Presentation Conversion,139.64,Presentation Conversion,139.64,Presentation Conversion,139.64,Presentation Conversion,139.64
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/ConferenceMemberFlags.java,FreeSWITCH,FreeSWITCH,107.09,FreeSWITCH,107.09,FreeSWITCH,107.09,FreeSWITCH,107.09,FreeSWITCH,107.09,FreeSWITCH,107.09,FreeSWITCH,107.09,FreeSWITCH,107.09,FreeSWITCH,107.09
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/UnknownConferenceEvent.java,FreeSWITCH,FreeSWITCH,102.53,FreeSWITCH,102.53,FreeSWITCH,102.53,FreeSWITCH,102.53,FreeSWITCH,102.53,FreeSWITCH,102.53,FreeSWITCH,102.53,FreeSWITCH,102.53,FreeSWITCH,102.53
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PdfPageDownscaler.java,Presentation Conversion,Presentation Conversion,96.94,Presentation Conversion,96.94,Presentation Conversion,96.94,Presentation Conversion,96.94,Presentation Conversion,96.94,Presentation Conversion,96.94,Presentation Conversion,96.94,Presentation Conversion,96.94,Presentation Conversion,96.94
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocConversionRequestReceived.java,Presentation Conversion,Presentation Conversion,90.64,Presentation Conversion,90.64,Presentation Conversion,90.64,Presentation Conversion,90.64,Presentation Conversion,90.64,Presentation Conversion,90.64,Presentation Conversion,90.64,Presentation Conversion,90.64,Presentation Conversion,90.64
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierWrapper.java,None,None,4.95,None,4.95,None,4.95,None,4.95,None,4.95,None,4.95,None,4.95,None,4.95,None,4.95
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/InboundPipelineFactory.java,FreeSWITCH,FreeSWITCH,89.66,FreeSWITCH,89.66,FreeSWITCH,89.66,FreeSWITCH,89.66,FreeSWITCH,89.66,FreeSWITCH,89.66,FreeSWITCH,89.66,FreeSWITCH,89.66,None,89.66
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/EjectUserCommand.java,FreeSWITCH,FreeSWITCH,105.37,FreeSWITCH,105.37,FreeSWITCH,105.37,FreeSWITCH,105.37,FreeSWITCH,105.37,FreeSWITCH,105.37,FreeSWITCH,105.37,FreeSWITCH,105.37,FreeSWITCH,105.37
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceStartRecordingEvent.java,FreeSWITCH,FreeSWITCH,100.17,FreeSWITCH,100.17,FreeSWITCH,100.17,FreeSWITCH,100.17,FreeSWITCH,100.17,FreeSWITCH,100.17,FreeSWITCH,100.17,FreeSWITCH,100.17,FreeSWITCH,100.17
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageConversionStarted.java,Presentation Conversion,Presentation Conversion,90.40,Presentation Conversion,90.40,Presentation Conversion,90.40,Presentation Conversion,90.40,Presentation Conversion,90.40,Presentation Conversion,90.40,Presentation Conversion,90.40,Presentation Conversion,90.40,Presentation Conversion,90.40
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/MimeTypeUtils.java,Presentation Conversion,Presentation Conversion,101.95,Presentation Conversion,101.95,Presentation Conversion,101.95,Presentation Conversion,101.95,Presentation Conversion,101.95,Presentation Conversion,101.95,Presentation Conversion,101.95,Presentation Conversion,101.95,Presentation Conversion,101.95
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslHeaders.java,FreeSWITCH,FreeSWITCH,96.56,FreeSWITCH,96.56,FreeSWITCH,96.56,FreeSWITCH,96.56,FreeSWITCH,96.56,FreeSWITCH,96.56,FreeSWITCH,96.56,FreeSWITCH,96.56,FreeSWITCH,96.56
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/turn/TurnEntry.java,None,None,5.43,None,5.43,None,5.43,None,5.43,None,5.43,None,5.43,None,5.43,None,5.43,None,5.43
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/BigPdfException.java,Presentation Conversion,Presentation Conversion,102.12,Presentation Conversion,102.12,Presentation Conversion,102.12,Presentation Conversion,102.12,Presentation Conversion,102.12,Presentation Conversion,102.12,Presentation Conversion,102.12,Presentation Conversion,102.12,Presentation Conversion,102.12
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/CommandResponse.java,FreeSWITCH,FreeSWITCH,92.96,FreeSWITCH,92.96,FreeSWITCH,92.96,FreeSWITCH,92.96,FreeSWITCH,92.96,FreeSWITCH,92.96,FreeSWITCH,92.96,FreeSWITCH,92.96,FreeSWITCH,92.96
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/callback/DelayCallback.java,None,None,6.36,None,6.36,None,6.36,None,6.36,None,6.36,None,6.36,None,6.36,None,6.36,None,6.36
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/AbstractCommandHandler.java,Presentation Conversion,Presentation Conversion,85.50,Presentation Conversion,85.50,Presentation Conversion,85.50,Presentation Conversion,85.50,Presentation Conversion,85.50,Presentation Conversion,85.50,Presentation Conversion,85.50,Presentation Conversion,85.50,None,85.50
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/RecordCommand.java,FreeSWITCH,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConferenceEventListener.java,FreeSWITCH,FreeSWITCH,103.84,FreeSWITCH,103.84,FreeSWITCH,103.84,FreeSWITCH,103.84,FreeSWITCH,103.84,FreeSWITCH,103.84,FreeSWITCH,103.84,FreeSWITCH,103.84,FreeSWITCH,103.84
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/OfficeToPdfConversionService.java,Presentation Conversion,Presentation Conversion,185.51,Presentation Conversion,185.51,Presentation Conversion,185.51,Presentation Conversion,185.51,Presentation Conversion,185.51,Presentation Conversion,185.51,Presentation Conversion,185.51,Presentation Conversion,185.51,Presentation Conversion,185.51
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PdfSlidesGenerationService.java,Presentation Conversion,Presentation Conversion,93.73,Presentation Conversion,93.73,Presentation Conversion,93.73,Presentation Conversion,93.73,Presentation Conversion,93.73,Presentation Conversion,93.73,Presentation Conversion,93.73,Presentation Conversion,93.73,Presentation Conversion,93.73
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/example/EslEventListener.java,FreeSWITCH,FreeSWITCH,91.93,FreeSWITCH,91.93,FreeSWITCH,91.93,FreeSWITCH,91.93,FreeSWITCH,91.93,FreeSWITCH,91.93,FreeSWITCH,91.93,FreeSWITCH,91.93,FreeSWITCH,91.93
bigbluebutton,Apps__BBB web__FSESL,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/MessageReceiver.java,Redis PubSub,Redis PubSub,291.59,Redis PubSub,291.59,Redis PubSub,291.59,Redis PubSub,291.59,Redis PubSub,291.59,Redis PubSub,291.59,Redis PubSub,291.59,Redis PubSub,291.59,Redis PubSub,291.59
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/Client.java,FreeSWITCH,FreeSWITCH,77.47,FreeSWITCH,77.47,FreeSWITCH,77.47,FreeSWITCH,77.47,FreeSWITCH,77.47,FreeSWITCH,77.47,FreeSWITCH,77.47,None,77.47,None,77.47
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/manager/internal/ManagerConnectionImpl.java,FreeSWITCH,FreeSWITCH,87.33,FreeSWITCH,87.33,FreeSWITCH,87.33,FreeSWITCH,87.33,FreeSWITCH,87.33,FreeSWITCH,87.33,FreeSWITCH,87.33,FreeSWITCH,87.33,None,87.33
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/Util.java,Presentation Conversion,Presentation Conversion,97.94,Presentation Conversion,97.94,Presentation Conversion,97.94,Presentation Conversion,97.94,Presentation Conversion,97.94,Presentation Conversion,97.94,Presentation Conversion,97.94,Presentation Conversion,97.94,Presentation Conversion,97.94
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/outbound/AbstractOutboundClientHandler.java,FreeSWITCH,FreeSWITCH,93.89,FreeSWITCH,93.89,FreeSWITCH,93.89,FreeSWITCH,93.89,FreeSWITCH,93.89,FreeSWITCH,93.89,FreeSWITCH,93.89,FreeSWITCH,93.89,FreeSWITCH,93.89
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/OfficeToPdfConversionSuccessFilter.java,Presentation Conversion,Presentation Conversion,151.33,Presentation Conversion,151.33,Presentation Conversion,151.33,Presentation Conversion,151.33,Presentation Conversion,151.33,Presentation Conversion,151.33,Presentation Conversion,151.33,Presentation Conversion,151.33,Presentation Conversion,151.33
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageCountExceeded.java,Presentation Conversion,Presentation Conversion,88.30,Presentation Conversion,88.30,Presentation Conversion,88.30,Presentation Conversion,88.30,Presentation Conversion,88.30,Presentation Conversion,88.30,Presentation Conversion,88.30,Presentation Conversion,88.30,None,88.30
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/internal/IEslProtocolListener.java,FreeSWITCH,FreeSWITCH,92.89,FreeSWITCH,92.89,FreeSWITCH,92.89,FreeSWITCH,92.89,FreeSWITCH,92.89,FreeSWITCH,92.89,FreeSWITCH,92.89,FreeSWITCH,92.89,FreeSWITCH,92.89
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/UploadFileTimedoutMessage.java,Presentation Conversion,Presentation Conversion,142.61,Presentation Conversion,142.61,Presentation Conversion,142.61,Presentation Conversion,142.61,Presentation Conversion,142.61,Presentation Conversion,142.61,Presentation Conversion,142.61,Presentation Conversion,142.61,Presentation Conversion,142.61
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/manager/DefaultManagerConnection.java,FreeSWITCH,FreeSWITCH,83.23,FreeSWITCH,83.23,FreeSWITCH,83.23,FreeSWITCH,83.23,FreeSWITCH,83.23,FreeSWITCH,83.23,FreeSWITCH,83.23,FreeSWITCH,83.23,None,83.23
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/StopSoundCommand.java,FreeSWITCH,FreeSWITCH,111.09,FreeSWITCH,111.09,FreeSWITCH,111.09,FreeSWITCH,111.09,FreeSWITCH,111.09,FreeSWITCH,111.09,FreeSWITCH,111.09,FreeSWITCH,111.09,FreeSWITCH,111.09
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PresentationConversionCompletionService.java,Presentation Conversion,Presentation Conversion,225.91,Presentation Conversion,225.91,Presentation Conversion,225.91,Presentation Conversion,225.91,Presentation Conversion,225.91,Presentation Conversion,225.91,Presentation Conversion,225.91,Presentation Conversion,225.91,Presentation Conversion,225.91
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/PdfFontType3DetectorHandler.java,Presentation Conversion,Presentation Conversion,96.07,Presentation Conversion,96.07,Presentation Conversion,96.07,Presentation Conversion,96.07,Presentation Conversion,96.07,Presentation Conversion,96.07,Presentation Conversion,96.07,Presentation Conversion,96.07,Presentation Conversion,96.07
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageAnalyser.java,Presentation Conversion,Presentation Conversion,100.78,Presentation Conversion,100.78,Presentation Conversion,100.78,Presentation Conversion,100.78,Presentation Conversion,100.78,Presentation Conversion,100.78,Presentation Conversion,100.78,Presentation Conversion,100.78,Presentation Conversion,100.78
bigbluebutton,Apps__BBB web__FSESL,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/Keys.java,Redis DB,Redis PubSub,163.07,Redis PubSub,163.07,Redis PubSub,163.07,Redis PubSub,163.07,Redis PubSub,163.07,Redis PubSub,163.07,Redis PubSub,163.07,Redis PubSub,163.07,Redis PubSub,163.07
bigbluebutton,Apps__BBB web__FSESL,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/MessageToSend.java,Redis PubSub,Redis PubSub,317.14,Redis PubSub,317.14,Redis PubSub,317.14,Redis PubSub,317.14,Redis PubSub,317.14,Redis PubSub,317.14,Redis PubSub,317.14,Redis PubSub,317.14,Redis PubSub,317.14
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/HoldUserCommand.java,FreeSWITCH,FreeSWITCH,110.85,FreeSWITCH,110.85,FreeSWITCH,110.85,FreeSWITCH,110.85,FreeSWITCH,110.85,FreeSWITCH,110.85,FreeSWITCH,110.85,FreeSWITCH,110.85,FreeSWITCH,110.85
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/SvgImageCreatorImp.java,Presentation Conversion,Presentation Conversion,91.32,Presentation Conversion,91.32,Presentation Conversion,91.32,Presentation Conversion,91.32,Presentation Conversion,91.32,Presentation Conversion,91.32,Presentation Conversion,91.32,Presentation Conversion,91.32,Presentation Conversion,91.32
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/callback/ICallbackEvent.java,None,None,5.54,None,5.54,None,5.54,None,5.54,None,5.54,None,5.54,None,5.54,None,5.54,None,5.54
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/AddNamespaceToSvgHandler.java,Presentation Conversion,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/internal/debug/ExecutionHandler.java,FreeSWITCH,FreeSWITCH,86.96,FreeSWITCH,86.96,FreeSWITCH,86.96,FreeSWITCH,86.96,FreeSWITCH,86.96,FreeSWITCH,86.96,FreeSWITCH,86.96,FreeSWITCH,86.96,None,86.96
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageCountFailed.java,Presentation Conversion,Presentation Conversion,89.68,Presentation Conversion,89.68,Presentation Conversion,89.68,Presentation Conversion,89.68,Presentation Conversion,89.68,Presentation Conversion,89.68,Presentation Conversion,89.68,Presentation Conversion,89.68,None,89.68
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageExtractor.java,Presentation Conversion,Presentation Conversion,102.23,Presentation Conversion,102.23,Presentation Conversion,102.23,Presentation Conversion,102.23,Presentation Conversion,102.23,Presentation Conversion,102.23,Presentation Conversion,102.23,Presentation Conversion,102.23,Presentation Conversion,102.23
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageCounter.java,Presentation Conversion,Presentation Conversion,102.30,Presentation Conversion,102.30,Presentation Conversion,102.30,Presentation Conversion,102.30,Presentation Conversion,102.30,Presentation Conversion,102.30,Presentation Conversion,102.30,Presentation Conversion,102.30,Presentation Conversion,102.30
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslMessage.java,FreeSWITCH,FreeSWITCH,87.88,FreeSWITCH,87.88,FreeSWITCH,87.88,FreeSWITCH,87.88,FreeSWITCH,87.88,FreeSWITCH,87.88,FreeSWITCH,87.88,FreeSWITCH,87.88,None,87.88
bigbluebutton,Apps__BBB web__FSESL,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/MessageDistributor.java,Redis PubSub,Redis PubSub,309.26,Redis PubSub,309.26,Redis PubSub,309.26,Redis PubSub,309.26,Redis PubSub,309.26,Redis PubSub,309.26,Redis PubSub,309.26,Redis PubSub,309.26,Redis PubSub,309.26
bigbluebutton,Apps__BBB web__FSESL,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/MessageHandler.java,Redis PubSub,Redis PubSub,319.98,Redis PubSub,319.98,Redis PubSub,319.98,Redis PubSub,319.98,Redis PubSub,319.98,Redis PubSub,319.98,Redis PubSub,319.98,Redis PubSub,319.98,Redis PubSub,319.98
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfMember.java,FreeSWITCH,FreeSWITCH,100.40,FreeSWITCH,100.40,FreeSWITCH,100.40,FreeSWITCH,100.40,FreeSWITCH,100.40,FreeSWITCH,100.40,FreeSWITCH,100.40,FreeSWITCH,100.40,FreeSWITCH,100.40
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserLockedEvent.java,FreeSWITCH,FreeSWITCH,102.54,FreeSWITCH,102.54,FreeSWITCH,102.54,FreeSWITCH,102.54,FreeSWITCH,102.54,FreeSWITCH,102.54,FreeSWITCH,102.54,FreeSWITCH,102.54,FreeSWITCH,102.54
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/Png2SvgConversionHandler.java,Presentation Conversion,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53,Presentation Conversion,94.53
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/OfficeDocumentValidator2.java,Presentation Conversion,Presentation Conversion,93.46,Presentation Conversion,93.46,Presentation Conversion,93.46,Presentation Conversion,93.46,Presentation Conversion,93.46,Presentation Conversion,93.46,Presentation Conversion,93.46,Presentation Conversion,93.46,Presentation Conversion,93.46
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/TransferUserToMeetingCommand.java,FreeSWITCH,FreeSWITCH,109.15,FreeSWITCH,109.15,FreeSWITCH,109.15,FreeSWITCH,109.15,FreeSWITCH,109.15,FreeSWITCH,109.15,FreeSWITCH,109.15,FreeSWITCH,109.15,FreeSWITCH,109.15
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/PdfPageCounterHandler.java,Presentation Conversion,Presentation Conversion,105.41,Presentation Conversion,105.41,Presentation Conversion,105.41,Presentation Conversion,105.41,Presentation Conversion,105.41,Presentation Conversion,105.41,Presentation Conversion,105.41,Presentation Conversion,105.41,Presentation Conversion,105.41
