file_path,Facade,MediaManagement,UserManagement,UserDBAdapter,TagWatermarking,Database,MediaAccess,FileStorage,best_module,best_likelihood
Implementation\mediastore.ejb.facade\src\edu\kit\ipd\sdq\mediastore\ejb\facade\FacadeImpl.java,95.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,Facade,95.00
Implementation\mediastore.ejb.mediaaccess\src\edu\kit\ipd\sdq\mediastore\ejb\mediaaccess\MediaAccessImpl.java,0.00,0.00,0.00,0.00,0.00,0.00,95.00,5.00,MediaAccess,95.00
Implementation\mediastore.ejb.mediaaccess\src\edu\kit\ipd\sdq\mediastore\ejb\mediaaccess\Audio.java,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,MediaAccess,100.00
Implementation\mediastore.ejb.mediamanagement\src\edu\kit\ipd\sdq\mediastore\ejb\mediamanagement\MediaManagementImpl.java,0.00,95.00,0.00,0.00,0.00,0.00,5.00,0.00,MediaManagement,95.00
Implementation\mediastore.ejb.packaging\src\edu\kit\ipd\sdq\mediastore\ejb\packaging\PackagingImpl.java,5.00,70.00,0.00,0.00,10.00,0.00,5.00,10.00,MediaManagement,70.00
Implementation\mediastore.ejb.tagwatermarking\src\edu\kit\ipd\sdq\mediastore\ejb\tagwatermarking\TagWatermarkingImpl.java,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TagWatermarking,100.00
Implementation\mediastore.ejb.userdbadapter\src\edu\kit\ipd\sdq\mediastore\ejb\userdbadapter\User.java,0.00,0.00,10.00,95.00,0.00,5.00,0.00,0.00,UserDBAdapter,95.00
Implementation\mediastore.ejb.userdbadapter\src\edu\kit\ipd\sdq\mediastore\ejb\userdbadapter\UserDBAdapterImpl.java,0.00,0.00,5.00,99.00,0.00,1.00,0.00,0.00,UserDBAdapter,99.00
Implementation\mediastore.ejb.usermanagement\ejbModule\edu\kit\ipd\sdq\mediastore\ejb\usermanagement\UserManagementImpl.java,0.00,0.00,95.00,4.00,0.00,0.00,0.00,0.00,UserManagement,95.00
Implementation\mediastore.ejb.usermanagement\ejbModule\edu\kit\ipd\sdq\mediastore\ejb\usermanagement\SecurityUtil.java,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,UserManagement,100.00
