Project,Module,File,GT,TFIDF,TFIDF Score,LLMProb,LLMProb Score,LLMAssign
teammates,UI,src/main/java/teammates/ui/request/FeedbackQuestionUpdateRequest.java,UM,UM,1,DM,60,UM
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForUnencryptedKeyForInstructors.java,DM,DM,128.07,DM,100,DM
teammates,UI,src/main/java/teammates/logic/api/package-info.java,DM,DM,75.33,DM,95,DM
teammates,UI,src/main/java/teammates/ui/servlets/AuthServlet.java,UM,UM,2.55,UM,20,UM
teammates,UI,src/main/java/teammates/ui/request/MarkNotificationAsReadRequest.java,UM,UM,15.36,DM,95,UM
teammates,UI,src/main/java/teammates/common/datatransfer/attributes/NotificationAttributes.java,DM,DM,73.11,DM,95,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/FeedbackNumScaleQuestionE2ETest.java,DM,DM,93.45,DM,100,DM
teammates,UI,src/main/java/teammates/ui/servlets/DevServerLoginServlet.java,UM,UM,21.83,UM,20,UM
teammates,UI,src/main/java/teammates/common/datatransfer/logs/LogEvent.java,DM,DM,86.73,DM,85,DM
teammates,UI,src/main/java/teammates/logic/external/EmailSenderService.java,DM,DM,73.92,DM,95,DM
teammates,UI,src/main/java/teammates/ui/output/SessionLinksRecoveryResponseData.java,UM,UM,1,DM,80,UM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorFeedbackEditPageAxeTest.java,DM,DM,117.8,DM,100,DM
teammates,UI,src/main/java/teammates/logic/core/FeedbackQuestionsLogic.java,DM,DM,83.51,DM,100,DM
teammates,UI,src/main/java/teammates/storage/entity/Course.java,DM,DM,106.8,DM,100,UM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorFeedbackReportPageAxeTest.java,DM,DM,120.72,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/FeedbackRubricQuestionE2ETest.java,DM,DM,92.59,DM,100,DM
teammates,UI,src/client/java/teammates/client/scripts/statistics/package-info.java,DM,DM,134.74,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorStudentListPageAxeTest.java,DM,DM,118.7,DM,100,DM
teammates,UI,src/main/java/teammates/logic/core/AccountRequestsLogic.java,DM,DM,72.06,DM,95,DM
teammates,UI,src/main/java/teammates/ui/webapi/JsonResult.java,UM,UM,4.54,DM,80,UM
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackRankOptionsQuestionDetails.java,DM,DM,77.55,DM,95,DM
teammates,UI,src/main/java/teammates/ui/webapi/GetOngoingSessionsAction.java,UM,DM,72.78,DM,100,UM
teammates,UI,src/main/java/teammates/ui/webapi/MarkNotificationAsReadAction.java,UM,DM,66.55,UM,10,UM
teammates,UI,src/main/java/teammates/common/util/TaskWrapper.java,DM,DM,86.34,DM,95,DM
teammates,UI,src/main/java/teammates/ui/webapi/EntityNotFoundException.java,UM,UM,1,DM,80,UM
teammates,UI,src/main/java/teammates/storage/api/UsageStatisticsDb.java,DM,DM,114.25,DM,90,DM
teammates,UI,src/main/java/teammates/ui/constants/ApiConst.java,UM,UM,4.12,DM,80,DM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/AdminSessionsPage.java,DM,DM,102.25,DM,100,DM
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForSampleGoogleIdInStudentAttributes.java,DM,DM,128.07,DM,85,DM
teammates,UI,src/main/java/teammates/ui/webapi/SessionLinksRecoveryAction.java,UM,UM,19.9,UM,20,UM
teammates,UI,src/main/java/teammates/ui/output/RegenerateKeyData.java,UM,UM,1.3,DM,80,UM
teammates,UI,src/main/java/teammates/storage/entity/FeedbackResponse.java,DM,DM,102.26,DM,100,DM
teammates,UI,src/main/java/teammates/ui/request/Intent.java,UM,UM,1,UM,30,DM
teammates,UI,src/main/java/teammates/logic/external/EmptyEmailService.java,DM,DM,73.63,DM,100,DM
teammates,UI,src/main/java/teammates/ui/output/SessionVisibleSetting.java,UM,UM,3.7,DM,90,UM
teammates,UI,src/main/java/teammates/ui/servlets/RequestTraceFilter.java,UM,UM,32.55,UM,20,UM
teammates,UI,src/main/java/teammates/ui/request/BasicRequest.java,UM,UM,1,DM,70,UM
teammates,UI,src/main/java/teammates/storage/search/InstructorSearchManager.java,DM,DM,106.8,DM,90,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/FeedbackResultsPageAxeTest.java,DM,DM,117.8,DM,95,DM
teammates,UI,src/main/java/teammates/common/datatransfer/SessionResultsBundle.java,DM,DM,106.05,UM,0,DM
teammates,UI,src/main/java/teammates/ui/webapi/UpdateInstructorAction.java,UM,DM,78.54,UM,20,UM
teammates,UI,src/e2e/java/teammates/e2e/cases/FeedbackSubmitPageE2ETest.java,DM,DM,94.18,DM,100,DM
teammates,UI,src/main/java/teammates/logic/core/package-info.java,DM,DM,74.36,DM,95,DM
teammates,UI,src/main/java/teammates/common/datatransfer/logs/RequestLogUser.java,DM,DM,86.86,DM,100,DM
teammates,UI,src/main/java/teammates/ui/webapi/FeedbackSessionPublishedEmailWorkerAction.java,UM,DM,83.02,UM,20,UM
teammates,UI,src/main/java/teammates/ui/webapi/RegenerateStudentKeyAction.java,UM,DM,64.26,UM,20,UM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/AdminSessionsPageAxeTest.java,DM,DM,114.77,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorCourseStudentDetailsEditPage.java,DM,DM,92.54,DM,100,DM
teammates,UI,src/main/java/teammates/ui/output/FeedbackSessionData.java,UM,UM,4.51,UM,30,UM
teammates,UI,src/main/java/teammates/ui/webapi/GetFeedbackQuestionRecipientsAction.java,UM,DM,76.15,DM,70,UM
teammates,UI,src/main/java/teammates/ui/webapi/RestoreFeedbackSessionAction.java,UM,DM,75.9,DM,70,UM
teammates,UI,src/main/java/teammates/ui/webapi/CompileLogsAction.java,UM,UM,1.48,UM,30,UM
teammates,UI,src/main/java/teammates/ui/webapi/SendLoginEmailAction.java,UM,UM,27.32,UM,20,UM
teammates,UI,src/main/java/teammates/ui/webapi/AdmiUMlyAction.java,UM,UM,3.83,UM,20,UM
teammates,UI,src/main/java/teammates/logic/core/DeadlineExtensionsLogic.java,DM,DM,70.88,DM,100,DM
teammates,UI,src/main/java/teammates/storage/api/EntitiesDb.java,DM,DM,99.93,DM,95,DM
teammates,UI,src/main/java/teammates/storage/api/OfyHelper.java,DM,DM,110.15,DM,95,DM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorFeedbackResultsPage.java,DM,DM,77.73,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/util/package-info.java,DM,DM,95.36,DM,90,DM
teammates,UI,src/main/java/teammates/logic/core/FeedbackResponseCommentsLogic.java,DM,DM,86.18,DM,95,DM
teammates,UI,src/main/java/teammates/ui/servlets/LoginServlet.java,UM,UM,41.38,UM,10,UM
teammates,UI,src/main/java/teammates/ui/output/FeedbackQuestionRecipientData.java,UM,UM,1,DM,80,UM
teammates,UI,src/e2e/java/teammates/e2e/cases/InstructorCourseStudentDetailsEditPageE2ETest.java,DM,DM,108.34,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/TimezoneSyncerTest.java,DM,DM,159.03,DM,100,DM
teammates,UI,src/main/java/teammates/ui/webapi/DatastoreBackupAction.java,UM,DM,113.41,DM,65,UM
teammates,UI,src/main/java/teammates/ui/webapi/GetCoursesAction.java,UM,DM,77.78,DM,80,UM
teammates,UI,src/main/java/teammates/ui/webapi/UpdateFeedbackSessionAction.java,UM,DM,81.82,UM,10,UM
teammates,UI,src/main/java/teammates/ui/request/FeedbackSessionCreateRequest.java,UM,UM,1,DM,80,UM
teammates,UI,src/main/java/teammates/common/exception/package-info.java,DM,DM,87.46,DM,95,DM
teammates,UI,src/main/java/teammates/ui/servlets/LegacyUrlMapper.java,UM,UM,10.62,DM,70,UM
teammates,UI,src/main/java/teammates/logic/external/EmptyRecaptchaService.java,DM,DM,74.16,DM,100,DM
teammates,UI,src/main/java/teammates/ui/request/NotificationCreateRequest.java,UM,UM,1,DM,65,UM
teammates,UI,src/main/java/teammates/ui/webapi/UpdateStudentAction.java,UM,DM,76.48,DM,80,UM
teammates,UI,src/e2e/java/teammates/e2e/cases/AdminHomePageE2ETest.java,DM,DM,106.85,DM,100,DM
teammates,UI,src/main/java/teammates/storage/api/package-info.java,DM,DM,114.25,DM,95,DM
teammates,UI,src/main/java/teammates/logic/core/InstructorsLogic.java,DM,DM,134.21,DM,100,DM
teammates,UI,src/main/java/teammates/logic/core/FeedbackSessionsLogic.java,DM,DM,116.2,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/FeedbackRankOptionQuestionE2ETest.java,DM,DM,93.26,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/util/GmailServiceMaker.java,DM,DM,106.6,UM,0,DM
teammates,UI,src/main/java/teammates/ui/output/FeedbackSessionSubmissionStatus.java,UM,UM,1,DM,90,UM
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForUnencryptedKeyForStudents.java,DM,DM,128.07,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/util/TestProperties.java,DM,DM,117.14,DM,90,DM
teammates,UI,src/main/java/teammates/storage/entity/Account.java,DM,DM,107.85,DM,95,UM
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackMcqQuestionDetails.java,DM,DM,76.62,DM,100,DM
teammates,UI,src/main/java/teammates/common/datatransfer/InstructorPrivileges.java,DM,DM,68.18,DM,80,DM
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackConstantSumQuestionDetails.java,DM,DM,72.98,DM,80,DM
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackRankRecipientsResponseDetails.java,DM,DM,80.55,DM,95,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/AdminSearchPageAxeTest.java,DM,DM,118.06,DM,100,DM
teammates,UI,src/main/java/teammates/ui/webapi/GetTimeZonesAction.java,UM,UM,14.42,UM,10,UM
teammates,UI,src/e2e/java/teammates/e2e/util/TestPropertiesTest.java,DM,DM,97.63,DM,100,DM
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForInstructorFeedbackResponseComments.java,DM,DM,127.82,DM,90,DM
teammates,UI,src/main/java/teammates/common/util/RequestTracer.java,DM,DM,81.94,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/FeedbackConstSumRecipientQuestionE2ETest.java,DM,DM,93.25,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/package-info.java,DM,DM,118.06,DM,100,DM
teammates,UI,src/main/java/teammates/ui/output/FeedbackSessionLogData.java,UM,UM,13.6,UM,20,UM
teammates,UI,src/main/java/teammates/ui/webapi/InvalidHttpParameterException.java,UM,UM,1.26,DM,70,UM
teammates,UI,src/main/java/teammates/storage/search/SearchManagerStarter.java,DM,DM,111.8,DM,90,UM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorSessionIndividualExtensionPageAxeTest.java,DM,DM,117.8,DM,100,DM
teammates,UI,src/main/java/teammates/ui/webapi/InstructorCourseJoinEmailWorkerAction.java,UM,DM,73.69,UM,30,UM
teammates,UI,src/main/java/teammates/common/datatransfer/logs/DefaultLogDetails.java,DM,DM,87.58,DM,80,DM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/UserNotificationsPage.java,DM,DM,104.93,DM,100,DM
teammates,UI,src/main/java/teammates/ui/webapi/CreateInstructorAction.java,UM,DM,74.59,DM,80,UM
teammates,UI,src/main/java/teammates/ui/output/JoinStatus.java,UM,UM,1,UM,30,UM
teammates,UI,src/main/java/teammates/common/datatransfer/attributes/EntityAttributes.java,DM,DM,84.05,DM,90,DM
teammates,UI,src/main/java/teammates/common/exception/InstructorUpdateException.java,DM,DM,87.25,DM,95,DM
teammates,UI,src/main/java/teammates/ui/output/CourseSectionNamesData.java,UM,UM,1,UM,40,UM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/StudentNotificationsPage.java,DM,DM,98.53,DM,100,DM
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackRubricQuestionDetails.java,DM,DM,75.12,DM,95,DM
teammates,UI,src/main/java/teammates/ui/output/GeneralLogsData.java,UM,UM,1,UM,30,UM
teammates,UI,src/main/java/teammates/ui/webapi/FeedbackSessionOpeningRemindersAction.java,UM,DM,82.32,UM,30,UM
teammates,UI,src/main/java/teammates/ui/request/FeedbackResponseCommentCreateRequest.java,UM,UM,1,DM,60,UM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorHomePage.java,DM,DM,78.55,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorCoursesPage.java,DM,DM,73.07,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/StudentCourseDetailsPageAxeTest.java,DM,DM,120.38,DM,100,DM
teammates,UI,src/main/java/teammates/ui/constants/QuestionTypeStructures.java,UM,UM,4.09,DM,95,UM
teammates,UI,src/main/java/teammates/ui/webapi/DeleteCourseAction.java,UM,DM,77.33,UM,20,UM
teammates,UI,src/main/java/teammates/storage/api/FeedbackQuestionsDb.java,DM,DM,92.29,DM,100,DM
teammates,UI,src/main/java/teammates/ui/output/UsageStatisticsRangeData.java,UM,UM,1,UM,30,UM
teammates,UI,src/main/java/teammates/ui/webapi/UpdateNotificationAction.java,UM,DM,65.82,UM,20,UM
teammates,UI,src/main/java/teammates/common/datatransfer/logs/FeedbackSessionAuditLogDetails.java,DM,DM,85.72,DM,90,DM
teammates,UI,src/main/java/teammates/common/util/StringHelper.java,DM,DM,82.45,DM,95,DM
teammates,UI,src/main/java/teammates/storage/entity/BaseEntity.java,DM,DM,116.42,DM,95,DM
teammates,UI,src/e2e/java/teammates/e2e/util/TestDataValidityTest.java,DM,DM,88.02,DM,85,DM
teammates,UI,src/main/java/teammates/ui/output/FeedbackSessionLogsData.java,UM,UM,1.35,UM,30,UM
teammates,UI,src/main/java/teammates/storage/entity/FeedbackQuestion.java,DM,DM,97.21,DM,100,UM
teammates,UI,src/e2e/java/teammates/e2e/cases/InstructorFeedbackSessionsPageE2ETest.java,DM,DM,101.3,DM,100,DM
teammates,UI,src/main/java/teammates/ui/webapi/RegenerateInstructorKeyAction.java,UM,DM,64.26,UM,20,UM
teammates,UI,src/main/java/teammates/common/datatransfer/logs/EmailSentLogDetails.java,DM,DM,84.99,DM,90,DM
teammates,UI,src/main/java/teammates/ui/webapi/FeedbackSessionPublishedRemindersAction.java,UM,DM,68.12,UM,10,UM
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackNumericalScaleQuestionDetails.java,DM,DM,78.67,DM,95,DM
teammates,UI,src/main/java/teammates/common/datatransfer/InstructorPermissionSet.java,DM,DM,74.55,DM,90,DM
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackMsqResponseDetails.java,DM,DM,85.97,DM,95,DM
teammates,UI,src/main/java/teammates/common/datatransfer/UserInfoCookie.java,DM,DM,85.78,DM,85,DM
teammates,UI,src/e2e/java/teammates/e2e/util/MaximumRetriesExceededException.java,DM,DM,96.06,DM,65,DM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorNotificationsPage.java,DM,DM,98.53,DM,100,DM
teammates,UI,src/main/java/teammates/common/datatransfer/CourseRoster.java,DM,DM,78.18,DM,100,DM
teammates,UI,src/main/java/teammates/logic/api/AuthProxy.java,DM,DM,74.43,DM,95,DM
teammates,UI,src/main/java/teammates/ui/webapi/GetSessionResponseStatsAction.java,UM,DM,73.95,UM,15,UM
teammates,UI,src/main/java/teammates/ui/webapi/GetDeadlineExtensionAction.java,UM,DM,68.01,UM,10,UM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/CourseJoinConfirmationPage.java,DM,DM,96.76,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/AdminAccountsPageE2ETest.java,DM,DM,99.1,DM,100,DM
teammates,UI,src/main/java/teammates/ui/webapi/GetInstructorAction.java,UM,DM,71.98,UM,20,UM
teammates,UI,src/main/java/teammates/common/exception/EntityAlreadyExistsException.java,DM,DM,87.11,DM,95,DM
teammates,UI,src/main/java/teammates/ui/output/FeedbackVisibilityType.java,UM,UM,1,DM,100,UM
teammates,UI,src/main/java/teammates/ui/webapi/CreateFeedbackSessionAction.java,UM,DM,82.01,UM,0,UM
teammates,UI,src/main/java/teammates/ui/webapi/FeedbackSessionUnpublishedEmailWorkerAction.java,UM,DM,83.02,DM,70,UM
teammates,UI,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java,UM,UM,1,DM,80,UM
teammates,UI,src/main/java/teammates/ui/webapi/GetAccountsAction.java,UM,DM,69.19,DM,95,UM
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackTextQuestionDetails.java,DM,DM,83.82,DM,100,DM
teammates,UI,src/main/java/teammates/ui/webapi/GetUserCookieAction.java,UM,UM,3.18,UM,0,UM
teammates,UI,src/main/java/teammates/logic/api/UserProvision.java,DM,DM,72.08,DM,90,DM
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForSanitizedDataInInstructorAttributes.java,DM,DM,126.66,DM,100,DM
teammates,UI,src/main/java/teammates/ui/request/InstructorCreateRequest.java,UM,UM,1,DM,70,UM
teammates,UI,src/main/java/teammates/storage/search/AccountRequestSearchManager.java,DM,DM,108.21,DM,80,DM
teammates,UI,src/main/java/teammates/ui/webapi/ResetAccountAction.java,UM,DM,76.86,UM,10,UM
teammates,UI,src/client/java/teammates/client/scripts/IndexFeedbackSessionFields.java,DM,DM,129.07,DM,100,DM
teammates,UI,src/main/java/teammates/common/exception/InvalidParametersException.java,DM,DM,86.44,DM,95,DM
teammates,UI,src/main/java/teammates/logic/api/RecaptchaVerifier.java,DM,DM,75.27,DM,100,DM
teammates,UI,src/main/java/teammates/ui/request/InvalidHttpRequestBodyException.java,UM,UM,1.18,DM,70,DM
teammates,UI,src/main/java/teammates/common/datatransfer/attributes/StudentAttributes.java,DM,DM,97.77,DM,90,DM
teammates,UI,src/client/java/teammates/client/scripts/GoogleIdMigrationBaseScript.java,DM,DM,123.21,DM,90,DM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/Browser.java,DM,DM,110.17,DM,100,DM
teammates,UI,src/main/java/teammates/common/util/AppUrl.java,DM,DM,83.82,DM,90,DM
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackRubricResponseDetails.java,DM,DM,86.73,DM,95,DM
teammates,UI,src/main/java/teammates/common/datatransfer/AttributesDeletionQuery.java,DM,DM,79.3,DM,95,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/StudentHomePageE2ETest.java,DM,DM,115.4,DM,100,DM
teammates,UI,src/main/java/teammates/storage/search/SearchDocument.java,DM,DM,113.01,DM,95,UM
teammates,UI,src/main/java/teammates/common/util/Url.java,DM,DM,84.35,DM,95,DM
teammates,UI,src/main/java/teammates/ui/output/FeedbackSessionStatsData.java,UM,UM,1,DM,80,UM
teammates,UI,src/main/java/teammates/ui/webapi/QueryLogsAction.java,UM,UM,39.07,UM,10,UM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorStudentActivityLogsPageAxeTest.java,DM,DM,120.38,DM,100,DM
teammates,UI,src/main/java/teammates/ui/output/AccountRequestData.java,UM,UM,1,DM,80,UM
teammates,UI,src/main/java/teammates/common/datatransfer/logs/InstanceLogDetails.java,DM,DM,86.86,DM,90,DM
teammates,UI,src/main/java/teammates/ui/webapi/GetFeedbackSessionsAction.java,UM,DM,77.02,DM,70,UM
teammates,UI,src/client/java/teammates/client/util/ClientProperties.java,DM,DM,132.94,DM,80,DM
teammates,UI,src/main/java/teammates/ui/output/NotificationsData.java,UM,UM,1,DM,90,UM
teammates,UI,src/main/java/teammates/ui/webapi/UnpublishFeedbackSessionAction.java,UM,DM,79.61,DM,85,UM
teammates,UI,src/main/java/teammates/ui/webapi/SendEmailWorkerAction.java,UM,UM,1,UM,20,UM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorFeedbackEditPage.java,DM,DM,60.93,DM,95,DM
teammates,UI,src/main/java/teammates/logic/external/TaskQueueService.java,DM,DM,74.16,DM,95,DM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/AdminSearchPage.java,DM,DM,80.65,DM,100,DM
teammates,UI,src/main/java/teammates/common/datatransfer/logs/ExceptionLogDetails.java,DM,DM,85.99,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorHomePageAxeTest.java,DM,DM,118.54,DM,100,DM
teammates,UI,src/main/java/teammates/storage/entity/AccountRequest.java,DM,DM,105.44,DM,95,DM
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackRankOptionsResponseDetails.java,DM,DM,85.23,DM,85,DM
teammates,UI,src/main/java/teammates/ui/request/AccountCreateRequest.java,UM,UM,2.14,DM,70,UM
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForStudentsAndTeamsRecipientType.java,DM,DM,127.09,DM,100,DM
teammates,UI,src/client/java/teammates/client/util/BackDoor.java,DM,DM,125.22,DM,70,DM
teammates,UI,src/main/java/teammates/ui/output/OngoingSession.java,UM,UM,2.06,UM,20,UM
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForTeamNameInResponseGiver.java,DM,DM,121.1,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/InstructorStudentActivityLogsPageE2ETest.java,DM,DM,97.15,DM,100,DM
teammates,UI,src/main/java/teammates/common/datatransfer/attributes/InstructorAttributes.java,DM,DM,65.63,DM,100,DM
teammates,UI,src/client/java/teammates/client/util/package-info.java,DM,DM,126.64,DM,90,DM
teammates,UI,src/main/java/teammates/ui/servlets/WebApiServlet.java,UM,DM,94.94,UM,20,UM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorCourseDetailsPage.java,DM,DM,87.77,DM,100,DM
teammates,UI,src/main/java/teammates/ui/webapi/CreateFeedbackResponseCommentAction.java,UM,DM,75.28,UM,50,UM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/AdminHomePage.java,DM,DM,92.31,DM,100,DM
teammates,UI,src/main/java/teammates/ui/webapi/GetInstructorPrivilegeAction.java,UM,DM,75.09,DM,60,UM
teammates,UI,src/main/java/teammates/ui/webapi/AuthType.java,UM,UM,1,DM,70,UM
teammates,UI,src/e2e/java/teammates/e2e/cases/InstructorSearchPageE2ETest.java,DM,DM,93.47,DM,100,DM
teammates,UI,src/main/java/teammates/common/datatransfer/logs/QueryLogsParams.java,DM,DM,81.63,DM,95,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorCourseJoinConfirmationPageAxeTest.java,DM,DM,119.04,DM,100,DM
teammates,UI,src/client/java/teammates/client/scripts/ListActiveInstructors.java,DM,DM,124.48,DM,95,DM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorStudentActivityLogsPage.java,DM,DM,90.36,DM,100,DM
teammates,UI,src/main/java/teammates/ui/output/SessionResultsData.java,UM,UM,30.76,UM,20,UM
teammates,UI,src/main/java/teammates/ui/output/ApiOutput.java,UM,UM,1,DM,80,UM
teammates,UI,src/main/java/teammates/ui/output/EnrollStudentsData.java,UM,UM,1,DM,85,UM
teammates,UI,src/e2e/java/teammates/e2e/cases/BaseE2ETestCase.java,DM,DM,87.17,DM,100,DM
teammates,UI,src/main/java/teammates/ui/output/InstructorPrivilegeData.java,UM,UM,1,UM,40,UM
