Project,Module,File,ground truth,BM25,BM25 Score,LLM-S,LLM-S Score,IP-RAG-A
teammates,UI,src/main/java/teammates/common/util/JsonUtils.java,Common,Common,73.69,Common,95,Common
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorSearchPageAxeTest.java,E2E,E2E,118.06,E2E,100,E2E
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForGoogleIdToGmail.java,Client,Client,131.19,Client,90,Client
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/AdminNotificationsPageAxeTest.java,E2E,E2E,118.81,E2E,100,E2E
teammates,UI,src/e2e/java/teammates/e2e/cases/InstructorFeedbackEditPageE2ETest.java,E2E,E2E,102.25,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/request/FeedbackQuestionUpdateRequest.java,None,None,1,Common,60,None
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForUnencryptedKeyForInstructors.java,Client,Client,128.07,Client,100,Client
teammates,UI,src/main/java/teammates/logic/api/package-info.java,Logic,Logic,75.33,Logic,95,Logic
teammates,UI,src/main/java/teammates/ui/servlets/AuthServlet.java,None,None,2.55,None,20,None
teammates,UI,src/main/java/teammates/ui/request/MarkNotificationAsReadRequest.java,None,None,15.36,Common,95,None
teammates,UI,src/main/java/teammates/common/datatransfer/attributes/NotificationAttributes.java,Common,Common,73.11,Common,95,Common
teammates,UI,src/e2e/java/teammates/e2e/cases/FeedbackNumScaleQuestionE2ETest.java,E2E,E2E,93.45,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/servlets/DevServerLoginServlet.java,None,None,21.83,None,20,None
teammates,UI,src/main/java/teammates/common/datatransfer/logs/LogEvent.java,Common,Common,86.73,Common,85,Common
teammates,UI,src/main/java/teammates/logic/external/EmailSenderService.java,Logic,Logic,73.92,Logic,95,Logic
teammates,UI,src/main/java/teammates/ui/output/SessionLinksRecoveryResponseData.java,None,None,1,Common,80,None
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorFeedbackEditPageAxeTest.java,E2E,E2E,117.8,E2E,100,E2E
teammates,UI,src/main/java/teammates/logic/core/FeedbackQuestionsLogic.java,Logic,Logic,83.51,Logic,100,Logic
teammates,UI,src/main/java/teammates/storage/entity/Course.java,Storage,Storage,106.8,Storage,100,None
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorFeedbackReportPageAxeTest.java,E2E,E2E,120.72,E2E,100,E2E
teammates,UI,src/e2e/java/teammates/e2e/cases/FeedbackRubricQuestionE2ETest.java,E2E,E2E,92.59,E2E,100,E2E
teammates,UI,src/client/java/teammates/client/scripts/statistics/package-info.java,Client,Client,134.74,Client,100,Client
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorStudentListPageAxeTest.java,E2E,E2E,118.7,E2E,100,E2E
teammates,UI,src/main/java/teammates/logic/core/AccountRequestsLogic.java,Logic,Logic,72.06,Logic,95,Logic
teammates,UI,src/main/java/teammates/ui/webapi/JsonResult.java,None,None,4.54,Common,80,None
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackRankOptionsQuestionDetails.java,Common,Common,77.55,Common,95,Common
teammates,UI,src/main/java/teammates/ui/webapi/GetOngoingSessionsAction.java,None,Logic,72.78,Client,100,None
teammates,UI,src/main/java/teammates/ui/webapi/MarkNotificationAsReadAction.java,None,Logic,66.55,None,10,None
teammates,UI,src/main/java/teammates/common/util/TaskWrapper.java,Common,Common,86.34,Common,95,Common
teammates,UI,src/main/java/teammates/ui/webapi/EntityNotFoundException.java,None,None,1,Common,80,None
teammates,UI,src/main/java/teammates/storage/api/UsageStatisticsDb.java,Storage,Storage,114.25,Storage,90,Storage
teammates,UI,src/main/java/teammates/ui/constants/ApiConst.java,None,None,4.12,Common,80,Common
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/AdminSessionsPage.java,E2E,E2E,102.25,E2E,100,E2E
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForSampleGoogleIdInStudentAttributes.java,Client,Client,128.07,Client,85,Client
teammates,UI,src/main/java/teammates/ui/webapi/SessionLinksRecoveryAction.java,None,None,19.9,None,20,None
teammates,UI,src/main/java/teammates/ui/output/RegenerateKeyData.java,None,None,1.3,Common,80,None
teammates,UI,src/main/java/teammates/storage/entity/FeedbackResponse.java,Storage,Storage,102.26,Storage,100,Storage
teammates,UI,src/main/java/teammates/ui/request/Intent.java,None,None,1,None,30,Common
teammates,UI,src/main/java/teammates/logic/external/EmptyEmailService.java,Logic,Logic,73.63,Logic,100,Logic
teammates,UI,src/main/java/teammates/ui/output/SessionVisibleSetting.java,None,None,3.7,Common,90,None
teammates,UI,src/main/java/teammates/ui/servlets/RequestTraceFilter.java,None,None,32.55,None,20,None
teammates,UI,src/main/java/teammates/ui/request/BasicRequest.java,None,None,1,Common,70,None
teammates,UI,src/main/java/teammates/storage/search/InstructorSearchManager.java,Storage,Storage,106.8,Storage,90,Storage
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/FeedbackResultsPageAxeTest.java,E2E,E2E,117.8,E2E,95,E2E
teammates,UI,src/main/java/teammates/common/datatransfer/SessionResultsBundle.java,Common,Common,106.05,None,0,Common
teammates,UI,src/main/java/teammates/ui/webapi/UpdateInstructorAction.java,None,Logic,78.54,None,20,None
teammates,UI,src/e2e/java/teammates/e2e/cases/FeedbackSubmitPageE2ETest.java,E2E,E2E,94.18,E2E,100,E2E
teammates,UI,src/main/java/teammates/logic/core/package-info.java,Logic,Logic,74.36,Logic,95,Logic
teammates,UI,src/main/java/teammates/common/datatransfer/logs/RequestLogUser.java,Common,Common,86.86,Common,100,Common
teammates,UI,src/main/java/teammates/ui/webapi/FeedbackSessionPublishedEmailWorkerAction.java,None,Logic,83.02,None,20,None
teammates,UI,src/main/java/teammates/ui/webapi/RegenerateStudentKeyAction.java,None,Logic,64.26,None,20,None
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/AdminSessionsPageAxeTest.java,E2E,E2E,114.77,E2E,100,E2E
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorCourseStudentDetailsEditPage.java,E2E,E2E,92.54,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/output/FeedbackSessionData.java,None,None,4.51,None,30,None
teammates,UI,src/main/java/teammates/ui/webapi/GetFeedbackQuestionRecipientsAction.java,None,Logic,76.15,Logic,70,None
teammates,UI,src/main/java/teammates/ui/webapi/RestoreFeedbackSessionAction.java,None,Logic,75.9,Logic,70,None
teammates,UI,src/main/java/teammates/ui/webapi/CompileLogsAction.java,None,None,1.48,None,30,None
teammates,UI,src/main/java/teammates/ui/webapi/SendLoginEmailAction.java,None,None,27.32,None,20,None
teammates,UI,src/main/java/teammates/ui/webapi/AdminOnlyAction.java,None,None,3.83,None,20,None
teammates,UI,src/main/java/teammates/logic/core/DeadlineExtensionsLogic.java,Logic,Logic,70.88,Logic,100,Logic
teammates,UI,src/main/java/teammates/storage/api/EntitiesDb.java,Storage,Storage,99.93,Storage,95,Storage
teammates,UI,src/main/java/teammates/storage/api/OfyHelper.java,Storage,Storage,110.15,Storage,95,Storage
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorFeedbackResultsPage.java,E2E,E2E,77.73,E2E,100,E2E
teammates,UI,src/e2e/java/teammates/e2e/util/package-info.java,E2E,E2E,95.36,E2E,90,E2E
teammates,UI,src/main/java/teammates/logic/core/FeedbackResponseCommentsLogic.java,Logic,Logic,86.18,Logic,95,Logic
teammates,UI,src/main/java/teammates/ui/servlets/LoginServlet.java,None,None,41.38,None,10,None
teammates,UI,src/main/java/teammates/ui/output/FeedbackQuestionRecipientData.java,None,None,1,Common,80,None
teammates,UI,src/e2e/java/teammates/e2e/cases/InstructorCourseStudentDetailsEditPageE2ETest.java,E2E,E2E,108.34,E2E,100,E2E
teammates,UI,src/e2e/java/teammates/e2e/cases/TimezoneSyncerTest.java,E2E,E2E,159.03,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/webapi/DatastoreBackupAction.java,None,Client,113.41,Client,65,None
teammates,UI,src/main/java/teammates/ui/webapi/GetCoursesAction.java,None,Logic,77.78,Logic,80,None
teammates,UI,src/main/java/teammates/ui/webapi/UpdateFeedbackSessionAction.java,None,Logic,81.82,None,10,None
teammates,UI,src/main/java/teammates/ui/request/FeedbackSessionCreateRequest.java,None,None,1,Common,80,None
teammates,UI,src/main/java/teammates/common/exception/package-info.java,Common,Common,87.46,Common,95,Common
teammates,UI,src/main/java/teammates/ui/servlets/LegacyUrlMapper.java,None,None,10.62,Client,70,None
teammates,UI,src/main/java/teammates/logic/external/EmptyRecaptchaService.java,Logic,Logic,74.16,Logic,100,Logic
teammates,UI,src/main/java/teammates/ui/request/NotificationCreateRequest.java,None,None,1,Common,65,None
teammates,UI,src/main/java/teammates/ui/webapi/UpdateStudentAction.java,None,Logic,76.48,Logic,80,None
teammates,UI,src/e2e/java/teammates/e2e/cases/AdminHomePageE2ETest.java,E2E,E2E,106.85,E2E,100,E2E
teammates,UI,src/main/java/teammates/storage/api/package-info.java,Storage,Storage,114.25,Storage,95,Storage
teammates,UI,src/main/java/teammates/logic/core/InstructorsLogic.java,Logic,Logic,134.21,Logic,100,Logic
teammates,UI,src/main/java/teammates/logic/core/FeedbackSessionsLogic.java,Logic,Logic,116.2,Logic,100,Logic
teammates,UI,src/e2e/java/teammates/e2e/cases/FeedbackRankOptionQuestionE2ETest.java,E2E,E2E,93.26,E2E,100,E2E
teammates,UI,src/e2e/java/teammates/e2e/util/GmailServiceMaker.java,E2E,E2E,106.6,None,0,E2E
teammates,UI,src/main/java/teammates/ui/output/FeedbackSessionSubmissionStatus.java,None,None,1,Common,90,None
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForUnencryptedKeyForStudents.java,Client,Client,128.07,Client,100,Client
teammates,UI,src/e2e/java/teammates/e2e/util/TestProperties.java,E2E,E2E,117.14,E2E,90,E2E
teammates,UI,src/main/java/teammates/storage/entity/Account.java,Storage,Storage,107.85,Storage,95,None
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackMcqQuestionDetails.java,Common,Common,76.62,Common,100,Common
teammates,UI,src/main/java/teammates/common/datatransfer/InstructorPrivileges.java,Common,Common,68.18,Common,80,Common
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackConstantSumQuestionDetails.java,Common,Common,72.98,Common,80,Common
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackRankRecipientsResponseDetails.java,Common,Common,80.55,Common,95,Common
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/AdminSearchPageAxeTest.java,E2E,E2E,118.06,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/webapi/GetTimeZonesAction.java,None,None,14.42,None,10,None
teammates,UI,src/e2e/java/teammates/e2e/util/TestPropertiesTest.java,E2E,E2E,97.63,E2E,100,E2E
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForInstructorFeedbackResponseComments.java,Client,Client,127.82,Client,90,Client
teammates,UI,src/main/java/teammates/common/util/RequestTracer.java,Common,Common,81.94,Common,100,Common
teammates,UI,src/e2e/java/teammates/e2e/cases/FeedbackConstSumRecipientQuestionE2ETest.java,E2E,E2E,93.25,E2E,100,E2E
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/package-info.java,E2E,E2E,118.06,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/output/FeedbackSessionLogData.java,None,None,13.6,None,20,None
teammates,UI,src/main/java/teammates/ui/webapi/InvalidHttpParameterException.java,None,None,1.26,Common,70,None
teammates,UI,src/main/java/teammates/storage/search/SearchManagerStarter.java,Storage,Storage,111.8,Storage,90,None
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorSessionIndividualExtensionPageAxeTest.java,E2E,E2E,117.8,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/webapi/InstructorCourseJoinEmailWorkerAction.java,None,Logic,73.69,None,30,None
teammates,UI,src/main/java/teammates/common/datatransfer/logs/DefaultLogDetails.java,Common,Common,87.58,Common,80,Common
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/UserNotificationsPage.java,E2E,E2E,104.93,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/webapi/CreateInstructorAction.java,None,Logic,74.59,Logic,80,None
teammates,UI,src/main/java/teammates/ui/output/JoinStatus.java,None,None,1,None,30,None
teammates,UI,src/main/java/teammates/common/datatransfer/attributes/EntityAttributes.java,Common,Common,84.05,Common,90,Common
teammates,UI,src/main/java/teammates/common/exception/InstructorUpdateException.java,Common,Common,87.25,Common,95,Common
teammates,UI,src/main/java/teammates/ui/output/CourseSectionNamesData.java,None,None,1,None,40,None
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/StudentNotificationsPage.java,E2E,E2E,98.53,E2E,100,E2E
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackRubricQuestionDetails.java,Common,Common,75.12,Common,95,Common
teammates,UI,src/main/java/teammates/ui/output/GeneralLogsData.java,None,None,1,None,30,None
teammates,UI,src/main/java/teammates/ui/webapi/FeedbackSessionOpeningRemindersAction.java,None,Logic,82.32,None,30,None
teammates,UI,src/main/java/teammates/ui/request/FeedbackResponseCommentCreateRequest.java,None,None,1,Common,60,None
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorHomePage.java,E2E,E2E,78.55,E2E,100,E2E
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorCoursesPage.java,E2E,E2E,73.07,E2E,100,E2E
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/StudentCourseDetailsPageAxeTest.java,E2E,E2E,120.38,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/constants/QuestionTypeStructures.java,None,None,4.09,Common,95,None
teammates,UI,src/main/java/teammates/ui/webapi/DeleteCourseAction.java,None,Logic,77.33,None,20,None
teammates,UI,src/main/java/teammates/storage/api/FeedbackQuestionsDb.java,Storage,Storage,92.29,Storage,100,Storage
teammates,UI,src/main/java/teammates/ui/output/UsageStatisticsRangeData.java,None,None,1,None,30,None
teammates,UI,src/main/java/teammates/ui/webapi/UpdateNotificationAction.java,None,Logic,65.82,None,20,None
teammates,UI,src/main/java/teammates/common/datatransfer/logs/FeedbackSessionAuditLogDetails.java,Common,Common,85.72,Common,90,Common
teammates,UI,src/main/java/teammates/common/util/StringHelper.java,Common,Common,82.45,Common,95,Common
teammates,UI,src/main/java/teammates/storage/entity/BaseEntity.java,Storage,Storage,116.42,Storage,95,Storage
teammates,UI,src/e2e/java/teammates/e2e/util/TestDataValidityTest.java,E2E,E2E,88.02,E2E,85,E2E
teammates,UI,src/main/java/teammates/ui/output/FeedbackSessionLogsData.java,None,None,1.35,None,30,None
teammates,UI,src/main/java/teammates/storage/entity/FeedbackQuestion.java,Storage,Storage,97.21,Storage,100,None
teammates,UI,src/e2e/java/teammates/e2e/cases/InstructorFeedbackSessionsPageE2ETest.java,E2E,E2E,101.3,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/webapi/RegenerateInstructorKeyAction.java,None,Logic,64.26,None,20,None
teammates,UI,src/main/java/teammates/common/datatransfer/logs/EmailSentLogDetails.java,Common,Common,84.99,Common,90,Common
teammates,UI,src/main/java/teammates/ui/webapi/FeedbackSessionPublishedRemindersAction.java,None,Logic,68.12,None,10,None
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackNumericalScaleQuestionDetails.java,Common,Common,78.67,Common,95,Common
teammates,UI,src/main/java/teammates/common/datatransfer/InstructorPermissionSet.java,Common,Common,74.55,Common,90,Common
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackMsqResponseDetails.java,Common,Common,85.97,Common,95,Common
teammates,UI,src/main/java/teammates/common/datatransfer/UserInfoCookie.java,Common,Common,85.78,Common,85,Common
teammates,UI,src/e2e/java/teammates/e2e/util/MaximumRetriesExceededException.java,E2E,E2E,96.06,E2E,65,E2E
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorNotificationsPage.java,E2E,E2E,98.53,E2E,100,E2E
teammates,UI,src/main/java/teammates/common/datatransfer/CourseRoster.java,Common,Common,78.18,Common,100,Common
teammates,UI,src/main/java/teammates/logic/api/AuthProxy.java,Logic,Logic,74.43,Logic,95,Logic
teammates,UI,src/main/java/teammates/ui/webapi/GetSessionResponseStatsAction.java,None,Logic,73.95,None,15,None
teammates,UI,src/main/java/teammates/ui/webapi/GetDeadlineExtensionAction.java,None,Logic,68.01,None,10,None
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/CourseJoinConfirmationPage.java,E2E,E2E,96.76,E2E,100,E2E
teammates,UI,src/e2e/java/teammates/e2e/cases/AdminAccountsPageE2ETest.java,E2E,E2E,99.1,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/webapi/GetInstructorAction.java,None,Logic,71.98,None,20,None
teammates,UI,src/main/java/teammates/common/exception/EntityAlreadyExistsException.java,Common,Common,87.11,Common,95,Common
teammates,UI,src/main/java/teammates/ui/output/FeedbackVisibilityType.java,None,None,1,Common,100,None
teammates,UI,src/main/java/teammates/ui/webapi/CreateFeedbackSessionAction.java,None,Logic,82.01,None,0,None
teammates,UI,src/main/java/teammates/ui/webapi/FeedbackSessionUnpublishedEmailWorkerAction.java,None,Logic,83.02,Logic,70,None
teammates,UI,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java,None,None,1,Common,80,None
teammates,UI,src/main/java/teammates/ui/webapi/GetAccountsAction.java,None,Logic,69.19,Client,95,None
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackTextQuestionDetails.java,Common,Common,83.82,Common,100,Common
teammates,UI,src/main/java/teammates/ui/webapi/GetUserCookieAction.java,None,None,3.18,None,0,None
teammates,UI,src/main/java/teammates/logic/api/UserProvision.java,Logic,Logic,72.08,Logic,90,Logic
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForSanitizedDataInInstructorAttributes.java,Client,Client,126.66,Client,100,Client
teammates,UI,src/main/java/teammates/ui/request/InstructorCreateRequest.java,None,None,1,Common,70,None
teammates,UI,src/main/java/teammates/storage/search/AccountRequestSearchManager.java,Storage,Storage,108.21,Storage,80,Storage
teammates,UI,src/main/java/teammates/ui/webapi/ResetAccountAction.java,None,Logic,76.86,None,10,None
teammates,UI,src/client/java/teammates/client/scripts/IndexFeedbackSessionFields.java,Client,Client,129.07,Client,100,Client
teammates,UI,src/main/java/teammates/common/exception/InvalidParametersException.java,Common,Common,86.44,Common,95,Common
teammates,UI,src/main/java/teammates/logic/api/RecaptchaVerifier.java,Logic,Logic,75.27,Logic,100,Logic
teammates,UI,src/main/java/teammates/ui/request/InvalidHttpRequestBodyException.java,None,None,1.18,Common,70,Common
teammates,UI,src/main/java/teammates/common/datatransfer/attributes/StudentAttributes.java,Common,Common,97.77,Common,90,Common
teammates,UI,src/client/java/teammates/client/scripts/GoogleIdMigrationBaseScript.java,Client,Client,123.21,Client,90,Client
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/Browser.java,E2E,E2E,110.17,E2E,100,E2E
teammates,UI,src/main/java/teammates/common/util/AppUrl.java,Common,Common,83.82,Common,90,Common
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackRubricResponseDetails.java,Common,Common,86.73,Common,95,Common
teammates,UI,src/main/java/teammates/common/datatransfer/AttributesDeletionQuery.java,Common,Common,79.3,Common,95,Common
teammates,UI,src/e2e/java/teammates/e2e/cases/StudentHomePageE2ETest.java,E2E,E2E,115.4,E2E,100,E2E
teammates,UI,src/main/java/teammates/storage/search/SearchDocument.java,Storage,Storage,113.01,Storage,95,None
teammates,UI,src/main/java/teammates/common/util/Url.java,Common,Common,84.35,Common,95,Common
teammates,UI,src/main/java/teammates/ui/output/FeedbackSessionStatsData.java,None,None,1,Common,80,None
teammates,UI,src/main/java/teammates/ui/webapi/QueryLogsAction.java,None,None,39.07,None,10,None
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorStudentActivityLogsPageAxeTest.java,E2E,E2E,120.38,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/output/AccountRequestData.java,None,None,1,Common,80,None
teammates,UI,src/main/java/teammates/common/datatransfer/logs/InstanceLogDetails.java,Common,Common,86.86,Common,90,Common
teammates,UI,src/main/java/teammates/ui/webapi/GetFeedbackSessionsAction.java,None,Logic,77.02,Logic,70,None
teammates,UI,src/client/java/teammates/client/util/ClientProperties.java,Client,Client,132.94,Client,80,Client
teammates,UI,src/main/java/teammates/ui/output/NotificationsData.java,None,None,1,Common,90,None
teammates,UI,src/main/java/teammates/ui/webapi/UnpublishFeedbackSessionAction.java,None,Logic,79.61,Logic,85,None
teammates,UI,src/main/java/teammates/ui/webapi/SendEmailWorkerAction.java,None,None,1,None,20,None
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorFeedbackEditPage.java,E2E,E2E,60.93,E2E,95,E2E
teammates,UI,src/main/java/teammates/logic/external/TaskQueueService.java,Logic,Logic,74.16,Logic,95,Logic
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/AdminSearchPage.java,E2E,E2E,80.65,E2E,100,E2E
teammates,UI,src/main/java/teammates/common/datatransfer/logs/ExceptionLogDetails.java,Common,Common,85.99,Common,100,Common
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorHomePageAxeTest.java,E2E,E2E,118.54,E2E,100,E2E
teammates,UI,src/main/java/teammates/storage/entity/AccountRequest.java,Storage,Storage,105.44,Storage,95,Storage
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackRankOptionsResponseDetails.java,Common,Common,85.23,Common,85,Common
teammates,UI,src/main/java/teammates/ui/request/AccountCreateRequest.java,None,None,2.14,Common,70,None
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForStudentsAndTeamsRecipientType.java,Client,Client,127.09,Client,100,Client
teammates,UI,src/client/java/teammates/client/util/BackDoor.java,Client,Client,125.22,Client,70,Client
teammates,UI,src/main/java/teammates/ui/output/OngoingSession.java,None,None,2.06,None,20,None
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForTeamNameInResponseGiver.java,Client,Client,121.1,Client,100,Client
teammates,UI,src/e2e/java/teammates/e2e/cases/InstructorStudentActivityLogsPageE2ETest.java,E2E,E2E,97.15,E2E,100,E2E
teammates,UI,src/main/java/teammates/common/datatransfer/attributes/InstructorAttributes.java,Common,Common,65.63,Common,100,Common
teammates,UI,src/client/java/teammates/client/util/package-info.java,Client,Client,126.64,Client,90,Client
teammates,UI,src/main/java/teammates/ui/servlets/WebApiServlet.java,None,E2E,94.94,None,20,None
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorCourseDetailsPage.java,E2E,E2E,87.77,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/webapi/CreateFeedbackResponseCommentAction.java,None,Logic,75.28,None,50,None
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/AdminHomePage.java,E2E,E2E,92.31,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/webapi/GetInstructorPrivilegeAction.java,None,Logic,75.09,Logic,60,None
teammates,UI,src/main/java/teammates/ui/webapi/AuthType.java,None,None,1,Common,70,None
teammates,UI,src/e2e/java/teammates/e2e/cases/InstructorSearchPageE2ETest.java,E2E,E2E,93.47,E2E,100,E2E
teammates,UI,src/main/java/teammates/common/datatransfer/logs/QueryLogsParams.java,Common,Common,81.63,Common,95,Common
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorCourseJoinConfirmationPageAxeTest.java,E2E,E2E,119.04,E2E,100,E2E
teammates,UI,src/client/java/teammates/client/scripts/ListActiveInstructors.java,Client,Client,124.48,Client,95,Client
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/InstructorStudentActivityLogsPage.java,E2E,E2E,90.36,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/output/SessionResultsData.java,None,None,30.76,None,20,None
teammates,UI,src/main/java/teammates/ui/output/ApiOutput.java,None,None,1,Common,80,None
teammates,UI,src/main/java/teammates/ui/output/EnrollStudentsData.java,None,None,1,Common,85,None
