file_path,Facade,MediaManagement,UserManagement,UserDBAdapter,TagWatermarking,Packaging,ReEncoder,Database,FileStorage,best_module,best_likelihood
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/AppException.java,10.00,30.00,25.00,20.00,5.00,5.00,5.00,25.00,20.00,MediaManagement,30.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/DbException.java,5.00,10.00,20.00,80.00,5.00,0.00,0.00,70.00,0.00,UserDBAdapter,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/UnknownServerException.java,0.00,30.00,10.00,10.00,0.00,0.00,0.00,20.00,20.00,MediaManagement,30.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/FailedUploadException.java,70.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,FileStorage,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/UserAlreadyExistsException.java,0.00,0.00,30.00,70.00,0.00,0.00,0.00,80.00,0.00,Database,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/BadLoginDataException.java,0.00,0.00,90.00,10.00,0.00,0.00,0.00,0.00,0.00,UserManagement,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/ConversionException.java,5.00,10.00,0.00,0.00,20.00,10.00,80.00,0.00,15.00,ReEncoder,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/PropertiesException.java,5.00,20.00,20.00,30.00,5.00,5.00,5.00,40.00,20.00,Database,40.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/LameUtil.java,0.00,10.00,0.00,0.00,20.00,0.00,90.00,0.00,10.00,ReEncoder,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/FSUtil.java,5.00,5.00,0.00,0.00,5.00,20.00,5.00,0.00,95.00,FileStorage,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/PropertiesUtil.java,5.00,20.00,5.00,5.00,5.00,5.00,5.00,5.00,20.00,MediaManagement,20.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/JNDIUtil.java,0.00,10.00,0.00,30.00,0.00,0.00,0.00,50.00,10.00,Database,50.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessMaintenanceRemote.java,5.00,90.00,0.00,0.00,10.00,5.00,5.00,0.00,5.00,MediaManagement,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/ICacheMaintenanceRemote.java,5.00,40.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,MediaManagement,40.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessLocal.java,20.00,90.00,5.00,5.00,30.00,20.00,20.00,10.00,40.00,MediaManagement,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessRemote.java,0.00,80.00,0.00,0.00,5.00,5.00,5.00,0.00,5.00,MediaManagement,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IPackagingLocal.java,0.00,10.00,0.00,0.00,5.00,95.00,5.00,0.00,5.00,Packaging,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadCacheRemote.java,0.00,40.00,0.00,0.00,0.00,30.00,0.00,0.00,90.00,FileStorage,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadCacheLocal.java,5.00,30.00,0.00,0.00,5.00,5.00,0.00,0.00,55.00,FileStorage,55.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadMediaAccessRemote.java,10.00,80.00,0.00,0.00,5.00,2.00,3.00,0.00,0.00,MediaManagement,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IBusinessInterface.java,5.00,80.00,10.00,0.00,0.00,0.00,0.00,0.00,5.00,MediaManagement,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadMediaAccess.java,5.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,MediaManagement,70.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadMediaAccessLocal.java,10.00,90.00,0.00,0.00,20.00,10.00,5.00,0.00,30.00,MediaManagement,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IPackaging.java,0.00,5.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,Packaging,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IUserManagement.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,0.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownload.java,20.00,90.00,0.00,0.00,30.00,40.00,10.00,0.00,20.00,MediaManagement,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaManagementLocal.java,5.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,MediaManagement,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadReEncoder.java,0.00,3.00,0.00,0.00,0.00,0.00,90.00,0.00,7.00,ReEncoder,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccess.java,30.00,90.00,0.00,0.00,5.00,10.00,5.00,0.00,60.00,MediaManagement,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadReEncoderRemote.java,0.00,1.00,0.00,0.00,0.00,0.00,95.00,0.00,4.00,ReEncoder,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IUserDBAdapter.java,0.00,5.00,30.00,95.00,0.00,0.00,0.00,10.00,0.00,UserDBAdapter,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaManagement.java,10.00,95.00,0.00,0.00,5.00,15.00,0.00,0.00,20.00,MediaManagement,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadAudioWatermarking.java,10.00,20.00,0.00,0.00,90.00,5.00,5.00,0.00,10.00,TagWatermarking,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessMaintenance.java,0.00,90.00,0.00,0.00,5.00,5.00,5.00,20.00,30.00,MediaManagement,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IFacadeRemote.java,100.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,100.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadCache.java,0.00,40.00,0.00,0.00,10.00,30.00,0.00,0.00,60.00,FileStorage,60.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadReEncoderLocal.java,5.00,20.00,0.00,0.00,5.00,10.00,95.00,0.00,15.00,ReEncoder,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/ICacheMaintenanceLocal.java,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,FileStorage,70.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessMaintenanceLocal.java,0.00,90.00,5.00,0.00,10.00,10.00,5.00,0.00,15.00,MediaManagement,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadAudioWatermarkingRemote.java,20.00,60.00,0.00,0.00,90.00,0.00,0.00,0.00,10.00,TagWatermarking,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadAudioWatermarkingLocal.java,5.00,20.00,0.00,0.00,90.00,5.00,10.00,0.00,0.00,TagWatermarking,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadTagWatermarkingLocal.java,0.00,5.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,TagWatermarking,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IFacade.java,90.00,20.00,40.00,5.00,0.00,0.00,0.00,0.00,10.00,Facade,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/ICacheMaintenance.java,5.00,40.00,5.00,20.00,0.00,0.00,30.00,80.00,90.00,FileStorage,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IPackagingRemote.java,0.00,5.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,Packaging,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadTagWatermarking.java,0.00,30.00,0.00,0.00,95.00,5.00,0.00,0.00,20.00,TagWatermarking,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadTagWatermarkingRemote.java,5.00,20.00,0.00,0.00,95.00,0.00,0.00,0.00,5.00,TagWatermarking,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IUserManagementLocal.java,10.00,5.00,90.00,30.00,0.00,0.00,0.00,10.00,0.00,UserManagement,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IFacadeLocal.java,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,99.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IUserDBAdapterRemote.java,0.00,0.00,10.00,90.00,0.00,0.00,0.00,0.00,0.00,UserDBAdapter,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IUserManagementRemote.java,0.00,0.00,95.00,70.00,0.00,0.00,0.00,10.00,0.00,UserManagement,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IUserDBAdapterLocal.java,0.00,5.00,20.00,95.00,0.00,0.00,0.00,10.00,0.00,UserDBAdapter,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaManagementRemote.java,5.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,MediaManagement,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/FileContentLocal.java,0.00,5.00,0.00,0.00,0.00,5.00,0.00,10.00,80.00,FileStorage,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/FileContentRemote.java,5.00,15.00,0.00,0.00,0.00,10.00,0.00,5.00,65.00,FileStorage,65.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/AudioFileInfo.java,0.00,10.00,5.00,5.00,5.00,0.00,5.00,70.00,30.00,Database,70.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/CurrentUser.java,0.00,0.00,20.00,70.00,0.00,0.00,0.00,10.00,0.00,UserDBAdapter,70.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/AudioFile.java,0.00,10.00,0.00,0.00,5.00,20.00,10.00,40.00,90.00,FileStorage,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/FileContent.java,5.00,15.00,0.00,0.00,5.00,10.00,20.00,0.00,80.00,FileStorage,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/UserRegData.java,10.00,5.00,80.00,60.00,0.00,0.00,0.00,30.00,0.00,UserManagement,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/BaseEJB.java,10.00,15.00,5.00,5.00,0.00,0.00,0.00,5.00,10.00,MediaManagement,15.00
Implementation/mediastore.ejb.facade/src/edu/kit/ipd/sdq/mediastore/ejb/facade/FacadeImpl.java,95.00,10.00,15.00,5.00,0.00,5.00,0.00,0.00,5.00,Facade,95.00
Implementation/mediastore.ejb.usermanagement/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/usermanagement/SecurityUtil.java,0.00,0.00,95.00,20.00,0.00,0.00,0.00,5.00,0.00,UserManagement,95.00
Implementation/mediastore.ejb.usermanagement/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/usermanagement/UserManagementImpl.java,1.00,0.00,95.00,4.00,0.00,0.00,0.00,0.00,0.00,UserManagement,95.00
Implementation/mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/UserDBAdapterImpl.java,0.00,0.00,20.00,95.00,0.00,0.00,0.00,15.00,0.00,UserDBAdapter,95.00
Implementation/mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/User.java,0.00,0.00,10.00,90.00,0.00,0.00,0.00,80.00,0.00,UserDBAdapter,90.00
Implementation/mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/DbManager.java,0.00,0.00,10.00,95.00,0.00,0.00,0.00,5.00,0.00,UserDBAdapter,95.00
Implementation/mediastore.ejb.audiowatermarking/src/edu/kit/ipd/sdq/mediastore/ejb/audiowatermarking/WavFileException.java,0.00,0.00,0.00,0.00,95.00,5.00,0.00,0.00,0.00,TagWatermarking,95.00
Implementation/mediastore.ejb.audiowatermarking/src/edu/kit/ipd/sdq/mediastore/ejb/audiowatermarking/AudioWatermarkingImpl.java,10.00,20.00,0.00,0.00,95.00,5.00,0.00,0.00,10.00,TagWatermarking,95.00
Implementation/mediastore.ejb.audiowatermarking/src/edu/kit/ipd/sdq/mediastore/ejb/audiowatermarking/WavFile.java,5.00,10.00,0.00,0.00,90.00,5.00,15.00,0.00,20.00,TagWatermarking,90.00
