file_path,IMBS,KDE,lb,LBP_MRF,LBSP,main,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,general,best_module,best_likelihood
bgslibrary\algorithms\IMBS\IMBS.cpp,99.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,IMBS,99.00
bgslibrary\algorithms\IMBS\IMBS.hpp,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,IMBS,100.00
bgslibrary\algorithms\KDE\NPBGmodel.h,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,KDE,99.00
bgslibrary\algorithms\KDE\NPBGmodel.cpp,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,KDE,99.00
bgslibrary\algorithms\KDE\KernelTable.h,0.00,99.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KDE,99.00
bgslibrary\algorithms\KDE\NPBGSubtractor.h,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KDE,100.00
bgslibrary\algorithms\KDE\NPBGSubtractor.cpp,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,KDE,99.00
bgslibrary\algorithms\KDE\KernelTable.cpp,0.00,99.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KDE,99.00
bgslibrary\algorithms\lb\BGModel.cpp,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,lb,95.00
bgslibrary\algorithms\lb\BGModelFuzzySom.cpp,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,lb,99.00
bgslibrary\algorithms\lb\BGModel.h,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\lb\BGModelMog.cpp,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,lb,99.00
bgslibrary\algorithms\lb\BGModelGauss.cpp,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,lb,99.00
bgslibrary\algorithms\lb\BGModelSom.h,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\lb\BGModelMog.h,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\lb\BGModelFuzzyGauss.cpp,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,lb,99.00
bgslibrary\algorithms\lb\BGModelFuzzySom.h,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\lb\BGModelSom.cpp,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\lb\BGModelGauss.h,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\lb\Types.h,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\lb\BGModelFuzzyGauss.h,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\LBP_MRF\graph.h,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,LBP_MRF,99.00
bgslibrary\algorithms\LBP_MRF\MEImage.hpp,0.00,0.00,0.00,99.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBP_MRF,99.00
bgslibrary\algorithms\LBP_MRF\block.h,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,LBP_MRF,99.00
bgslibrary\algorithms\LBP_MRF\MEImage.cpp,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,LBP_MRF,99.00
bgslibrary\algorithms\LBP_MRF\MEHistogram.hpp,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBP_MRF,100.00
bgslibrary\algorithms\LBP_MRF\MotionDetection.cpp,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,LBP_MRF,99.00
bgslibrary\algorithms\LBP_MRF\MEDefs.cpp,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBP_MRF,100.00
bgslibrary\algorithms\LBP_MRF\graph.cpp,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,LBP_MRF,99.00
bgslibrary\algorithms\LBP_MRF\MEHistogram.cpp,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,LBP_MRF,99.00
bgslibrary\algorithms\LBP_MRF\MotionDetection.hpp,0.00,0.00,1.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBP_MRF,99.00
bgslibrary\algorithms\LBP_MRF\maxflow.cpp,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBP_MRF,100.00
bgslibrary\algorithms\LBP_MRF\MEDefs.hpp,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,LBP_MRF,99.00
bgslibrary\algorithms\LBSP\LBSP.cpp,0.00,0.00,0.00,5.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,100.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.cpp,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,LBSP,98.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorPAWCS.cpp,0.00,0.00,5.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorLBSP.h,0.00,0.00,0.00,5.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,LBSP,99.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorLBSP_.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorSuBSENSE.h,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,LBSP,98.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.h,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,LBSP,99.00
bgslibrary\algorithms\LBSP\DistanceUtils.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,100.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorSuBSENSE.cpp,0.00,0.00,5.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\LBSP\LBSP_.cpp,0.00,0.00,0.00,5.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,LBSP,99.00
bgslibrary\algorithms\LBSP\RandUtils.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,100.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorLBSP_.cpp,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,LBSP,99.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorLBSP.cpp,0.00,0.00,5.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,LBSP,99.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorPAWCS.h,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,LBSP,99.00
bgslibrary\algorithms\LBSP\LBSP.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,100.00
bgslibrary\algorithms\LBSP\LBSP_.h,0.00,0.00,0.00,1.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,99.00
bgslibrary\algorithms\MultiLayer\BlobLibraryConfiguration.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\MultiLayer\BlobResult.h,0.00,0.00,0.00,0.00,0.00,1.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MultiLayer,99.00
bgslibrary\algorithms\MultiLayer\blob.cpp,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,MultiLayer,99.00
bgslibrary\algorithms\MultiLayer\BackgroundSubtractionAPI.h,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,MultiLayer,99.00
bgslibrary\algorithms\MultiLayer\BlobExtraction.h,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,MultiLayer,99.00
bgslibrary\algorithms\MultiLayer\BlobResult.cpp,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,MultiLayer,99.00
bgslibrary\algorithms\MultiLayer\blob.h,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,MultiLayer,99.00
bgslibrary\algorithms\MultiLayer\BlobExtraction.cpp,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,MultiLayer,99.00
bgslibrary\algorithms\MultiLayer\BGS.h,0.00,0.00,0.00,5.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MultiLayer,95.00
bgslibrary\algorithms\MultiLayer\LocalBinaryPattern.cpp,0.00,0.00,5.00,10.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,MultiLayer,90.00
bgslibrary\algorithms\MultiLayer\CMultiLayerBGS.h,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MultiLayer,100.00
bgslibrary\algorithms\MultiLayer\OpenCvLegacyIncludes.h,1.00,1.00,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,85.00,general,85.00
bgslibrary\algorithms\MultiLayer\CMultiLayerBGS.cpp,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,MultiLayer,99.00
bgslibrary\algorithms\MultiLayer\LocalBinaryPattern.h,0.00,0.00,1.00,10.00,5.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,MultiLayer,95.00
bgslibrary\algorithms\MultiLayer\OpenCvDataConversion.h,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,MultiLayer,95.00
bgslibrary\algorithms\PBAS\PBAS.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,PBAS,100.00
bgslibrary\algorithms\PBAS\PBAS.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,PBAS,100.00
bgslibrary\algorithms\SigmaDelta\sdLaMa091.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,SigmaDelta,100.00
bgslibrary\algorithms\SigmaDelta\sdLaMa091.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,SigmaDelta,100.00
bgslibrary\algorithms\T2F\MRF.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\T2F\T2FGMM.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,1.00,T2F,99.00
bgslibrary\algorithms\T2F\T2FGMM.cpp,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,T2F,98.00
bgslibrary\algorithms\T2F\T2FMRF.cpp,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,2.00,T2F,98.00
bgslibrary\algorithms\T2F\T2FMRF.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,1.00,T2F,99.00
bgslibrary\algorithms\T2F\MRF.cpp,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,LBP_MRF,90.00
bgslibrary\algorithms\TwoPoints\two_points.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\TwoPoints\two_points.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,TwoPoints,99.00
bgslibrary\algorithms\ViBe\vibe-background-sequential.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,ViBe,100.00
bgslibrary\algorithms\ViBe\vibe-background-sequential.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,ViBe,100.00
bgslibrary\algorithms\VuMeter\TBackground.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,1.00,VuMeter,99.00
bgslibrary\algorithms\VuMeter\TBackgroundVuMeter.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,VuMeter,100.00
bgslibrary\algorithms\VuMeter\TBackgroundVuMeter.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,VuMeter,100.00
bgslibrary\algorithms\VuMeter\TBackground.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,VuMeter,100.00
bgslibrary\algorithms\DPEigenbackground.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\AdaptiveSelectiveBackgroundLearning.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,TwoPoints,99.00
bgslibrary\algorithms\algorithms.cpp,1.00,1.00,1.00,1.00,1.00,85.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,main,85.00
bgslibrary\algorithms\AdaptiveBackgroundLearning.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\CodeBook.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\AdaptiveBackgroundLearning.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\algorithms.h,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,main,95.00
bgslibrary\algorithms\AdaptiveSelectiveBackgroundLearning.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\DPAdaptiveMedian.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,TwoPoints,95.00
bgslibrary\algorithms\DPEigenbackground.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\DPMean.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\DPMean.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,TwoPoints,99.00
bgslibrary\algorithms\DPPratiMediod.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,TwoPoints,99.00
bgslibrary\algorithms\DPGrimsonGMM.cpp,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,lb,95.00
bgslibrary\algorithms\DPAdaptiveMedian.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\DPTexture.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\CodeBook.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\DPWrenGA.cpp,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,lb,95.00
bgslibrary\algorithms\FrameDifference.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\DPZivkovicAGMM.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\DPTexture.h,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBP_MRF,90.00
bgslibrary\algorithms\GMG.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\IBGS.h,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,main,95.00
bgslibrary\algorithms\DPGrimsonGMM.h,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,5.00
bgslibrary\algorithms\FuzzySugenoIntegral.cpp,0.00,0.00,35.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,None,35.00
bgslibrary\algorithms\DPWrenGA.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\FuzzyChoquetIntegral.cpp,0.00,0.00,60.00,10.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,5.00,lb,60.00
bgslibrary\algorithms\IndependentMultimodal.cpp,95.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,IMBS,95.00
bgslibrary\algorithms\IndependentMultimodal.h,90.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,IMBS,90.00
bgslibrary\algorithms\DPZivkovicAGMM.cpp,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,10.00
bgslibrary\algorithms\FrameDifference.cpp,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,10.00,0.00,15.00,0.00,0.00,10.00,None,15.00
bgslibrary\algorithms\KDE.h,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KDE,100.00
bgslibrary\algorithms\KDE.cpp,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KDE,100.00
bgslibrary\algorithms\FuzzySugenoIntegral.h,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,None,15.00
bgslibrary\algorithms\FuzzyChoquetIntegral.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,None,10.00
bgslibrary\algorithms\DPPratiMediod.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\LBAdaptiveSOM.cpp,0.00,0.00,10.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,main,85.00
bgslibrary\algorithms\KNN.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\KNN.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\LBFuzzyAdaptiveSOM.cpp,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,10.00
bgslibrary\algorithms\LBMixtureOfGaussians.cpp,0.00,0.00,10.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,main,90.00
bgslibrary\algorithms\LBP_MRF.cpp,0.00,0.00,0.00,99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBP_MRF,99.00
bgslibrary\algorithms\LBMixtureOfGaussians.h,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,5.00,TwoPoints,90.00
bgslibrary\algorithms\LBP_MRF.h,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBP_MRF,100.00
bgslibrary\algorithms\LBFuzzyGaussian.cpp,0.00,0.00,5.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,main,95.00
bgslibrary\algorithms\LBSimpleGaussian.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
