file_path,DistributedCameraSourceMgr,DistributedCameraSinkMgr,ChannelCommon,ChannelSink,CameraDataProcessCommon,CameraDataPreProcess,CameraDataPostProcess,CameraServiceCommon,VirtualCameraHdf,utils,best_module,best_likelihood
camera_hdf\hdi_impl\src\dstream_operator\doffline_stream_operator.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\src\dstream_operator\dimage_buffer.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
camera_hdf\hdi_impl\src\dstream_operator\dbuffer_manager.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
camera_hdf\hdi_impl\src\dstream_operator\dstream_operator.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\src\dstream_operator\dcamera_steam.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\src\utils\dcamera.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,utils,95.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_callback_stub.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_callback_stub.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_callback.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_proxy.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_callback.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,CameraServiceCommon,90.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_proxy.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_callback.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_proxy.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_callback.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_callback_stub.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_proxy.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_callback_stub.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_proxy.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\operator\doffline_stream_operator_proxy.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_callback.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_callback_stub.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_callback_stub.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_proxy.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_callback.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
camera_hdf\interfaces\hdi_ipc\client\operator\doffline_stream_operator_proxy.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,VirtualCameraHdf,90.00
camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_callback.cpp,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_proxy.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_callback_stub.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_callback.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_proxy.h,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_callback_stub.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\config\host\dcamera_host_config.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\config\provider\dcamera_provider_config.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\ipc_data_utils.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
camera_hdf\interfaces\include\types.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
camera_hdf\interfaces\include\idistributed_camera_provider.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\include\idistributed_camera_provider_callback.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
common\include\constants\distributed_camera_errno.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,utils,95.00
common\include\constants\distributed_camera_constants.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
common\include\utils\dcamera_index.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,utils,95.00
common\include\utils\data_buffer.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,utils,95.00
common\include\utils\dcamera_utils_tools.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,utils,98.00
common\src\utils\dcamera_utils_tools.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,utils,95.00
common\src\utils\data_buffer.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,utils,95.00
interfaces\inner_kits\native_cpp\camera_sink\include\dcamera_sink_handler.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
interfaces\inner_kits\native_cpp\camera_sink\include\dcamera_sink_handler_ipc.h,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,98.00
interfaces\inner_kits\native_cpp\camera_sink\include\idistributed_camera_sink.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
interfaces\inner_kits\native_cpp\camera_sink\include\distributed_camera_sink_proxy.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
interfaces\inner_kits\native_cpp\camera_sink\src\dcamera_sink_handler_ipc.cpp,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
interfaces\inner_kits\native_cpp\camera_sink\src\dcamera_sink_handler.cpp,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
interfaces\inner_kits\native_cpp\camera_sink\src\distributed_camera_sink_proxy.cpp,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\include\callback\dcamera_source_callback_stub.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\include\callback\idcamera_source_callback.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\include\callback\dcamera_source_callback.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\include\dcamera_source_handler_ipc.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\include\idistributed_camera_source.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\include\dcamera_source_handler.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\include\distributed_camera_source_proxy.h,12.00,2.00,5.00,1.00,3.00,1.00,2.00,85.00,4.00,2.00,CameraServiceCommon,85.00
interfaces\inner_kits\native_cpp\camera_source\src\callback\dcamera_source_callback_stub.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\src\callback\dcamera_source_callback.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\src\dcamera_source_handler_ipc.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\src\dcamera_source_handler.cpp,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,98.00
interfaces\inner_kits\native_cpp\camera_source\src\distributed_camera_source_proxy.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\base\include\dcamera_info_cmd.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
services\cameraservice\base\include\dcamera_channel_info_cmd.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
services\cameraservice\base\include\dcamera_protocol.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
services\cameraservice\base\include\dcamera_metadata_setting_cmd.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,CameraServiceCommon,85.00
services\cameraservice\base\include\dcamera_open_info_cmd.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
services\cameraservice\base\include\dcamera_event_cmd.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,CameraServiceCommon,85.00
services\cameraservice\base\include\dcamera_capture_info_cmd.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
services\cameraservice\base\include\icamera_controller.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,CameraServiceCommon,90.00
services\cameraservice\base\src\dcamera_event_cmd.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
services\cameraservice\base\src\dcamera_capture_info_cmd.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
services\cameraservice\base\src\dcamera_metadata_setting_cmd.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
services\cameraservice\base\src\dcamera_info_cmd.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
services\cameraservice\base\src\dcamera_channel_info_cmd.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
services\cameraservice\base\src\dcamera_open_info_cmd.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_input_callback.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_session_callback.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_photo_callback.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_video_callback.h,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,utils,95.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_manager_callback.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_preview_callback.h,95.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\cameraoperator\client\include\listener\dcamera_video_surface_listener.h,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,CameraDataPostProcess,95.00
services\cameraservice\cameraoperator\client\include\listener\dcamera_photo_surface_listener.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,utils,90.00
services\cameraservice\cameraoperator\client\include\icamera_operator.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\cameraoperator\client\include\dcamera_client.h,90.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,20.00,DistributedCameraSourceMgr,90.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_manager_callback.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_photo_callback.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_session_callback.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,CameraServiceCommon,85.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_preview_callback.cpp,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,90.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_video_callback.cpp,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,90.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_input_callback.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
services\cameraservice\cameraoperator\client\src\listener\dcamera_photo_surface_listener_common.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,utils,95.00
services\cameraservice\cameraoperator\client\src\listener\dcamera_video_surface_listener.cpp,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,CameraDataPreProcess,95.00
services\cameraservice\cameraoperator\client\src\listener\dcamera_video_surface_listener_common.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\cameraoperator\client\src\listener\dcamera_photo_surface_listener.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,utils,90.00
services\cameraservice\cameraoperator\client\src\dcamera_client.cpp,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\cameraoperator\client\src\dcamera_client_common.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\cameraoperator\handler\src\dcamera_handler_common.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,utils,95.00
services\cameraservice\cameraoperator\handler\src\dcamera_handler.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,utils,95.00
services\cameraservice\sinkservice\include\distributedcamera\distributed_camera_sink_stub.h,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,90.00
services\cameraservice\sinkservice\include\distributedcamera\distributed_camera_sink_service.h,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,98.00
services\cameraservice\sinkservice\include\distributedcameramgr\callback\dcamera_sink_controller_state_callback.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\callback\dcamera_sink_output_result_callback.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\eventbus\dcamera_post_authorization_event.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\sinkservice\include\distributedcameramgr\eventbus\dcamera_frame_trigger_event.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\eventbus\dcamera_video_output_event.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\eventbus\dcamera_photo_output_event.h,2.00,95.00,1.00,1.00,1.00,1.00,1.00,3.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\interface\icamera_sink_access_control.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\interface\icamera_sink_output.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\interface\icamera_sink_data_process.h,0.00,70.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,CameraDataPreProcess,90.00
services\cameraservice\sinkservice\include\distributedcameramgr\listener\dcamera_sink_controller_channel_listener.h,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelSink,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\listener\dcamera_sink_data_process_listener.h,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,CameraDataPreProcess,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\listener\dcamera_sink_output_channel_listener.h,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_access_control.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_service_ipc.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_output.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_controller.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_dev.h,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,90.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_data_process.h,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,CameraDataPreProcess,85.00
services\cameraservice\sourceservice\include\distributedcamera\dcamera_service_state_listener.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\sourceservice\include\distributedcamera\dcamera_source_callback_proxy.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcamera\distributed_camera_source_stub.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcamera\distributed_camera_source_service.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameracontrol\dcamera_source_controller_channel_listener.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameracontrol\dcamera_source_controller.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_stream_data_process_pipeline_listener.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_source_input_channel_listener.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_source_input.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_source_data_process.h,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,CameraDataPostProcess,90.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_stream_data_process_producer.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_stream_data_process.h,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,CameraDataPreProcess,85.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerahdf\dcamera_provider_callback_impl.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerainterface\icamera_input.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
