file_path,dsp,filter_bank,general,mir,best_module,best_likelihood
src\dsp\filterDesign_freqz.c,85.00,10.00,4.00,1.00,dsp,85.00
src\dsp\filterDesign_iir.h,85.00,10.00,4.00,1.00,dsp,85.00
src\dsp\filterDesign_freqz.h,85.00,10.00,4.00,1.00,dsp,85.00
src\dsp\hilbert_algorithm.c,70.00,0.00,0.00,0.00,dsp,70.00
src\dsp\flux_window.c,80.00,2.00,15.00,3.00,dsp,80.00
src\dsp\flux_correct.h,75.00,15.00,10.00,0.00,dsp,75.00
src\dsp\resample_algorithm.c,80.00,0.00,0.00,0.00,dsp,80.00
src\dsp\flux_window.h,70.00,5.00,20.00,5.00,dsp,70.00
src\dsp\resample_algorithm.h,70.00,3.00,25.00,2.00,dsp,70.00
src\dsp\hilbert_algorithm.h,80.00,0.00,0.00,0.00,dsp,80.00
src\dsp\xcorr_algorithm.c,70.00,5.00,20.00,5.00,dsp,70.00
src\dsp\xcorr_algorithm.h,85.00,0.00,10.00,5.00,dsp,85.00
src\feature\spectral_algorithm.c,10.00,2.00,85.00,3.00,general,85.00
src\feature\deconv_algorithm.c,90.00,0.00,0.00,0.00,dsp,90.00
src\feature\spectral_algorithm.h,10.00,5.00,80.00,5.00,general,80.00
src\feature\xxcc_algorithm.h,4.00,1.00,15.00,80.00,mir,80.00
src\feature\deconv_algorithm.h,70.00,0.00,30.00,0.00,dsp,70.00
src\feature\xxcc_algorithm.c,80.00,0.00,0.00,0.00,dsp,80.00
src\filterbank\coef\__coef_r.h,35.00,45.00,15.00,5.00,None,45.00
src\filterbank\coef\__coef_d.h,90.00,0.00,0.00,0.00,dsp,90.00
src\filterbank\chroma_filterBank.c,0.00,95.00,0.00,0.00,filter_bank,95.00
src\filterbank\dwt_filterCoef.h,70.00,20.00,8.00,2.00,dsp,70.00
src\filterbank\auditory_weight.c,3.00,95.00,1.00,1.00,filter_bank,95.00
src\filterbank\cwt_filterBank.h,5.00,90.00,3.00,2.00,filter_bank,90.00
src\filterbank\cqt_filterBank.h,0.00,85.00,0.00,0.00,filter_bank,85.00
src\filterbank\cwt_filterBank.c,20.00,70.00,5.00,5.00,filter_bank,70.00
src\filterbank\cqt_filterBank.c,10.00,70.00,15.00,5.00,filter_bank,70.00
src\filterbank\chroma_filterBank.h,10.00,85.00,5.00,0.00,filter_bank,85.00
src\filterbank\auditory_filterBank.h,0.00,90.00,0.00,0.00,filter_bank,90.00
src\filterbank\auditory_weight.h,0.00,70.00,0.00,0.00,filter_bank,70.00
src\filterbank\dwt_filterCoef.c,70.00,5.00,20.00,5.00,dsp,70.00
src\filterbank\auditory_filterBank.c,10.00,85.00,3.00,2.00,filter_bank,85.00
src\filterbank\nsgt_filterBank.c,0.00,95.00,0.00,0.00,filter_bank,95.00
src\filterbank\nsgt_filterBank.h,20.00,70.00,5.00,5.00,filter_bank,70.00
src\mir\harmonicRatio_algorithm.h,0.00,0.00,0.00,90.00,mir,90.00
src\mir\_pitch_yin.h,0.00,0.00,0.00,90.00,mir,90.00
src\mir\_pitch_yin.c,0.00,0.00,0.00,90.00,mir,90.00
src\mir\hpss_algorithm.c,10.00,0.00,0.00,90.00,mir,90.00
src\mir\_pitch_stft.c,0.00,0.00,0.00,100.00,mir,100.00
src\mir\_pitch_stft.h,10.00,0.00,0.00,90.00,mir,90.00
src\mir\harmonicRatio_algorithm.c,15.00,5.00,20.00,60.00,mir,60.00
src\mir\onset_algorithm.h,0.00,0.00,0.00,100.00,mir,100.00
src\mir\onset_algorithm.c,0.00,0.00,5.00,95.00,mir,95.00
src\util\flux_wave.c,0.00,0.00,90.00,0.00,general,90.00
src\util\flux_util.c,5.00,5.00,20.00,70.00,mir,70.00
src\util\flux_util.h,10.00,3.00,85.00,2.00,general,85.00
src\util\flux_wave.h,0.00,0.00,90.00,0.00,general,90.00
src\dwt_algorithm.c,10.00,3.00,85.00,2.00,general,85.00
src\flux_spectral.c,85.00,0.00,10.00,5.00,dsp,85.00
src\bft_algorithm.h,85.00,4.00,10.00,1.00,dsp,85.00
src\flux_spectral.h,10.00,2.00,85.00,3.00,general,85.00
src\flux_base.h,0.00,55.00,0.00,0.00,filter_bank,55.00
src\cwt_algorithm.c,20.00,10.00,70.00,0.00,general,70.00
src\cwt_algorithm.h,70.00,0.00,30.00,0.00,dsp,70.00
src\dwt_algorithm.h,70.00,0.00,0.00,0.00,dsp,70.00
src\flux_temporal.c,60.00,0.00,0.00,0.00,dsp,60.00
src\cqt_algorithm.c,20.00,70.00,8.00,2.00,filter_bank,70.00
src\bft_algorithm.c,0.00,0.00,80.00,0.00,general,80.00
src\cqt_algorithm.h,0.00,0.00,70.00,0.00,general,70.00
src\pwt_algorithm.h,0.00,0.00,85.00,0.00,general,85.00
src\pwt_algorithm.c,10.00,3.00,85.00,2.00,general,85.00
src\fst_algorithm.h,70.00,5.00,20.00,5.00,dsp,70.00
src\fst_algorithm.c,80.00,3.00,15.00,2.00,dsp,80.00
src\nsgt_algorithm.h,3.00,15.00,80.00,2.00,general,80.00
src\stft_algorithm.c,95.00,0.00,0.00,0.00,dsp,95.00
src\flux_temporal.h,10.00,5.00,25.00,10.00,None,25.00
src\spectrogram_algorithm.c,30.00,20.00,40.00,10.00,None,40.00
src\spectrogram_algorithm.h,15.00,5.00,75.00,5.00,general,75.00
src\nsgt_algorithm.c,0.00,0.00,0.00,0.00,None,0.00
src\reassign_algorithm.c,30.00,0.00,70.00,0.00,general,70.00
src\reassign_algorithm.h,70.00,10.00,80.00,20.00,general,80.00
src\stft_algorithm.h,0.00,0.00,0.00,0.00,None,0.00
src\st_algorithm.c,90.00,0.00,0.00,0.00,dsp,90.00
src\wpt_algorithm.h,85.00,0.00,0.00,0.00,dsp,85.00
src\synsq_algorithm.c,20.00,5.00,70.00,5.00,general,70.00
src\swt_algorithm.c,20.00,15.00,60.00,5.00,general,60.00
src\swt_algorithm.h,85.00,0.00,15.00,0.00,dsp,85.00
src\temporal_algorithm.c,0.00,0.00,60.00,0.00,general,60.00
src\wpt_algorithm.c,0.00,0.00,70.00,0.00,general,70.00
src\temporal_algorithm.h,0.00,0.00,0.00,0.00,None,0.00
src\wsst_algorithm.c,5.00,3.00,90.00,2.00,general,90.00
src\synsq_algorithm.h,20.00,30.00,40.00,10.00,None,40.00
src\st_algorithm.h,80.00,10.00,10.00,0.00,dsp,80.00
src\wsst_algorithm.h,70.00,20.00,7.00,3.00,dsp,70.00
