file_path,data,model,strategy,backtest,rl,run,tests,utils,contrib,best_module,best_likelihood
contrib\meta\data_selection\utils.py,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,model,85.00
contrib\meta\data_selection\dataset.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
contrib\meta\data_selection\model.py,20.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,model,70.00
contrib\meta\data_selection\net.py,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,80.00
contrib\meta\__init__.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,90.00
contrib\model\gbdt.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,95.00
contrib\model\linear.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,95.00
contrib\model\pytorch_adarnn.py,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,85.00
contrib\model\pytorch_alstm_ts.py,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,model,70.00
contrib\model\pytorch_general_nn.py,10.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,model,70.00
contrib\model\pytorch_gats_ts.py,10.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,model,60.00
contrib\model\pytorch_add.py,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,model,70.00
contrib\model\pytorch_alstm.py,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,90.00
contrib\model\pytorch_gats.py,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,contrib,60.00
contrib\model\catboost_model.py,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,80.00
contrib\model\highfreq_gdbt_model.py,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,70.00
contrib\model\double_ensemble.py,10.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,model,90.00
contrib\model\pytorch_gru_ts.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,95.00
contrib\model\pytorch_sandwich.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,95.00
contrib\model\pytorch_hist.py,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,85.00
contrib\model\pytorch_krnn.py,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,model,90.00
contrib\model\pytorch_gru.py,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,model,80.00
contrib\model\pytorch_nn.py,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,model,85.00
contrib\model\pytorch_localformer_ts.py,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,85.00
contrib\model\pytorch_igmtf.py,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,90.00
contrib\model\pytorch_lstm.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,95.00
contrib\model\pytorch_localformer.py,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,model,80.00
contrib\model\pytorch_sfm.py,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,model,90.00
contrib\model\pytorch_tabnet.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,95.00
contrib\model\pytorch_lstm_ts.py,5.00,70.00,1.00,1.00,1.00,1.00,1.00,1.00,20.00,model,70.00
contrib\model\tcn.py,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,90.00
contrib\model\pytorch_transformer_ts.py,5.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,95.00
contrib\model\pytorch_utils.py,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,90.00
contrib\model\pytorch_tcn.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,model,95.00
contrib\model\pytorch_tcts.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,95.00
contrib\model\pytorch_transformer.py,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,model,90.00
contrib\model\pytorch_tcn_ts.py,5.00,80.00,5.00,2.00,2.00,1.00,1.00,1.00,3.00,model,80.00
contrib\model\__init__.py,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,None,11.00
contrib\model\pytorch_tra.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,95.00
contrib\model\xgboost.py,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,90.00
contrib\online\online_model.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,95.00
contrib\online\__init__.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,95.00
contrib\online\user.py,10.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,70.00,contrib,70.00
contrib\online\manager.py,10.00,0.00,0.00,5.00,0.00,0.00,0.00,85.00,0.00,utils,85.00
contrib\online\utils.py,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,backtest,70.00
contrib\online\operator.py,10.00,5.00,15.00,20.00,0.00,10.00,0.00,5.00,5.00,None,20.00
contrib\ops\__init__.py,5.00,5.00,5.00,5.00,5.00,20.00,20.00,20.00,20.00,None,20.00
contrib\ops\high_freq.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
contrib\report\analysis_model\analysis_model_performance.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,utils,60.00
contrib\report\analysis_model\__init__.py,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,60.00,contrib,60.00
contrib\report\analysis_position\cumulative_return.py,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,backtest,85.00
contrib\report\analysis_position\report.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,90.00,contrib,90.00
contrib\report\analysis_position\score_ic.py,0.00,20.00,0.00,0.00,0.00,0.00,0.00,70.00,10.00,utils,70.00
contrib\report\analysis_position\rank_label.py,5.00,5.00,5.00,5.00,5.00,5.00,5.00,10.00,60.00,contrib,60.00
contrib\report\analysis_position\risk_analysis.py,10.00,5.00,5.00,5.00,5.00,5.00,5.00,10.00,55.00,contrib,55.00
contrib\report\analysis_position\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,contrib,100.00
contrib\report\analysis_position\parse_position.py,20.00,0.00,0.00,60.00,0.00,0.00,0.00,10.00,10.00,backtest,60.00
contrib\report\data\ana.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,contrib,95.00
contrib\report\data\base.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,contrib,90.00
contrib\report\data\__init__.py,20.00,10.00,10.00,5.00,5.00,5.00,10.00,30.00,5.00,None,30.00
contrib\report\graph.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
contrib\report\__init__.py,20.00,5.00,5.00,5.00,5.00,5.00,15.00,40.00,10.00,None,40.00
contrib\report\utils.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,utils,100.00
contrib\rolling\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,contrib,80.00
contrib\rolling\ddgda.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,contrib,90.00
contrib\rolling\base.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,contrib,90.00
contrib\rolling\__main__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,contrib,90.00
contrib\strategy\optimizer\optimizer.py,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,90.00,contrib,90.00
contrib\strategy\optimizer\__init__.py,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,strategy,70.00
contrib\strategy\optimizer\base.py,0.00,30.00,20.00,0.00,30.00,0.00,0.00,0.00,15.00,None,30.00
contrib\strategy\optimizer\enhanced_indexing.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,contrib,90.00
contrib\strategy\order_generator.py,0.00,0.00,85.00,15.00,0.00,0.00,0.00,0.00,0.00,strategy,85.00
contrib\strategy\__init__.py,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,strategy,90.00
contrib\strategy\rule_strategy.py,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,strategy,95.00
contrib\strategy\signal_strategy.py,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,strategy,100.00
contrib\strategy\cost_control.py,5.00,5.00,80.00,5.00,5.00,5.00,5.00,5.00,10.00,strategy,80.00
contrib\tuner\tuner.py,0.00,0.00,0.00,0.00,0.00,2.00,3.00,5.00,90.00,contrib,90.00
contrib\tuner\pipeline.py,0.00,0.00,0.00,0.00,0.00,5.00,0.00,10.00,85.00,contrib,85.00
contrib\tuner\__init__.py,5.00,5.00,5.00,5.00,5.00,10.00,10.00,5.00,5.00,None,10.00
contrib\tuner\space.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,None,10.00
contrib\tuner\config.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,contrib,100.00
contrib\tuner\launcher.py,0.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00,run,70.00
contrib\workflow\__init__.py,30.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,None,30.00
contrib\workflow\record_temp.py,10.00,15.00,5.00,20.00,0.00,0.00,0.00,0.00,50.00,contrib,50.00
contrib\__init__.py,10.00,10.00,10.00,10.00,10.00,10.00,20.00,10.00,10.00,None,20.00
contrib\torch.py,10.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,10.00,utils,80.00
contrib\evaluate.py,5.00,0.00,15.00,80.00,0.00,0.00,0.00,0.00,0.00,backtest,80.00
contrib\evaluate_portfolio.py,10.00,5.00,5.00,40.00,5.00,5.00,5.00,5.00,20.00,None,40.00
data\dataset\processor.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,85.00
data\dataset\handler.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,100.00
data\dataset\utils.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,data,85.00
data\dataset\storage.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,90.00
data\dataset\loader.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
data\dataset\weight.py,20.00,5.00,5.00,5.00,5.00,5.00,5.00,45.00,10.00,None,45.00
data\dataset\__init__.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,data,90.00
data\storage\storage.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
data\storage\__init__.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,data,90.00
data\storage\file_storage.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
data\_libs\__init__.py,0.00,0.00,0.00,0.00,0.00,40.00,50.00,10.00,0.00,tests,50.00
data\data.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,data,95.00
data\cache.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
data\pit.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,90.00
data\ops.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,10.00,utils,90.00
data\__init__.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,data,95.00
data\base.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
data\filter.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
data\client.py,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,contrib,95.00
data\inst_processor.py,50.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,30.00,data,50.00
model\ens\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
model\ens\group.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,utils,90.00
model\ens\ensemble.py,10.00,20.00,5.00,5.00,0.00,0.00,0.00,10.00,50.00,contrib,50.00
model\interpret\base.py,0.00,70.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,model,70.00
model\interpret\__init__.py,10.00,10.00,10.00,10.00,10.00,10.00,30.00,10.00,10.00,None,30.00
model\meta\dataset.py,85.00,10.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,data,85.00
model\meta\model.py,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,model,85.00
model\meta\__init__.py,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,80.00
model\meta\task.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,90.00
model\riskmodel\poet.py,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,model,85.00
model\riskmodel\shrink.py,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,model,85.00
model\riskmodel\base.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,model,95.00
model\riskmodel\structured.py,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,80.00
model\riskmodel\__init__.py,5.00,10.00,5.00,5.00,5.00,5.00,5.00,50.00,15.00,utils,50.00
model\__init__.py,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,80.00
model\base.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,95.00
model\trainer.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,contrib,90.00
model\utils.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,90.00
rl\contrib\train_onpolicy.py,2.00,0.00,0.00,0.00,95.00,2.00,0.00,0.00,1.00,rl,95.00
rl\contrib\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,33.00,33.00,34.00,None,34.00
rl\contrib\naive_config_parser.py,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,backtest,70.00
rl\contrib\backtest.py,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,backtest,100.00
rl\contrib\utils.py,90.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,data,90.00
rl\data\integration.py,0.00,0.00,0.00,0.00,0.00,5.00,0.00,10.00,85.00,contrib,85.00
rl\data\base.py,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,70.00
rl\data\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,None,30.00
rl\data\native.py,35.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,None,45.00
rl\data\pickle_styled.py,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,backtest,70.00
rl\order_execution\simulator_qlib.py,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,rl,95.00
rl\order_execution\reward.py,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,rl,100.00
rl\order_execution\__init__.py,0.00,0.00,3.00,0.00,95.00,0.00,0.00,0.00,2.00,rl,95.00
rl\order_execution\simulator_simple.py,0.00,0.00,0.00,5.00,85.00,0.00,0.00,0.00,10.00,rl,85.00
rl\order_execution\interpreter.py,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,rl,90.00
rl\order_execution\strategy.py,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,rl,90.00
rl\order_execution\policy.py,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,rl,95.00
rl\order_execution\network.py,0.00,80.00,0.00,0.00,15.00,0.00,0.00,0.00,5.00,model,80.00
rl\order_execution\utils.py,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,backtest,70.00
rl\order_execution\state.py,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,backtest,60.00
rl\strategy\single_order.py,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,strategy,100.00
rl\strategy\__init__.py,0.00,0.00,60.00,0.00,0.00,0.00,0.00,10.00,30.00,strategy,60.00
rl\trainer\trainer.py,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,0.00,rl,95.00
rl\trainer\api.py,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,rl,95.00
rl\trainer\vessel.py,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,rl,100.00
rl\trainer\__init__.py,0.00,0.00,0.00,10.00,0.00,0.00,0.00,90.00,0.00,utils,90.00
rl\trainer\callbacks.py,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,rl,100.00
rl\utils\finite_env.py,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,rl,85.00
rl\utils\data_queue.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,data,85.00
rl\utils\env_wrapper.py,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,rl,100.00
rl\utils\log.py,0.00,0.00,0.00,0.00,90.00,0.00,0.00,10.00,0.00,rl,90.00
rl\utils\__init__.py,0.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,rl,70.00
rl\reward.py,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,rl,95.00
rl\interpreter.py,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,rl,95.00
rl\aux_info.py,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,rl,90.00
rl\simulator.py,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,rl,85.00
rl\seed.py,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,rl,100.00
rl\__init__.py,5.00,5.00,5.00,10.00,70.00,0.00,0.00,0.00,10.00,rl,70.00
strategy\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,None,5.00
strategy\base.py,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,strategy,90.00
utils\file.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,utils,100.00
utils\time.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
utils\index_data.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,90.00
utils\resam.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,100.00
utils\objm.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,utils,90.00
utils\serial.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
utils\__init__.py,10.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,5.00,utils,85.00
utils\mod.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
utils\data.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,utils,80.00
utils\exceptions.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,utils,70.00
utils\paral.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,utils,100.00
workflow\online\strategy.py,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,strategy,85.00
workflow\online\update.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,85.00
workflow\online\manager.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,contrib,90.00
workflow\online\__init__.py,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,None,20.00
workflow\online\utils.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,contrib,95.00
workflow\task\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,10.00,15.00,20.00,None,20.00
workflow\task\collect.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,90.00
workflow\task\gen.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,contrib,90.00
workflow\task\manage.py,5.00,5.00,5.00,5.00,5.00,5.00,5.00,30.00,40.00,None,40.00
workflow\task\utils.py,20.00,5.00,5.00,5.00,5.00,5.00,5.00,40.00,5.00,None,40.00
workflow\exp.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,contrib,80.00
workflow\record_temp.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,contrib,90.00
workflow\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,5.00,80.00,15.00,utils,80.00
workflow\utils.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,utils,70.00
workflow\recorder.py,15.00,5.00,5.00,3.00,1.00,1.00,0.00,40.00,30.00,None,40.00
workflow\expm.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,contrib,100.00
