file_path,dns,pools,ssl,general,http_general,services,httpserver,transport,best_module,best_likelihood
proxygen\httpserver\samples\hq\HQCommandLine.cpp,0.00,0.00,5.00,5.00,10.00,10.00,30.00,40.00,None,40.00
proxygen\httpserver\samples\hq\HQLoggerHelper.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,transport,100.00
proxygen\httpserver\samples\hq\HQParams.cpp,0.00,0.00,0.00,5.00,10.00,5.00,70.00,10.00,httpserver,70.00
proxygen\httpserver\samples\hq\HQParams.h,0.00,0.00,5.00,5.00,10.00,0.00,0.00,80.00,transport,80.00
proxygen\httpserver\samples\hq\HQServer.cpp,0.00,0.00,5.00,5.00,10.00,15.00,70.00,10.00,httpserver,70.00
proxygen\httpserver\samples\hq\InsecureVerifierDangerousDoNotUseInProduction.h,0.00,0.00,95.00,3.00,1.00,0.00,0.00,1.00,ssl,95.00
proxygen\httpserver\samples\hq\HQServerModule.cpp,0.00,0.00,5.00,0.00,10.00,5.00,70.00,10.00,httpserver,70.00
proxygen\httpserver\samples\hq\HQServerModule.h,0.00,0.00,0.00,5.00,10.00,5.00,60.00,20.00,httpserver,60.00
proxygen\httpserver\samples\hq\HQServer.h,0.00,0.00,5.00,5.00,10.00,15.00,50.00,15.00,httpserver,50.00
proxygen\httpserver\samples\hq\SampleHandlers.h,0.00,0.00,0.00,0.00,5.00,5.00,80.00,10.00,httpserver,80.00
proxygen\httpserver\samples\hq\main.cpp,0.00,0.00,0.00,0.00,10.00,5.00,25.00,60.00,transport,60.00
proxygen\httpserver\samples\hq\SampleHandlers.cpp,0.00,0.00,0.00,5.00,3.00,2.00,90.00,0.00,httpserver,90.00
proxygen\httpserver\samples\proxy\ProxyServer.cpp,0.00,0.00,0.00,0.00,0.00,5.00,95.00,0.00,httpserver,95.00
proxygen\httpserver\samples\proxy\ProxyStats.h,0.00,0.00,0.00,10.00,5.00,75.00,8.00,2.00,services,75.00
proxygen\httpserver\samples\proxy\SessionWrapper.h,0.00,0.00,0.00,5.00,85.00,10.00,0.00,0.00,http_general,85.00
proxygen\httpserver\samples\proxy\ProxyHandler.cpp,0.00,0.00,0.00,10.00,15.00,20.00,90.00,0.00,httpserver,90.00
proxygen\httpserver\samples\proxy\ProxyHandler.h,0.00,0.00,0.00,5.00,10.00,15.00,70.00,0.00,httpserver,70.00
proxygen\httpserver\samples\push\PushRequestHandler.cpp,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,httpserver,99.00
proxygen\httpserver\samples\push\PushRequestHandler.h,0.00,0.00,0.00,0.00,0.00,5.00,95.00,0.00,httpserver,95.00
proxygen\httpserver\samples\push\PushStats.h,0.00,0.00,0.00,10.00,5.00,75.00,10.00,0.00,services,75.00
proxygen\httpserver\samples\push\PushServer.cpp,0.00,0.00,0.00,0.00,5.00,10.00,85.00,0.00,httpserver,85.00
proxygen\httpserver\samples\static\StaticServer.cpp,0.00,0.00,0.00,5.00,5.00,5.00,95.00,0.00,httpserver,95.00
proxygen\httpserver\samples\static\StaticHandler.cpp,0.00,0.00,0.00,5.00,10.00,10.00,75.00,0.00,httpserver,75.00
proxygen\httpserver\samples\static\StaticHandler.h,0.00,0.00,0.00,5.00,10.00,15.00,98.00,0.00,httpserver,98.00
proxygen\httpserver\Mocks.h,0.00,0.00,0.00,0.00,0.00,0.00,99.00,1.00,httpserver,99.00
proxygen\httpserver\RequestHandlerFactory.h,0.00,0.00,0.00,0.00,5.00,10.00,95.00,0.00,httpserver,95.00
proxygen\httpserver\Filters.h,0.00,0.00,0.00,0.00,5.00,3.00,92.00,0.00,httpserver,92.00
proxygen\httpserver\HTTPServer.h,0.00,0.00,5.00,0.00,10.00,5.00,95.00,0.00,httpserver,95.00
proxygen\httpserver\RequestHandlerAdaptor.cpp,0.00,0.00,0.00,0.00,2.00,1.00,97.00,0.00,httpserver,97.00
proxygen\httpserver\HTTPServer.cpp,0.00,0.00,5.00,0.00,3.00,2.00,100.00,0.00,httpserver,100.00
proxygen\httpserver\PushHandler.h,0.00,0.00,0.00,0.00,10.00,5.00,95.00,0.00,httpserver,95.00
proxygen\httpserver\RequestHandler.h,0.00,0.00,0.00,5.00,90.00,5.00,3.00,2.00,http_general,90.00
proxygen\httpserver\HTTPServerAcceptor.h,0.00,0.00,0.00,0.00,5.00,5.00,90.00,0.00,httpserver,90.00
proxygen\httpserver\HTTPServerOptions.h,0.00,0.00,0.00,0.00,5.00,10.00,95.00,0.00,httpserver,95.00
proxygen\httpserver\RequestHandlerAdaptor.h,0.00,0.00,0.00,1.00,4.00,2.00,92.00,1.00,httpserver,92.00
proxygen\httpserver\HTTPServerAcceptor.cpp,0.00,0.00,1.00,0.00,5.00,5.00,90.00,0.00,httpserver,90.00
proxygen\httpserver\HTTPTransactionHandlerAdaptor.h,0.00,0.00,0.00,0.00,5.00,0.00,95.00,0.00,httpserver,95.00
proxygen\httpserver\ResponseHandler.h,0.00,0.00,0.00,5.00,90.00,3.00,2.00,0.00,http_general,90.00
proxygen\httpserver\SignalHandler.cpp,0.00,0.00,0.00,0.00,0.00,5.00,95.00,0.00,httpserver,95.00
proxygen\httpserver\ResponseBuilder.h,0.00,0.00,0.00,2.00,5.00,3.00,90.00,0.00,httpserver,90.00
proxygen\httpserver\SignalHandler.h,0.00,0.00,0.00,10.00,5.00,20.00,65.00,0.00,httpserver,65.00
proxygen\httpserver\ScopedHTTPServer.h,0.00,0.00,0.00,5.00,5.00,10.00,95.00,0.00,httpserver,95.00
proxygen\lib\dns\FutureDNSResolver.cpp,99.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,dns,99.00
proxygen\lib\dns\DNSResolver.cpp,99.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,dns,99.00
proxygen\lib\dns\CachingDNSResolver.cpp,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dns,100.00
proxygen\lib\dns\DNSModule.cpp,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dns,100.00
proxygen\lib\dns\FutureDNSResolver.h,99.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,dns,99.00
proxygen\lib\dns\DNSModule.h,99.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,dns,99.00
proxygen\lib\dns\NaiveResolutionCallback.h,99.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,dns,99.00
proxygen\lib\dns\CAresResolver.cpp,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dns,100.00
proxygen\lib\dns\NaiveResolutionCallback.cpp,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dns,100.00
proxygen\lib\dns\DNSResolver.h,99.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,dns,99.00
proxygen\lib\dns\CachingDNSResolver.h,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dns,100.00
proxygen\lib\dns\CAresResolver.h,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dns,100.00
proxygen\lib\dns\Rfc6724.cpp,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dns,100.00
proxygen\lib\dns\SyncDNSResolver.cpp,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dns,100.00
proxygen\lib\dns\Rfc6724.h,90.00,2.00,1.00,5.00,1.00,1.00,0.00,0.00,dns,90.00
proxygen\lib\dns\SyncDNSResolver.h,99.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,dns,99.00
proxygen\lib\healthcheck\ServerHealthCheckerCallback.h,0.00,90.00,0.00,5.00,0.00,4.00,0.00,1.00,pools,90.00
proxygen\lib\healthcheck\ServerHealthCheckerCallback.cpp,0.00,0.00,0.00,95.00,0.00,5.00,0.00,0.00,general,95.00
proxygen\lib\healthcheck\PoolHealthChecker.h,0.00,95.00,5.00,2.00,0.00,3.00,0.00,0.00,pools,95.00
proxygen\lib\http\codec\compress\experimental\interop\QPACKInterop.cpp,0.00,0.00,0.00,5.00,90.00,0.00,0.00,5.00,http_general,90.00
proxygen\lib\http\codec\compress\experimental\simulator\HPACKQueueTests.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\experimental\simulator\CompressionSimulator.cpp,0.00,0.00,0.00,5.00,90.00,0.00,0.00,5.00,http_general,90.00
proxygen\lib\http\codec\compress\experimental\simulator\HPACKScheme.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\experimental\simulator\CompressionTypes.h,0.00,0.00,0.00,5.00,90.00,0.00,0.00,5.00,http_general,90.00
proxygen\lib\http\codec\compress\experimental\simulator\CompressionUtils.cpp,0.00,0.00,0.00,5.00,90.00,0.00,0.00,5.00,http_general,90.00
proxygen\lib\http\codec\compress\experimental\simulator\CompressionUtils.h,0.00,0.00,0.00,5.00,90.00,0.00,0.00,0.00,http_general,90.00
proxygen\lib\http\codec\compress\experimental\simulator\QMINScheme.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\compress\experimental\simulator\HPACKQueue.h,0.00,0.00,0.00,0.00,95.00,2.00,0.00,3.00,http_general,95.00
proxygen\lib\http\codec\compress\experimental\simulator\Main.cpp,0.00,0.00,0.00,5.00,90.00,0.00,0.00,5.00,http_general,90.00
proxygen\lib\http\codec\compress\experimental\simulator\QPACKScheme.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\experimental\simulator\CompressionSimulator.h,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,http_general,99.00
proxygen\lib\http\codec\compress\experimental\simulator\CompressionScheme.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\compress\experimental\simulator\SimStreamingCallback.h,0.00,0.00,0.00,1.00,95.00,2.00,1.00,1.00,http_general,95.00
proxygen\lib\http\codec\compress\HeaderIndexingStrategy.cpp,0.00,0.00,0.00,0.00,99.00,1.00,0.00,0.00,http_general,99.00
proxygen\lib\http\codec\compress\HPACKCodec.cpp,0.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,http_general,99.00
proxygen\lib\http\codec\compress\HPACKConstants.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\compress\HeaderTable.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\compress\HeaderPiece.h,0.00,0.00,0.00,5.00,90.00,0.00,3.00,2.00,http_general,90.00
proxygen\lib\http\codec\compress\HeaderIndexingStrategy.h,0.00,0.00,0.00,1.00,95.00,2.00,1.00,1.00,http_general,95.00
proxygen\lib\http\codec\compress\HeaderTable.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\HeaderCodec.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\compress\HPACKCodec.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\CompressionInfo.h,0.00,0.00,0.00,5.00,85.00,0.00,0.00,10.00,http_general,85.00
proxygen\lib\http\codec\compress\Header.h,0.00,0.00,0.00,5.00,90.00,3.00,1.00,1.00,http_general,90.00
proxygen\lib\http\codec\compress\HPACKContext.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\HPACKContext.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\HPACKDecoder.h,0.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,http_general,99.00
proxygen\lib\http\codec\compress\HPACKDecoderBase.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\HPACKDecodeBuffer.cpp,0.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,http_general,99.00
proxygen\lib\http\codec\compress\HPACKDecoder.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\HPACKEncoder.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\HPACKDecodeBuffer.h,0.00,0.00,0.00,5.00,90.00,2.00,1.00,2.00,http_general,90.00
proxygen\lib\http\codec\compress\HPACKEncoderBase.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\HPACKEncoder.h,0.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,http_general,99.00
proxygen\lib\http\codec\compress\HPACKDecoderBase.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\HPACKEncodeBuffer.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\compress\HPACKEncodeBuffer.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\compress\HPACKHeader.cpp,0.00,0.00,0.00,0.00,99.00,0.00,1.00,0.00,http_general,99.00
proxygen\lib\http\codec\compress\HPACKEncoderBase.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\HPACKHeader.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\HPACKHeaderName.h,0.00,0.00,0.00,5.00,95.00,2.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\compress\HPACKStreamingCallback.h,0.00,0.00,0.00,0.00,99.00,1.00,0.00,0.00,http_general,99.00
proxygen\lib\http\codec\compress\Huffman.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\Logging.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\compress\Huffman.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\Logging.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\compress\NoPathIndexingStrategy.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\NoPathIndexingStrategy.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\QPACKCodec.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,http_general,95.00
proxygen\lib\http\codec\compress\QPACKCodec.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,http_general,95.00
proxygen\lib\http\codec\compress\QPACKContext.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,http_general,95.00
proxygen\lib\http\codec\compress\QPACKDecoder.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\compress\QPACKContext.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,http_general,95.00
proxygen\lib\http\codec\compress\QPACKDecoder.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,http_general,95.00
proxygen\lib\http\codec\compress\QPACKEncoder.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,5.00,http_general,95.00
proxygen\lib\http\codec\compress\QPACKEncoder.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\compress\StaticHeaderTable.cpp,0.00,0.00,0.00,1.00,98.00,1.00,0.00,0.00,http_general,98.00
proxygen\lib\http\codec\compress\QPACKStaticHeaderTable.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,http_general,95.00
proxygen\lib\http\codec\compress\QPACKHeaderTable.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,http_general,95.00
proxygen\lib\http\codec\compress\QPACKHeaderTable.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,http_general,95.00
proxygen\lib\http\codec\compress\QPACKStaticHeaderTable.cpp,0.00,0.00,0.00,5.00,90.00,2.00,1.00,2.00,http_general,90.00
proxygen\lib\http\codec\compress\StaticHeaderTable.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\DefaultHTTPCodecFactory.cpp,0.00,0.00,0.00,0.00,99.00,1.00,0.00,0.00,http_general,99.00
proxygen\lib\http\codec\HeaderDecodeInfo.cpp,0.00,0.00,0.00,0.00,99.00,1.00,0.00,0.00,http_general,99.00
proxygen\lib\http\codec\DebugFilter.h,0.00,0.00,0.00,10.00,85.00,0.00,0.00,5.00,http_general,85.00
proxygen\lib\http\codec\ErrorCode.h,0.00,0.00,0.00,5.00,90.00,3.00,1.00,1.00,http_general,90.00
proxygen\lib\http\codec\CodecUtil.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\FlowControlFilter.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\CodecProtocol.h,0.00,0.00,0.00,10.00,85.00,0.00,0.00,5.00,http_general,85.00
proxygen\lib\http\codec\FlowControlFilter.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\CodecProtocol.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\ErrorCode.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\DefaultHTTPCodecFactory.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\ControlMessageRateLimitFilter.h,0.00,0.00,0.00,5.00,95.00,2.00,1.00,0.00,http_general,95.00
proxygen\lib\http\codec\CodecUtil.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\HQControlCodec.cpp,0.00,0.00,0.00,0.00,90.00,0.00,0.00,10.00,http_general,90.00
proxygen\lib\http\codec\HQFramedCodec.cpp,0.00,0.00,0.00,0.00,95.00,2.00,0.00,3.00,http_general,95.00
proxygen\lib\http\codec\HQUnidirectionalCodec.cpp,0.00,0.00,0.00,0.00,90.00,0.00,0.00,10.00,http_general,90.00
proxygen\lib\http\codec\HQStreamCodec.cpp,0.00,0.00,0.00,0.00,90.00,0.00,0.00,10.00,http_general,90.00
proxygen\lib\http\codec\HQUtils.cpp,0.00,0.00,0.00,0.00,80.00,0.00,0.00,20.00,http_general,80.00
proxygen\lib\http\codec\HeaderDecodeInfo.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\HQControlCodec.h,0.00,0.00,0.00,5.00,90.00,0.00,0.00,5.00,http_general,90.00
proxygen\lib\http\codec\HQFramer.h,0.00,0.00,0.00,5.00,60.00,0.00,0.00,35.00,http_general,60.00
proxygen\lib\http\codec\HQFramer.cpp,0.00,0.00,0.00,5.00,85.00,0.00,0.00,10.00,http_general,85.00
proxygen\lib\http\codec\HQFramedCodec.h,0.00,0.00,0.00,0.00,90.00,0.00,0.00,10.00,http_general,90.00
proxygen\lib\http\codec\HQUnidirectionalCodec.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,http_general,95.00
proxygen\lib\http\codec\HQMultiCodec.h,0.00,0.00,0.00,0.00,90.00,5.00,0.00,5.00,http_general,90.00
proxygen\lib\http\codec\HQStreamCodec.h,0.00,0.00,0.00,5.00,85.00,2.00,0.00,8.00,http_general,85.00
proxygen\lib\http\codec\HTTP2Codec.cpp,0.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,http_general,99.00
proxygen\lib\http\codec\HQUtils.h,0.00,0.00,0.00,5.00,80.00,2.00,0.00,13.00,http_general,80.00
proxygen\lib\http\codec\HTTP1xCodec.cpp,0.00,0.00,1.00,5.00,98.00,0.00,1.00,0.00,http_general,98.00
proxygen\lib\http\codec\HTTP2Constants.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\HTTP1xCodec.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\HTTP2Constants.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\HTTP2Codec.h,0.00,0.00,0.00,1.00,98.00,1.00,0.00,0.00,http_general,98.00
proxygen\lib\http\codec\HTTP2Framer.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\HTTP2Framer.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\HTTPBinaryCodec.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,http_general,95.00
proxygen\lib\http\codec\HTTPChecks.h,0.00,0.00,0.00,0.00,99.00,1.00,0.00,0.00,http_general,99.00
proxygen\lib\http\codec\HTTPChecks.cpp,0.00,0.00,0.00,1.00,98.00,1.00,0.00,0.00,http_general,98.00
proxygen\lib\http\codec\HTTPBinaryCodec.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\HTTPCodec.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\HTTPRequestVerifier.h,0.00,0.00,1.00,2.00,95.00,1.00,1.00,0.00,http_general,95.00
proxygen\lib\http\codec\HTTPCodecFactory.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\HTTPCodecFactory.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\HTTPCodecPrinter.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\HTTPCodecPrinter.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\codec\HTTPCodecFilter.h,0.00,0.00,0.00,5.00,90.00,3.00,1.00,1.00,http_general,90.00
proxygen\lib\http\codec\HTTPCodecFilter.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\HTTPParallelCodec.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,http_general,95.00
proxygen\lib\http\codec\HTTPParallelCodec.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\QPACKDecoderCodec.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,http_general,95.00
proxygen\lib\http\codec\HTTPSettings.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\codec\HTTPSettings.h,0.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,http_general,99.00
proxygen\lib\http\codec\SettingsId.h,0.00,0.00,0.00,5.00,60.00,0.00,0.00,35.00,http_general,60.00
proxygen\lib\http\codec\QPACKEncoderCodec.h,0.00,0.00,0.00,5.00,90.00,0.00,0.00,5.00,http_general,90.00
proxygen\lib\http\codec\TransportDirection.h,0.00,0.00,0.00,15.00,5.00,0.00,0.00,80.00,transport,80.00
proxygen\lib\http\codec\TransportDirection.cpp,0.00,0.00,0.00,5.00,90.00,0.00,0.00,5.00,http_general,90.00
proxygen\lib\http\connpool\ServerIdleSessionController.h,0.00,0.00,0.00,5.00,85.00,5.00,0.00,0.00,http_general,85.00
proxygen\lib\http\connpool\ThreadIdleSessionController.cpp,0.00,0.00,0.00,0.00,95.00,5.00,0.00,0.00,http_general,95.00
proxygen\lib\http\connpool\ServerIdleSessionController.cpp,0.00,5.00,0.00,5.00,85.00,3.00,0.00,2.00,http_general,85.00
proxygen\lib\http\connpool\SessionHolder.cpp,0.00,5.00,0.00,5.00,85.00,3.00,0.00,2.00,http_general,85.00
proxygen\lib\http\connpool\Endpoint.h,5.00,85.00,10.00,30.00,5.00,15.00,5.00,5.00,pools,85.00
proxygen\lib\http\connpool\ThreadIdleSessionController.h,0.00,0.00,0.00,5.00,95.00,5.00,0.00,0.00,http_general,95.00
proxygen\lib\http\connpool\SessionPool.cpp,0.00,5.00,0.00,5.00,90.00,10.00,0.00,0.00,http_general,90.00
proxygen\lib\http\connpool\SessionPool.h,0.00,0.00,0.00,0.00,95.00,5.00,0.00,0.00,http_general,95.00
proxygen\lib\http\connpool\SessionHolder.h,0.00,70.00,0.00,5.00,25.00,0.00,0.00,0.00,pools,70.00
proxygen\lib\http\experimental\RFC1867.cpp,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,http_general,99.00
proxygen\lib\http\experimental\RFC1867.h,0.00,0.00,0.00,5.00,98.00,1.00,0.00,0.00,http_general,98.00
