file_path,dp,IMBS,KDE,lb,LBSP,main,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,general,best_module,best_likelihood
bgslibrary\algorithms\KDE\NPBGSubtractor.cpp,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KDE,100.00
bgslibrary\algorithms\lb\BGModelGauss.h,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,99.00
bgslibrary\algorithms\lb\BGModelFuzzyGauss.cpp,2.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,lb,95.00
bgslibrary\algorithms\lb\BGModelSom.cpp,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,95.00
bgslibrary\algorithms\lb\BGModel.cpp,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,95.00
bgslibrary\algorithms\lb\BGModelFuzzySom.cpp,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\lb\BGModelGauss.cpp,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\lb\BGModelMog.cpp,4.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,lb,95.00
bgslibrary\algorithms\lb\BGModel.h,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\lb\BGModelMog.h,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,95.00
bgslibrary\algorithms\lb\BGModelFuzzySom.h,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\lb\BGModelFuzzyGauss.h,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,95.00
bgslibrary\algorithms\lb\BGModelSom.h,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\lb\Types.h,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,85.00
bgslibrary\algorithms\LBP_MRF\maxflow.cpp,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,85.00
bgslibrary\algorithms\LBP_MRF\MEHistogram.cpp,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,general,85.00
bgslibrary\algorithms\LBP_MRF\graph.cpp,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,85.00
bgslibrary\algorithms\LBP_MRF\MEImage.hpp,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,general,85.00
bgslibrary\algorithms\LBP_MRF\MEDefs.hpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,general,90.00
bgslibrary\algorithms\LBP_MRF\MEHistogram.hpp,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,None,5.00
bgslibrary\algorithms\LBP_MRF\block.h,0.00,0.00,0.00,0.00,70.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,LBSP,70.00
bgslibrary\algorithms\LBP_MRF\MotionDetection.cpp,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,35.00
bgslibrary\algorithms\LBP_MRF\MotionDetection.hpp,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,90.00
bgslibrary\algorithms\LBP_MRF\MEImage.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\LBP_MRF\graph.h,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,90.00
bgslibrary\algorithms\LBP_MRF\MEDefs.cpp,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,general,70.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorLBSP_.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorLBSP.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,100.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorSuBSENSE.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorPAWCS.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,LBSP,95.00
bgslibrary\algorithms\LBSP\LBSP.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,100.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorLBSP.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,100.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\LBSP\DistanceUtils.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorSuBSENSE.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorLBSP_.cpp,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,LBSP,90.00
bgslibrary\algorithms\LBSP\BackgroundSubtractorPAWCS.cpp,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,90.00
bgslibrary\algorithms\LBSP\LBSP.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,100.00
bgslibrary\algorithms\LBSP\LBSP_.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,LBSP,95.00
bgslibrary\algorithms\LBSP\LBSP_.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,100.00
bgslibrary\algorithms\LBSP\RandUtils.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,100.00
bgslibrary\algorithms\MultiLayer\LocalBinaryPattern.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\MultiLayer\BlobLibraryConfiguration.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,general,100.00
bgslibrary\algorithms\MultiLayer\blob.h,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MultiLayer,100.00
bgslibrary\algorithms\MultiLayer\CMultiLayerBGS.cpp,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MultiLayer,95.00
bgslibrary\algorithms\MultiLayer\BlobResult.h,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MultiLayer,95.00
bgslibrary\algorithms\MultiLayer\BlobResult.cpp,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,MultiLayer,85.00
bgslibrary\algorithms\MultiLayer\CMultiLayerBGS.h,0.00,0.00,0.00,0.00,10.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,MultiLayer,90.00
bgslibrary\algorithms\MultiLayer\BlobExtraction.cpp,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MultiLayer,100.00
bgslibrary\algorithms\MultiLayer\BlobExtraction.h,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MultiLayer,100.00
bgslibrary\algorithms\MultiLayer\blob.cpp,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MultiLayer,100.00
bgslibrary\algorithms\MultiLayer\LocalBinaryPattern.h,0.00,0.00,0.00,0.00,3.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,MultiLayer,95.00
bgslibrary\algorithms\MultiLayer\BGS.h,0.00,0.00,0.00,0.00,60.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,LBSP,60.00
bgslibrary\algorithms\MultiLayer\BackgroundSubtractionAPI.h,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,MultiLayer,95.00
bgslibrary\algorithms\MultiLayer\OpenCvDataConversion.h,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MultiLayer,90.00
bgslibrary\algorithms\MultiLayer\OpenCvLegacyIncludes.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,general,100.00
bgslibrary\algorithms\PBAS\PBAS.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,PBAS,100.00
bgslibrary\algorithms\PBAS\PBAS.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,PBAS,100.00
bgslibrary\algorithms\SigmaDelta\sdLaMa091.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,SigmaDelta,100.00
bgslibrary\algorithms\SigmaDelta\sdLaMa091.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,SigmaDelta,100.00
bgslibrary\algorithms\T2F\MRF.h,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\T2F\T2FGMM.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,T2F,95.00
bgslibrary\algorithms\T2F\T2FGMM.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,5.00,dp,95.00
bgslibrary\algorithms\T2F\MRF.cpp,85.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00,30.00,dp,85.00
bgslibrary\algorithms\T2F\T2FMRF.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\T2F\T2FMRF.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\TwoPoints\two_points.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\TwoPoints\two_points.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\ViBe\vibe-background-sequential.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,ViBe,100.00
bgslibrary\algorithms\ViBe\vibe-background-sequential.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,ViBe,100.00
bgslibrary\algorithms\VuMeter\TBackground.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,VuMeter,100.00
bgslibrary\algorithms\VuMeter\TBackgroundVuMeter.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VuMeter,95.00
bgslibrary\algorithms\VuMeter\TBackgroundVuMeter.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,VuMeter,100.00
bgslibrary\algorithms\VuMeter\TBackground.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,VuMeter,100.00
bgslibrary\algorithms\AdaptiveBackgroundLearning.cpp,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,90.00
bgslibrary\algorithms\algorithms.h,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,main,85.00
bgslibrary\algorithms\CodeBook.cpp,5.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,general,85.00
bgslibrary\algorithms\DPAdaptiveMedian.cpp,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\algorithms.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\DPEigenbackground.cpp,85.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,dp,85.00
bgslibrary\algorithms\DPEigenbackground.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,dp,95.00
bgslibrary\algorithms\AdaptiveSelectiveBackgroundLearning.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,85.00
bgslibrary\algorithms\DPAdaptiveMedian.h,90.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,dp,90.00
bgslibrary\algorithms\AdaptiveSelectiveBackgroundLearning.h,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,80.00
bgslibrary\algorithms\DPGrimsonGMM.cpp,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,90.00
bgslibrary\algorithms\DPPratiMediod.cpp,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,90.00
bgslibrary\algorithms\AdaptiveBackgroundLearning.h,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,80.00
bgslibrary\algorithms\CodeBook.h,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,30.00
bgslibrary\algorithms\DPGrimsonGMM.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\DPTexture.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\DPMean.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\DPMean.h,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,dp,90.00
bgslibrary\algorithms\DPZivkovicAGMM.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\DPTexture.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\DPZivkovicAGMM.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\DPWrenGA.cpp,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,90.00
bgslibrary\algorithms\DPPratiMediod.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\FrameDifference.cpp,65.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,dp,65.00
bgslibrary\algorithms\FuzzyChoquetIntegral.cpp,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,10.00,lb,60.00
bgslibrary\algorithms\FuzzyChoquetIntegral.h,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,5.00,T2F,90.00
bgslibrary\algorithms\DPWrenGA.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\FuzzySugenoIntegral.cpp,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,85.00
bgslibrary\algorithms\GMG.h,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,90.00
bgslibrary\algorithms\KDE.cpp,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KDE,100.00
bgslibrary\algorithms\GMG.cpp,85.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,85.00
bgslibrary\algorithms\IndependentMultimodal.cpp,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,IMBS,95.00
bgslibrary\algorithms\KNN.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,85.00
bgslibrary\algorithms\LBAdaptiveSOM.cpp,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,99.00
bgslibrary\algorithms\FuzzySugenoIntegral.h,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,10.00,lb,70.00
bgslibrary\algorithms\IndependentMultimodal.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,IMBS,95.00
bgslibrary\algorithms\IBGS.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,general,90.00
bgslibrary\algorithms\LBAdaptiveSOM.h,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,100.00
bgslibrary\algorithms\KDE.h,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KDE,100.00
bgslibrary\algorithms\FrameDifference.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\KNN.h,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,70.00
bgslibrary\algorithms\LBFuzzyAdaptiveSOM.cpp,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,lb,90.00
bgslibrary\algorithms\LBMixtureOfGaussians.cpp,4.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,95.00
bgslibrary\algorithms\LBMixtureOfGaussians.h,5.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,lb,90.00
bgslibrary\algorithms\LBP_MRF.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\LBFuzzyGaussian.cpp,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,lb,95.00
bgslibrary\algorithms\LBFuzzyAdaptiveSOM.h,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,95.00
bgslibrary\algorithms\LBP_MRF.h,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,LBSP,85.00
