file_path,model,strategy,backtest,workflow,rl,run,tests,utils,contrib,best_module,best_likelihood
contrib\eva\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\eva\alpha.py,0.00,0.00,70.00,0.00,0.00,0.00,0.00,10.00,20.00,backtest,70.00
contrib\meta\data_selection\__init__.py,90.00,0.00,0.00,2.00,0.00,0.00,0.00,3.00,5.00,model,90.00
contrib\meta\data_selection\model.py,70.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,25.00,model,70.00
contrib\meta\data_selection\dataset.py,15.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,80.00,contrib,80.00
contrib\meta\data_selection\utils.py,90.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,8.00,model,90.00
contrib\meta\data_selection\net.py,85.00,2.00,1.00,1.00,2.00,0.00,0.00,3.00,6.00,model,85.00
contrib\meta\__init__.py,0.00,0.00,0.00,85.00,0.00,5.00,0.00,0.00,10.00,workflow,85.00
contrib\model\pytorch_adarnn.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,model,85.00
contrib\model\gbdt.py,95.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,model,95.00
contrib\model\pytorch_alstm.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,model,95.00
contrib\model\pytorch_general_nn.py,95.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,3.00,model,95.00
contrib\model\catboost_model.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,model,95.00
contrib\model\linear.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,model,90.00
contrib\model\pytorch_gats_ts.py,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,model,80.00
contrib\model\double_ensemble.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,model,95.00
contrib\model\pytorch_alstm_ts.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,model,95.00
contrib\model\pytorch_gats.py,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,contrib,95.00
contrib\model\highfreq_gdbt_model.py,95.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,model,95.00
contrib\model\pytorch_add.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,contrib,95.00
contrib\model\pytorch_hist.py,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,contrib,95.00
contrib\model\pytorch_gru.py,95.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,2.00,model,95.00
contrib\model\pytorch_gru_ts.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,model,95.00
contrib\model\pytorch_igmtf.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,model,85.00
contrib\model\pytorch_localformer.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,model,95.00
contrib\model\pytorch_localformer_ts.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,model,95.00
contrib\model\pytorch_lstm.py,95.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,model,95.00
contrib\model\pytorch_sandwich.py,90.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,8.00,model,90.00
contrib\model\pytorch_nn.py,95.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,3.00,model,95.00
contrib\model\pytorch_krnn.py,95.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,model,95.00
contrib\model\pytorch_lstm_ts.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,model,95.00
contrib\model\pytorch_sfm.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,model,95.00
contrib\model\__init__.py,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,None,10.00
contrib\model\pytorch_tabnet.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,model,95.00
contrib\model\pytorch_tcn_ts.py,95.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,model,95.00
contrib\model\xgboost.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,model,95.00
contrib\model\pytorch_tcn.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,model,95.00
contrib\model\pytorch_transformer.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,model,95.00
contrib\model\pytorch_transformer_ts.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,model,95.00
contrib\model\pytorch_tcts.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,model,95.00
contrib\model\tcn.py,90.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,7.00,model,90.00
contrib\model\pytorch_tra.py,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,model,80.00
contrib\model\pytorch_utils.py,15.00,2.00,3.00,5.00,1.00,1.00,4.00,65.00,4.00,utils,65.00
contrib\online\online_model.py,95.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,model,95.00
contrib\online\manager.py,0.00,0.00,10.00,75.00,0.00,0.00,0.00,10.00,5.00,workflow,75.00
contrib\online\__init__.py,90.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,2.00,model,90.00
contrib\online\user.py,5.00,15.00,70.00,8.00,0.00,0.00,0.00,0.00,2.00,backtest,70.00
contrib\online\utils.py,0.00,0.00,5.00,30.00,0.00,10.00,0.00,50.00,5.00,utils,50.00
contrib\online\operator.py,2.00,10.00,5.00,85.00,0.00,3.00,0.00,4.00,10.00,workflow,85.00
contrib\ops\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\ops\high_freq.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,10.00,utils,90.00
contrib\report\analysis_model\__init__.py,5.00,5.00,70.00,10.00,0.00,0.00,5.00,3.00,2.00,backtest,70.00
contrib\report\analysis_model\analysis_model_performance.py,5.00,5.00,85.00,10.00,0.00,0.00,5.00,10.00,20.00,backtest,85.00
contrib\report\analysis_position\cumulative_return.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\report\analysis_position\risk_analysis.py,0.00,0.00,90.00,5.00,0.00,0.00,0.00,0.00,5.00,backtest,90.00
contrib\report\analysis_position\score_ic.py,5.00,10.00,80.00,3.00,0.00,0.00,2.00,0.00,0.00,backtest,80.00
contrib\report\analysis_position\rank_label.py,0.00,2.00,85.00,3.00,0.00,0.00,0.00,0.00,10.00,backtest,85.00
contrib\report\analysis_position\__init__.py,0.00,0.00,80.00,10.00,0.00,0.00,0.00,0.00,10.00,backtest,80.00
contrib\report\analysis_position\parse_position.py,0.00,0.00,95.00,2.00,0.00,0.00,0.00,3.00,0.00,backtest,95.00
contrib\report\analysis_position\report.py,0.00,5.00,85.00,3.00,0.00,0.00,2.00,3.00,2.00,backtest,85.00
contrib\report\data\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\report\data\ana.py,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,97.00,contrib,97.00
contrib\report\data\base.py,0.00,0.00,5.00,2.00,0.00,0.00,0.00,3.00,90.00,contrib,90.00
contrib\report\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\report\graph.py,0.00,0.00,20.00,5.00,0.00,0.00,0.00,10.00,65.00,contrib,65.00
contrib\report\utils.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,10.00,utils,90.00
contrib\rolling\__main__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,contrib,95.00
contrib\rolling\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,95.00,contrib,95.00
contrib\rolling\ddgda.py,2.00,1.00,1.00,5.00,0.00,0.00,0.00,3.00,88.00,contrib,88.00
contrib\rolling\base.py,0.00,0.00,5.00,85.00,0.00,5.00,0.00,0.00,10.00,workflow,85.00
contrib\strategy\optimizer\__init__.py,0.00,95.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,strategy,95.00
contrib\strategy\optimizer\optimizer.py,0.00,90.00,2.00,1.00,0.00,0.00,0.00,1.00,6.00,strategy,90.00
contrib\strategy\optimizer\enhanced_indexing.py,4.00,85.00,3.00,2.00,0.00,0.00,0.00,2.00,4.00,strategy,85.00
contrib\strategy\optimizer\base.py,5.00,10.00,2.00,3.00,85.00,0.00,1.00,15.00,8.00,rl,85.00
contrib\strategy\order_generator.py,0.00,90.00,8.00,0.00,0.00,0.00,0.00,1.00,1.00,strategy,90.00
contrib\strategy\signal_strategy.py,5.00,90.00,10.00,0.00,0.00,0.00,0.00,0.00,15.00,strategy,90.00
contrib\strategy\rule_strategy.py,0.00,95.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,strategy,95.00
contrib\strategy\cost_control.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,strategy,95.00
contrib\strategy\__init__.py,0.00,95.00,2.00,1.00,0.00,0.00,1.00,0.00,1.00,strategy,95.00
contrib\tuner\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\tuner\space.py,5.00,3.00,2.00,5.00,4.00,1.00,8.00,7.00,65.00,contrib,65.00
contrib\tuner\config.py,0.00,0.00,0.00,10.00,0.00,0.00,0.00,5.00,85.00,contrib,85.00
contrib\tuner\pipeline.py,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,10.00,workflow,90.00
contrib\tuner\launcher.py,0.00,0.00,0.00,10.00,0.00,20.00,0.00,0.00,70.00,contrib,70.00
contrib\tuner\tuner.py,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,90.00,contrib,90.00
contrib\workflow\__init__.py,5.00,3.00,10.00,70.00,2.00,1.00,3.00,4.00,2.00,workflow,70.00
contrib\workflow\record_temp.py,0.00,0.00,20.00,50.00,0.00,0.00,0.00,0.00,30.00,workflow,50.00
contrib\__init__.py,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,None,10.00
contrib\evaluate_portfolio.py,2.00,3.00,85.00,2.00,0.00,0.00,1.00,5.00,2.00,backtest,85.00
contrib\evaluate.py,0.00,15.00,85.00,10.00,0.00,0.00,0.00,0.00,5.00,backtest,85.00
contrib\torch.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,5.00,utils,95.00
data\dataset\utils.py,0.00,0.00,0.00,5.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
data\dataset\storage.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,20.00,utils,80.00
data\dataset\weight.py,2.00,3.00,2.00,1.00,1.00,1.00,1.00,85.00,4.00,utils,85.00
data\dataset\handler.py,0.00,0.00,0.00,5.00,0.00,0.00,0.00,8.00,92.00,contrib,92.00
data\dataset\loader.py,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,90.00,contrib,90.00
data\dataset\processor.py,0.00,0.00,0.00,5.00,0.00,0.00,0.00,10.00,85.00,contrib,85.00
data\dataset\__init__.py,0.00,0.00,2.00,3.00,0.00,1.00,1.00,5.00,88.00,contrib,88.00
data\storage\file_storage.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,None,5.00
data\storage\__init__.py,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,None,10.00
data\storage\storage.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,5.00,utils,95.00
data\_libs\__init__.py,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,None,10.00
data\cache.py,0.00,0.00,0.00,0.00,0.00,2.00,0.00,95.00,3.00,utils,95.00
data\client.py,0.00,0.00,0.00,90.00,0.00,0.00,5.00,3.00,2.00,workflow,90.00
data\inst_processor.py,0.00,0.00,0.00,5.00,0.00,0.00,0.00,30.00,65.00,contrib,65.00
data\filter.py,0.00,0.00,0.00,0.00,0.00,5.00,0.00,40.00,55.00,contrib,55.00
data\pit.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,5.00,utils,95.00
data\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
data\ops.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,5.00,utils,95.00
data\data.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,None,5.00
data\base.py,5.00,1.00,1.00,2.00,1.00,1.00,1.00,85.00,3.00,utils,85.00
model\ens\__init__.py,11.00,11.00,11.00,11.00,11.00,11.00,11.00,12.00,11.00,None,12.00
model\ens\group.py,90.00,1.00,1.00,2.00,0.00,0.00,0.00,5.00,1.00,model,90.00
model\ens\ensemble.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
model\interpret\__init__.py,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,None,10.00
model\interpret\base.py,85.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,10.00,model,85.00
model\meta\model.py,90.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,8.00,model,90.00
model\meta\__init__.py,0.00,0.00,0.00,90.00,0.00,0.00,0.00,5.00,5.00,workflow,90.00
model\meta\dataset.py,75.00,0.00,0.00,15.00,0.00,0.00,0.00,5.00,5.00,model,75.00
model\meta\task.py,0.00,2.00,3.00,92.00,0.00,1.00,0.00,5.00,2.00,workflow,92.00
model\riskmodel\shrink.py,95.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,model,95.00
model\riskmodel\base.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,model,95.00
model\riskmodel\structured.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,model,95.00
model\riskmodel\__init__.py,5.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,contrib,85.00
model\riskmodel\poet.py,90.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,8.00,model,90.00
model\__init__.py,90.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,8.00,model,90.00
model\trainer.py,0.00,0.00,0.00,99.00,0.00,0.00,0.00,1.00,0.00,workflow,99.00
model\utils.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,5.00,utils,95.00
model\base.py,98.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,model,98.00
rl\contrib\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
rl\contrib\train_onpolicy.py,0.00,0.00,5.00,0.00,95.00,0.00,0.00,0.00,0.00,rl,95.00
rl\contrib\utils.py,0.00,0.00,5.00,5.00,0.00,10.00,0.00,80.00,0.00,utils,80.00
rl\contrib\backtest.py,0.00,0.00,40.00,0.00,55.00,0.00,0.00,0.00,5.00,rl,55.00
rl\contrib\naive_config_parser.py,0.00,5.00,85.00,30.00,0.00,0.00,10.00,20.00,5.00,backtest,85.00
rl\data\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,5.00,utils,95.00
rl\data\base.py,2.00,3.00,90.00,3.00,0.00,0.00,0.00,1.00,1.00,backtest,90.00
rl\data\integration.py,0.00,0.00,0.00,5.00,0.00,10.00,0.00,5.00,80.00,contrib,80.00
rl\data\native.py,0.00,5.00,90.00,3.00,0.00,0.00,0.00,2.00,0.00,backtest,90.00
rl\data\pickle_styled.py,0.00,0.00,10.00,0.00,85.00,0.00,0.00,5.00,0.00,rl,85.00
rl\order_execution\interpreter.py,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,rl,100.00
rl\order_execution\policy.py,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,rl,100.00
rl\order_execution\__init__.py,0.00,5.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,rl,95.00
rl\order_execution\utils.py,0.00,5.00,90.00,2.00,0.00,0.00,0.00,3.00,0.00,backtest,90.00
rl\order_execution\reward.py,0.00,0.00,2.00,0.00,98.00,0.00,0.00,0.00,0.00,rl,98.00
rl\order_execution\strategy.py,0.00,10.00,5.00,0.00,85.00,0.00,0.00,0.00,0.00,rl,85.00
rl\order_execution\simulator_qlib.py,0.00,5.00,5.00,0.00,90.00,0.00,0.00,0.00,0.00,rl,90.00
rl\order_execution\simulator_simple.py,0.00,0.00,5.00,0.00,95.00,0.00,0.00,0.00,0.00,rl,95.00
rl\order_execution\state.py,0.00,5.00,60.00,0.00,35.00,0.00,0.00,0.00,0.00,backtest,60.00
rl\order_execution\network.py,10.00,5.00,0.00,0.00,95.00,0.00,0.00,0.00,5.00,rl,95.00
rl\strategy\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
rl\strategy\single_order.py,0.00,95.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,strategy,95.00
rl\trainer\vessel.py,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,rl,100.00
rl\trainer\trainer.py,0.00,0.00,0.00,1.00,98.00,0.00,0.00,1.00,0.00,rl,98.00
rl\trainer\api.py,0.00,0.00,5.00,0.00,95.00,0.00,0.00,0.00,0.00,rl,95.00
rl\trainer\__init__.py,5.00,2.00,10.00,85.00,0.00,3.00,1.00,20.00,10.00,workflow,85.00
rl\trainer\callbacks.py,0.00,0.00,0.00,5.00,98.00,0.00,0.00,2.00,0.00,rl,98.00
rl\utils\env_wrapper.py,0.00,0.00,0.00,1.00,99.00,0.00,0.00,0.00,0.00,rl,99.00
rl\utils\__init__.py,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,5.00,rl,95.00
rl\utils\finite_env.py,0.00,0.00,0.00,0.00,98.00,0.00,0.00,2.00,0.00,rl,98.00
rl\utils\data_queue.py,0.00,0.00,2.00,3.00,0.00,1.00,0.00,94.00,0.00,utils,94.00
rl\utils\log.py,0.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,0.00,rl,99.00
rl\aux_info.py,0.00,5.00,10.00,3.00,85.00,0.00,0.00,2.00,0.00,rl,85.00
rl\seed.py,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,5.00,rl,95.00
rl\__init__.py,0.00,0.00,0.00,5.00,90.00,0.00,0.00,0.00,5.00,rl,90.00
rl\simulator.py,0.00,0.00,0.00,0.00,95.00,0.00,0.00,2.00,3.00,rl,95.00
rl\interpreter.py,0.00,0.00,0.00,0.00,95.00,0.00,0.00,3.00,2.00,rl,95.00
rl\reward.py,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,5.00,rl,95.00
strategy\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
strategy\base.py,0.00,90.00,5.00,0.00,8.00,0.00,0.00,0.00,2.00,strategy,90.00
utils\file.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
utils\objm.py,0.00,0.00,0.00,5.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
utils\time.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,1.00,utils,99.00
utils\exceptions.py,2.00,2.00,2.00,8.00,1.00,1.00,3.00,80.00,1.00,utils,80.00
utils\data.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,2.00,utils,98.00
utils\index_data.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,5.00,utils,95.00
utils\paral.py,0.00,0.00,0.00,5.00,0.00,0.00,0.00,92.00,3.00,utils,92.00
utils\serial.py,0.00,0.00,0.00,5.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
utils\mod.py,0.00,0.00,0.00,2.00,0.00,0.00,0.00,98.00,0.00,utils,98.00
utils\resam.py,0.00,0.00,0.00,0.00,0.00,1.00,0.00,98.00,1.00,utils,98.00
utils\__init__.py,0.00,0.00,0.00,5.00,0.00,2.00,0.00,98.00,3.00,utils,98.00
workflow\online\manager.py,0.00,0.00,5.00,95.00,0.00,0.00,0.00,0.00,0.00,workflow,95.00
workflow\online\__init__.py,11.00,11.00,11.00,11.00,11.00,11.00,11.00,12.00,11.00,None,12.00
workflow\online\utils.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,3.00,2.00,workflow,95.00
workflow\online\strategy.py,0.00,5.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,workflow,95.00
workflow\online\update.py,2.00,1.00,1.00,95.00,0.00,0.00,0.00,1.00,0.00,workflow,95.00
workflow\task\gen.py,0.00,0.00,0.00,90.00,0.00,0.00,0.00,5.00,5.00,workflow,90.00
workflow\task\utils.py,0.00,0.00,5.00,85.00,0.00,0.00,0.00,9.00,1.00,workflow,85.00
workflow\task\collect.py,0.00,0.00,0.00,90.00,0.00,0.00,0.00,10.00,0.00,workflow,90.00
workflow\task\__init__.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,5.00,workflow,95.00
workflow\task\manage.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,4.00,1.00,workflow,95.00
workflow\expm.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,5.00,0.00,workflow,95.00
workflow\exp.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,5.00,workflow,95.00
workflow\recorder.py,0.00,0.00,5.00,95.00,0.00,0.00,0.00,10.00,3.00,workflow,95.00
workflow\__init__.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,5.00,0.00,workflow,95.00
workflow\utils.py,0.00,0.00,0.00,15.00,0.00,0.00,0.00,80.00,0.00,utils,80.00
workflow\record_temp.py,0.00,0.00,10.00,20.00,0.00,0.00,0.00,5.00,65.00,contrib,65.00
