case_type,Project,Module,File,GT,TFIDF,TFIDF_correct,TFIDF Score,LLMProb,LLMProb_correct,LLMProb Score,LLMAssign,LLMAssign_correct,LLMAssign-IPRAG,LLMAssign-IPRAG_correct,correctness_pattern,manual_gt_rationale,manual_error_analysis,notes,SAMCodeTLR
all_methods_wrong,bigbluebutton,FreeSWITCH,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/Keys.java,Redis DB,Redis PubSub,0,150.34,non,0,80.00,non,0,Redis PubSub,0,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=N,,,,non
all_methods_wrong,hadoop,YARN,hadoop-mapreduce-project/src/java/org/apache/hadoop/util/ProcfsBasedProcessTree.java,MapReduce,non,0,56.89,Common,0,90.00,Common,0,Common,0,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=N,,,,non
all_methods_wrong,jabref,model,src/main/java/org/jabref/logic/preferences/DOIPreferences.java,logic,non,0,98.97,non,0,50.00,preferences,0,preferences,0,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=N,,,,non
all_methods_wrong,teammates,Common,src/main/java/teammates/ui/webapi/SendEmailWorkerAction.java,UI,non,0,60.04,non,0,70.00,Logic,0,non,0,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=N,,,,non
all_methods_wrong,teastore,Recommender,services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/servlet/IndexServlet.java,Persistence,non,0,76.81,WebUI,0,90.00,WebUI,0,non,0,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=N,,,,non
all_methods_correct,bigbluebutton,FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/UploadFileTimedoutMessage.java,Presentation Conversion,Presentation Conversion,1,125.59,Presentation Conversion,1,90.00,Presentation Conversion,1,Presentation Conversion,1,TFIDF=Y;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
all_methods_correct,hadoop,YARN,hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/metrics/DataNodeMetrics.java,HDFS,HDFS,1,109.22,HDFS,1,95.00,HDFS,1,HDFS,1,TFIDF=Y;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
all_methods_correct,jabref,logic,src/main/java/org/jabref/model/entry/BibEntryType.java,model,model,1,118.23,model,1,100.00,model,1,model,1,TFIDF=Y;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
all_methods_correct,mediastore,Packaging,Implementation/mediastore.ejb.tagwatermarking/src/edu/kit/ipd/sdq/mediastore/ejb/tagwatermarking/TagWatermarkingImpl.java,TagWatermarking,TagWatermarking,1,133.39,TagWatermarking,1,95.00,TagWatermarking,1,TagWatermarking,1,TFIDF=Y;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
all_methods_correct,teammates,Storage,src/e2e/java/teammates/e2e/cases/FeedbackTextQuestionE2ETest.java,E2E,E2E,1,103.82,E2E,1,100.00,E2E,1,E2E,1,TFIDF=Y;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
all_methods_correct,teastore,Auth,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/rest/RecommendEndpoint.java,Recommender,Recommender,1,181.12,Recommender,1,100.00,Recommender,1,Recommender,1,TFIDF=Y;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
all_methods_correct,bigbluebutton,FreeSWITCH,bbb-common-web/src/main/java/org/bigbluebutton/presentation/SupportedDocumentFilter.java,Presentation Conversion,Presentation Conversion,1,115.34,Presentation Conversion,1,95.00,Presentation Conversion,1,Presentation Conversion,1,TFIDF=Y;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
all_methods_correct,hadoop,YARN,hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/tools/DFSAdmin.java,HDFS,HDFS,1,126.97,HDFS,1,100.00,HDFS,1,HDFS,1,TFIDF=Y;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
all_methods_correct,jabref,model,src/main/java/org/jabref/preferences/PreferencesFilter.java,preferences,preferences,1,104.22,preferences,1,90.00,preferences,1,preferences,1,TFIDF=Y;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
all_methods_correct,mediastore,UserManagement,Implementation/mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/UserDBAdapterImpl.java,UserDBAdapter,UserDBAdapter,1,123.79,UserDBAdapter,1,95.00,UserDBAdapter,1,UserDBAdapter,1,TFIDF=Y;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
