file_path,Apps,BBB web,FSESL,FreeSWITCH,Redis DB,Redis PubSub,best_module,best_likelihood
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\CheckIfConfIsRunningCommand.java,0.00,0.00,85.00,75.00,0.00,60.00,FSESL,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\CheckFreeswitchStatusCommand.java,5.00,0.00,80.00,85.00,0.00,10.00,FreeSWITCH,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\ForceEjectUserCommand.java,10.00,0.00,40.00,45.00,0.00,5.00,None,45.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\BroadcastConferenceCommand.java,0.00,0.00,80.00,0.00,0.00,0.00,FSESL,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\GetAllUsersCommand.java,0.00,0.00,70.00,80.00,0.00,10.00,FreeSWITCH,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DelayedCommand.java,10.00,5.00,30.00,50.00,5.00,30.00,FreeSWITCH,50.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\HoldUserCommand.java,5.00,5.00,30.00,55.00,0.00,5.00,FreeSWITCH,55.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\RecordConferenceCommand.java,5.00,0.00,70.00,80.00,0.00,30.00,FreeSWITCH,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\StopSoundCommand.java,10.00,5.00,30.00,50.00,5.00,30.00,FreeSWITCH,50.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\MuteUserCommand.java,5.00,0.00,20.00,70.00,0.00,5.00,FreeSWITCH,70.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\PlaySoundCommand.java,10.00,5.00,40.00,45.00,0.00,10.00,None,45.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\TransferUserToMeetingCommand.java,10.00,5.00,30.00,50.00,5.00,20.00,FreeSWITCH,50.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\response\ConferenceMemberFlags.java,5.00,0.00,70.00,80.00,0.00,10.00,FreeSWITCH,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\response\ConferenceMember.java,5.00,5.00,20.00,70.00,0.00,0.00,FreeSWITCH,70.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\response\XMLResponseConferenceListParser.java,5.00,5.00,30.00,50.00,5.00,5.00,FreeSWITCH,50.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\IDelayedCommandListener.java,5.00,5.00,20.00,70.00,0.00,10.00,FreeSWITCH,70.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\DelayedCommandSenderService.java,5.00,5.00,20.00,65.00,5.00,15.00,FreeSWITCH,65.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\FreeswitchApplication.java,10.00,5.00,40.00,60.00,0.00,15.00,FreeSWITCH,60.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\ESLEventListener.java,5.00,0.00,80.00,90.00,0.00,20.00,FreeSWITCH,90.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\ConnectionManager.java,5.00,0.00,40.00,45.00,0.00,10.00,None,45.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\ConferenceServerListener.java,20.00,0.00,30.00,40.00,0.00,10.00,None,40.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\FreeswitchConferenceEventListener.java,5.00,0.00,30.00,60.00,0.00,20.00,FreeSWITCH,60.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\IVoiceConferenceService.java,10.00,5.00,25.00,40.00,5.00,15.00,None,40.00
bbb-common-message\src\main\java\org\bigbluebutton\common2\redis\pubsub\ReceivedMessageHandler.java,0.00,0.00,0.00,0.00,0.00,85.00,Redis PubSub,85.00
bbb-common-message\src\main\java\org\bigbluebutton\common2\redis\pubsub\MessageHandler.java,0.00,0.00,0.00,0.00,0.00,95.00,Redis PubSub,95.00
bbb-common-message\src\main\java\org\bigbluebutton\common2\redis\pubsub\ReceivedMessage.java,10.00,5.00,15.00,5.00,10.00,55.00,Redis PubSub,55.00
bbb-common-message\src\main\java\org\bigbluebutton\common2\redis\pubsub\MessageToSend.java,10.00,5.00,10.00,5.00,5.00,95.00,Redis PubSub,95.00
bbb-common-message\src\main\java\org\bigbluebutton\common2\redis\pubsub\MessageSender.java,20.00,5.00,15.00,5.00,10.00,95.00,Redis PubSub,95.00
bbb-common-message\src\main\java\org\bigbluebutton\common2\redis\pubsub\MessageReceiver.java,5.00,0.00,10.00,0.00,10.00,75.00,Redis PubSub,75.00
bbb-common-message\src\main\java\org\bigbluebutton\common2\redis\pubsub\MessageDistributor.java,20.00,10.00,25.00,5.00,5.00,35.00,None,35.00
bbb-common-message\src\main\java\org\bigbluebutton\common2\redis\RedisAwareCommunicator.java,20.00,5.00,15.00,5.00,10.00,45.00,None,45.00
bbb-common-message\src\main\java\org\bigbluebutton\common2\redis\Keys.java,50.00,20.00,20.00,5.00,20.00,85.00,Redis PubSub,85.00
bbb-common-message\src\main\java\org\bigbluebutton\common2\redis\RedisStorageService.java,70.00,10.00,5.00,5.00,85.00,20.00,Redis DB,85.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\handlers\SvgConversionHandler.java,5.00,85.00,2.00,2.00,3.00,3.00,BBB web,85.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\handlers\ImageResizerHandler.java,0.00,60.00,0.00,0.00,0.00,0.00,BBB web,60.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\handlers\PdfPageCounterHandler.java,20.00,70.00,0.00,0.00,0.00,10.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\handlers\Office2PdfConverterHandler.java,10.00,80.00,2.00,2.00,2.00,4.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\handlers\Png2SvgConversionHandler.java,10.00,80.00,5.00,5.00,5.00,15.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\handlers\Pdf2PngPageConverterHandler.java,0.00,80.00,0.00,0.00,0.00,0.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\handlers\AddNamespaceToSvgHandler.java,10.00,85.00,0.00,0.00,0.00,5.00,BBB web,85.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\handlers\PdfFontType3DetectorHandler.java,10.00,80.00,5.00,5.00,0.00,0.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\handlers\AbstractCommandHandler.java,10.00,70.00,5.00,5.00,5.00,5.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\OfficeToPdfConversionService.java,0.00,90.00,0.00,0.00,0.00,0.00,BBB web,90.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\OfficeDocumentValidator2.java,10.00,80.00,5.00,5.00,5.00,10.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\OfficeDocumentValidator.java,10.00,70.00,5.00,5.00,5.00,5.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\CountingPageException.java,5.00,30.00,1.00,1.00,1.00,1.00,None,30.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\BigPdfException.java,40.00,60.00,5.00,5.00,5.00,20.00,BBB web,60.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\Office2PdfPageConverter.java,10.00,70.00,5.00,5.00,5.00,15.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\ImageResizerImp.java,10.00,80.00,0.00,0.00,5.00,5.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\PageCounterService.java,10.00,70.00,5.00,5.00,10.00,10.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\PageExtractorImp.java,10.00,80.00,5.00,5.00,5.00,5.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\ImageSlidesGenerationService.java,5.00,85.00,0.00,0.00,5.00,5.00,BBB web,85.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\PageToConvert.java,0.00,70.00,0.00,0.00,0.00,0.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\ExternalProcessExecutor.java,10.00,30.00,5.00,5.00,5.00,20.00,None,30.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\PresentationConversionCompletionService.java,0.00,85.00,0.00,0.00,0.00,0.00,BBB web,85.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\PdfPageDownscaler.java,10.00,80.00,5.00,5.00,10.00,10.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\PdfPageCounter.java,10.00,80.00,5.00,0.00,0.00,5.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\SvgImageCreatorImp.java,3.00,95.00,1.00,1.00,0.00,0.00,BBB web,95.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\PdfSlidesGenerationService.java,10.00,60.00,5.00,5.00,10.00,10.00,BBB web,60.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\PresentationToConvert.java,0.00,85.00,0.00,0.00,0.00,0.00,BBB web,85.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\TextFileCreatorImp.java,20.00,70.00,0.00,0.00,0.00,10.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\PngCreatorImp.java,5.00,85.00,2.00,2.00,2.00,4.00,BBB web,85.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\ThumbnailCreatorImp.java,20.00,70.00,5.00,5.00,5.00,5.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\PresentationFileProcessor.java,10.00,80.00,5.00,5.00,5.00,20.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\SlidesGenerationProgressNotifier.java,80.00,50.00,10.00,5.00,15.00,75.00,Apps,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\IDocConversionMsg.java,0.00,80.00,0.00,0.00,0.00,0.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\DocPageCompletedProgress.java,10.00,40.00,5.00,0.00,10.00,35.00,None,40.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\PdfConversionInvalid.java,0.00,70.00,0.00,0.00,0.00,0.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\DocPageConversionStarted.java,10.00,80.00,5.00,5.00,10.00,30.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\DocPageGeneratedProgress.java,0.00,60.00,0.00,0.00,0.00,0.00,BBB web,60.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\IPresentationCompletionMessage.java,20.00,40.00,5.00,5.00,10.00,20.00,None,40.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\DocConversionProgress.java,0.00,0.00,0.00,0.00,0.00,70.00,Redis PubSub,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\DocInvalidMimeType.java,0.00,70.00,0.00,0.00,0.00,0.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\DocPageCountExceeded.java,20.00,40.00,5.00,5.00,10.00,20.00,None,40.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\DocPageCountFailed.java,10.00,70.00,0.00,0.00,0.00,20.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\DocConversionRequestReceived.java,10.00,80.00,5.00,5.00,10.00,50.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\PageConvertProgressMessage.java,40.00,60.00,5.00,0.00,5.00,80.00,Redis PubSub,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\UploadFileTooLargeMessage.java,0.00,70.00,0.00,0.00,0.00,0.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\PresentationConvertMessage.java,30.00,40.00,5.00,5.00,10.00,10.00,None,40.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\UploadFileTimedoutMessage.java,5.00,85.00,2.00,2.00,3.00,5.00,BBB web,85.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\PageAnalyser.java,5.00,90.00,0.00,0.00,0.00,5.00,BBB web,90.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\Page.java,5.00,85.00,1.00,1.00,1.00,5.00,BBB web,85.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\ConversionMessageConstants.java,10.00,80.00,5.00,5.00,10.00,40.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\ConversionUpdateMessage.java,10.00,70.00,0.00,0.00,5.00,15.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\MimeTypeUtils.java,10.00,70.00,5.00,5.00,10.00,5.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\PageConverter.java,10.00,80.00,5.00,5.00,10.00,15.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\OfficeToPdfConversionSuccessFilter.java,10.00,40.00,5.00,5.00,10.00,30.00,None,40.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\FileTypeConstants.java,10.00,80.00,5.00,5.00,5.00,5.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\DocumentConversionService.java,10.00,70.00,5.00,5.00,10.00,20.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\ImageResizer.java,20.00,60.00,0.00,0.00,0.00,10.00,BBB web,60.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\GeneratedSlidesInfoHelper.java,10.00,80.00,5.00,5.00,10.00,10.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\DocumentConversionServiceImp.java,10.00,60.00,5.00,5.00,5.00,20.00,BBB web,60.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\PageExtractor.java,10.00,80.00,5.00,5.00,5.00,10.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\PngCreator.java,10.00,80.00,0.00,0.00,5.00,5.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\PageCounter.java,5.00,80.00,0.00,0.00,0.00,0.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\SupportedDocumentFilter.java,0.00,80.00,0.00,0.00,0.00,0.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\PresentationUrlDownloadService.java,10.00,80.00,5.00,5.00,10.00,15.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\TextFileCreator.java,10.00,30.00,5.00,5.00,10.00,20.00,None,30.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\SvgImageCreator.java,10.00,90.00,0.00,0.00,0.00,0.00,BBB web,90.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\ThumbnailCreator.java,10.00,70.00,0.00,0.00,0.00,20.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\UploadedPresentation.java,10.00,80.00,5.00,5.00,10.00,20.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\SupportedFileTypes.java,10.00,40.00,5.00,5.00,5.00,15.00,None,40.00
bbb-common-web\src\main\java\org\bigbluebutton\presentation\Util.java,10.00,60.00,5.00,5.00,5.00,5.00,BBB web,60.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\callback\MeetingEndedEvent.java,10.00,85.00,0.00,0.00,0.00,5.00,BBB web,85.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\callback\DelayCallback.java,10.00,40.00,5.00,0.00,5.00,30.00,None,40.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\callback\ICallbackEvent.java,10.00,80.00,5.00,5.00,10.00,15.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\callback\CallbackUrlService.java,10.00,70.00,5.00,0.00,5.00,10.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\turn\TurnEntry.java,0.00,80.00,0.00,0.00,0.00,10.00,BBB web,80.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\turn\RemoteIceCandidate.java,5.00,10.00,5.00,5.00,5.00,5.00,None,10.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\turn\StunServer.java,5.00,5.00,5.00,5.00,5.00,30.00,None,30.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\turn\TurnServer.java,5.00,85.00,2.00,1.00,3.00,4.00,BBB web,85.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\turn\StunTurnService.java,5.00,10.00,5.00,15.00,5.00,10.00,None,15.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\EnteredUserCleanupTimerTask.java,0.00,70.00,0.00,0.00,0.00,0.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\KeepAliveMessage.java,60.00,70.00,5.00,5.00,5.00,50.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\WaitingGuestCleanupTimerTask.java,10.00,70.00,5.00,5.00,10.00,30.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\KeepAlivePong.java,10.00,70.00,5.00,0.00,5.00,10.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\UserCleanupTimerTask.java,5.00,60.00,3.00,2.00,10.00,20.00,BBB web,60.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\KeepAliveService.java,10.00,60.00,5.00,2.00,5.00,20.00,BBB web,60.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\KeepAlivePing.java,10.00,70.00,5.00,0.00,0.00,15.00,BBB web,70.00
bbb-common-web\src\main\java\org\bigbluebutton\web\services\IStorageService.java,10.00,80.00,5.00,5.00,15.00,5.00,BBB web,80.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\example\ExampleClient.java,5.00,0.00,90.00,10.00,0.00,0.00,FSESL,90.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\example\HeartbeatThread.java,0.00,0.00,90.00,0.00,0.00,0.00,FSESL,90.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\example\EslEventListener.java,0.00,0.00,85.00,0.00,0.00,0.00,FSESL,85.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\inbound\InboundConnectionFailure.java,0.00,0.00,90.00,0.00,0.00,0.00,FSESL,90.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\inbound\InboundPipelineFactory.java,0.00,0.00,95.00,0.00,0.00,0.00,FSESL,95.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\inbound\Client.java,5.00,0.00,95.00,10.00,0.00,0.00,FSESL,95.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\inbound\InboundClientHandler.java,5.00,5.00,85.00,40.00,5.00,10.00,FSESL,85.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\internal\debug\ChannelEventRunnable.java,0.00,0.00,85.00,0.00,0.00,0.00,FSESL,85.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\internal\debug\ExecutionHandler.java,0.00,0.00,85.00,0.00,0.00,0.00,FSESL,85.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\internal\AbstractEslClientHandler.java,0.00,0.00,90.00,0.00,0.00,0.00,FSESL,90.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\internal\IEslProtocolListener.java,0.00,0.00,90.00,0.00,0.00,0.00,FSESL,90.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\internal\HeaderParser.java,0.00,0.00,85.00,0.00,0.00,0.00,FSESL,85.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\manager\internal\ManagerConnectionImpl.java,0.00,0.00,95.00,5.00,0.00,0.00,FSESL,95.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\manager\ManagerConnection.java,10.00,5.00,15.00,50.00,5.00,15.00,FreeSWITCH,50.00
bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\manager\DefaultManagerConnection.java,0.00,0.00,90.00,10.00,0.00,0.00,FSESL,90.00
