file_path,model,logic,cli,preferences,best_module,best_likelihood
src\main\java\org\jabref\gui\citationkeypattern\GenerateCitationKeyAction.java,5.00,60.00,2.00,10.00,logic,60.00
src\main\java\org\jabref\gui\cleanup\CleanupDialog.java,0.00,20.00,0.00,10.00,None,20.00
src\main\java\org\jabref\gui\cleanup\CleanupAction.java,5.00,25.00,0.00,5.00,None,25.00
src\main\java\org\jabref\gui\cleanup\CleanupPresetPanel.java,5.00,10.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\cleanup\CleanupSingleAction.java,5.00,25.00,1.00,4.00,None,25.00
src\main\java\org\jabref\gui\collab\entryadd\EntryAdd.java,80.00,0.00,0.00,0.00,model,80.00
src\main\java\org\jabref\gui\collab\entrychange\EntryChangeDetailsView.java,0.00,40.00,0.00,0.00,None,40.00
src\main\java\org\jabref\gui\collab\entrychange\EntryChange.java,15.00,75.00,5.00,5.00,logic,75.00
src\main\java\org\jabref\gui\collab\entrychange\EntryChangeResolver.java,5.00,92.00,1.00,2.00,logic,92.00
src\main\java\org\jabref\gui\collab\entrychange\EntryWithPreviewAndSourceDetailsView.java,0.00,0.00,0.00,0.00,None,0.00
src\main\java\org\jabref\gui\collab\entrychange\PreviewWithSourceTab.java,5.00,30.00,1.00,10.00,None,30.00
src\main\java\org\jabref\gui\collab\entrydelete\EntryDelete.java,30.00,65.00,2.00,3.00,logic,65.00
src\main\java\org\jabref\gui\collab\groupchange\GroupChangeDetailsView.java,0.00,10.00,0.00,0.00,None,10.00
src\main\java\org\jabref\gui\collab\groupchange\GroupChange.java,10.00,80.00,5.00,5.00,logic,80.00
src\main\java\org\jabref\gui\collab\metedatachange\MetadataChangeDetailsView.java,10.00,45.00,2.00,3.00,None,45.00
src\main\java\org\jabref\gui\collab\metedatachange\MetadataChange.java,20.00,70.00,5.00,5.00,logic,70.00
src\main\java\org\jabref\gui\collab\preamblechange\PreambleChangeDetailsView.java,5.00,15.00,0.00,0.00,None,15.00
src\main\java\org\jabref\gui\collab\preamblechange\PreambleChange.java,85.00,10.00,2.00,3.00,model,85.00
src\main\java\org\jabref\gui\collab\stringadd\BibTexStringAddDetailsView.java,3.00,15.00,1.00,1.00,None,15.00
src\main\java\org\jabref\gui\collab\stringadd\BibTexStringAdd.java,85.00,0.00,0.00,0.00,model,85.00
src\main\java\org\jabref\gui\collab\stringchange\BibTexStringChangeDetailsView.java,5.00,10.00,1.00,2.00,None,10.00
src\main\java\org\jabref\gui\collab\stringchange\BibTexStringChange.java,70.00,20.00,5.00,5.00,model,70.00
src\main\java\org\jabref\gui\collab\stringdelete\BibTexStringDeleteDetailsView.java,5.00,70.00,5.00,5.00,logic,70.00
src\main\java\org\jabref\gui\collab\stringdelete\BibTexStringDelete.java,10.00,45.00,0.00,0.00,None,45.00
src\main\java\org\jabref\gui\collab\stringrename\BibTexStringRename.java,0.00,95.00,0.00,0.00,logic,95.00
src\main\java\org\jabref\gui\collab\stringrename\BibTexStringRenameDetailsView.java,2.00,8.00,0.00,0.00,None,8.00
src\main\java\org\jabref\gui\collab\ChangeScanner.java,0.00,90.00,0.00,0.00,logic,90.00
src\main\java\org\jabref\gui\collab\DatabaseChange.java,5.00,20.00,0.00,0.00,None,20.00
src\main\java\org\jabref\gui\collab\DatabaseChangeDetailsView.java,5.00,90.00,2.00,3.00,logic,90.00
src\main\java\org\jabref\gui\collab\DatabaseChangeDetailsViewFactory.java,10.00,5.00,1.00,2.00,None,10.00
src\main\java\org\jabref\gui\collab\DatabaseChangeList.java,0.00,0.00,0.00,0.00,None,0.00
src\main\java\org\jabref\gui\collab\DatabaseChangeListener.java,10.00,5.00,1.00,1.00,None,10.00
src\main\java\org\jabref\gui\collab\DatabaseChangeMonitor.java,10.00,75.00,5.00,10.00,logic,75.00
src\main\java\org\jabref\gui\collab\DatabaseChangeResolver.java,0.00,30.00,0.00,5.00,None,30.00
src\main\java\org\jabref\gui\collab\DatabaseChangeResolverFactory.java,5.00,65.00,0.00,5.00,logic,65.00
src\main\java\org\jabref\gui\collab\ExternalChangesResolverViewModel.java,10.00,70.00,5.00,5.00,logic,70.00
src\main\java\org\jabref\gui\collab\DatabaseChangesResolverDialog.java,5.00,65.00,0.00,10.00,logic,65.00
src\main\java\org\jabref\gui\commonfxcontrols\CitationKeyPatternPanel.java,0.00,0.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\commonfxcontrols\CitationKeyPatternPanelItemModel.java,10.00,2.00,0.00,88.00,preferences,88.00
src\main\java\org\jabref\gui\commonfxcontrols\CitationKeyPatternPanelViewModel.java,5.00,10.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\commonfxcontrols\FieldFormatterCleanupsPanel.java,0.00,0.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\commonfxcontrols\SaveOrderConfigPanel.java,0.00,0.00,0.00,90.00,preferences,90.00
src\main\java\org\jabref\gui\commonfxcontrols\FieldFormatterCleanupsPanelViewModel.java,0.00,0.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\commonfxcontrols\SaveOrderConfigPanelViewModel.java,0.00,0.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\commonfxcontrols\SortCriterionViewModel.java,5.00,10.00,1.00,25.00,None,25.00
src\main\java\org\jabref\gui\copyfiles\CopyFilesDialogView.java,0.00,10.00,0.00,0.00,None,10.00
src\main\java\org\jabref\gui\copyfiles\CopyFilesAction.java,0.00,10.00,0.00,0.00,None,10.00
src\main\java\org\jabref\gui\copyfiles\CopyFilesDialogViewModel.java,5.00,30.00,0.00,5.00,None,30.00
src\main\java\org\jabref\gui\copyfiles\CopyFilesResultItemViewModel.java,5.00,15.00,0.00,0.00,None,15.00
src\main\java\org\jabref\gui\copyfiles\CopyFilesTask.java,0.00,10.00,0.00,0.00,None,10.00
src\main\java\org\jabref\gui\copyfiles\CopyFilesResultListDependency.java,0.00,10.00,0.00,0.00,None,10.00
src\main\java\org\jabref\gui\copyfiles\CopySingleFileAction.java,0.00,70.00,0.00,0.00,logic,70.00
src\main\java\org\jabref\gui\desktop\os\Linux.java,0.00,5.00,0.00,0.00,None,5.00
src\main\java\org\jabref\gui\desktop\os\DefaultDesktop.java,5.00,25.00,2.00,8.00,None,25.00
src\main\java\org\jabref\gui\desktop\os\OSX.java,0.00,2.00,0.00,4.00,None,4.00
src\main\java\org\jabref\gui\desktop\os\NativeDesktop.java,1.00,2.00,1.00,5.00,None,5.00
src\main\java\org\jabref\gui\desktop\os\Windows.java,0.00,0.00,0.00,20.00,None,20.00
src\main\java\org\jabref\gui\desktop\JabRefDesktop.java,5.00,35.00,2.00,8.00,None,35.00
src\main\java\org\jabref\gui\dialogs\AutosaveUiManager.java,5.00,85.00,2.00,8.00,logic,85.00
src\main\java\org\jabref\gui\dialogs\BackupUIManager.java,5.00,10.00,0.00,15.00,None,15.00
src\main\java\org\jabref\gui\documentviewer\DocumentViewerControl.java,2.00,5.00,0.00,0.00,None,5.00
src\main\java\org\jabref\gui\documentviewer\DocumentPageViewModel.java,2.00,15.00,0.00,0.00,None,15.00
src\main\java\org\jabref\gui\documentviewer\DocumentViewerView.java,3.00,15.00,0.00,2.00,None,15.00
src\main\java\org\jabref\gui\documentviewer\DocumentViewerViewModel.java,10.00,60.00,5.00,5.00,logic,60.00
src\main\java\org\jabref\gui\documentviewer\DocumentViewModel.java,25.00,0.00,0.00,0.00,None,25.00
src\main\java\org\jabref\gui\documentviewer\PageDimension.java,45.00,15.00,5.00,5.00,None,45.00
src\main\java\org\jabref\gui\documentviewer\PdfDocumentPageViewModel.java,2.00,15.00,0.00,0.00,None,15.00
src\main\java\org\jabref\gui\documentviewer\PdfDocumentViewModel.java,15.00,65.00,5.00,5.00,logic,65.00
src\main\java\org\jabref\gui\documentviewer\ShowDocumentViewerAction.java,0.00,10.00,0.00,0.00,None,10.00
src\main\java\org\jabref\gui\duplicationFinder\DuplicateResolverDialog.java,5.00,25.00,1.00,4.00,None,25.00
src\main\java\org\jabref\gui\duplicationFinder\DuplicateSearch.java,0.00,10.00,0.00,0.00,None,10.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\copyormovecontent\CopyOrMoveFieldContentTabViewModel.java,0.00,90.00,0.00,0.00,logic,90.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\copyormovecontent\CopyOrMoveFieldContentTabView.java,5.00,30.00,0.00,5.00,None,30.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\editfieldcontent\EditFieldContentViewModel.java,5.00,15.00,0.00,0.00,None,15.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\editfieldcontent\EditFieldContentTabView.java,5.00,15.00,1.00,2.00,None,15.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\renamefield\RenameFieldViewModel.java,5.00,30.00,1.00,10.00,None,30.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\renamefield\RenameFieldTabView.java,5.00,65.00,0.00,30.00,logic,65.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\AbstractAutomaticFieldEditorTabView.java,0.00,2.00,0.00,8.00,None,8.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\AbstractAutomaticFieldEditorTabViewModel.java,5.00,15.00,1.00,25.00,None,25.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\AutomaticFieldEditorAction.java,5.00,30.00,1.00,1.00,None,30.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\AutomaticFieldEditorDialog.java,0.00,0.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\AutomaticFieldEditorTab.java,0.00,0.00,0.00,0.00,None,0.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\AutomaticFieldEditorViewModel.java,5.00,20.00,1.00,7.00,None,20.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\LastAutomaticFieldEditorEdit.java,0.00,60.00,0.00,0.00,logic,60.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\MoveFieldValueAction.java,5.00,25.00,0.00,0.00,None,25.00
src\main\java\org\jabref\gui\edit\automaticfiededitor\NotificationPaneAdapter.java,0.00,0.00,0.00,0.00,None,0.00
src\main\java\org\jabref\gui\edit\CopyDoiUrlAction.java,2.00,20.00,0.00,1.00,None,20.00
src\main\java\org\jabref\gui\edit\CopyMoreAction.java,2.00,30.00,1.00,5.00,None,30.00
src\main\java\org\jabref\gui\edit\EditAction.java,5.00,25.00,1.00,1.00,None,25.00
src\main\java\org\jabref\gui\edit\ManageKeywordsAction.java,5.00,20.00,1.00,74.00,preferences,74.00
src\main\java\org\jabref\gui\edit\ManageKeywordsDialog.java,5.00,10.00,1.00,84.00,preferences,84.00
src\main\java\org\jabref\gui\edit\ManageKeywordsDisplayType.java,0.00,0.00,0.00,75.00,preferences,75.00
src\main\java\org\jabref\gui\edit\OpenBrowserAction.java,5.00,35.00,2.00,2.00,None,35.00
src\main\java\org\jabref\gui\edit\ManageKeywordsViewModel.java,5.00,65.00,0.00,5.00,logic,65.00
src\main\java\org\jabref\gui\edit\ReplaceStringAction.java,0.00,10.00,0.00,0.00,None,10.00
src\main\java\org\jabref\gui\edit\ReplaceStringView.java,0.00,10.00,0.00,5.00,None,10.00
src\main\java\org\jabref\gui\edit\ReplaceStringViewModel.java,5.00,45.00,2.00,3.00,None,45.00
src\main\java\org\jabref\gui\entryeditor\fileannotationtab\FileAnnotationTabView.java,5.00,20.00,0.00,5.00,None,20.00
src\main\java\org\jabref\gui\entryeditor\fileannotationtab\FileAnnotationTab.java,5.00,20.00,1.00,5.00,None,20.00
src\main\java\org\jabref\gui\entryeditor\fileannotationtab\FileAnnotationTabViewModel.java,45.00,0.00,0.00,0.00,None,45.00
src\main\java\org\jabref\gui\entryeditor\fileannotationtab\FileAnnotationViewModel.java,65.00,20.00,5.00,10.00,model,65.00
src\main\java\org\jabref\gui\entryeditor\fileannotationtab\FulltextSearchResultsTab.java,5.00,20.00,1.00,1.00,None,20.00
src\main\java\org\jabref\gui\entryeditor\DeprecatedFieldsTab.java,2.00,8.00,1.00,3.00,None,8.00
src\main\java\org\jabref\gui\entryeditor\EntryEditor.java,3.00,12.00,0.00,5.00,None,12.00
src\main\java\org\jabref\gui\entryeditor\EntryEditorPreferences.java,5.00,10.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\entryeditor\EntryEditorTab.java,3.00,7.00,0.00,0.00,None,7.00
src\main\java\org\jabref\gui\entryeditor\FieldsEditorTab.java,5.00,70.00,0.00,5.00,logic,70.00
src\main\java\org\jabref\gui\entryeditor\LatexCitationsTab.java,0.00,0.00,0.00,0.00,None,0.00
src\main\java\org\jabref\gui\entryeditor\LatexCitationsTabViewModel.java,5.00,60.00,1.00,1.00,logic,60.00
src\main\java\org\jabref\gui\entryeditor\MathSciNetTab.java,0.00,5.00,0.00,0.00,None,5.00
src\main\java\org\jabref\gui\entryeditor\OptionalFields2Tab.java,3.00,4.00,1.00,15.00,None,15.00
src\main\java\org\jabref\gui\entryeditor\OpenEntryEditorAction.java,5.00,20.00,1.00,1.00,None,20.00
src\main\java\org\jabref\gui\entryeditor\OptionalFieldsTabBase.java,0.00,65.00,0.00,0.00,logic,65.00
src\main\java\org\jabref\gui\entryeditor\OptionalFieldsTab.java,0.00,0.00,0.00,5.00,None,5.00
src\main\java\org\jabref\gui\entryeditor\OtherFieldsTab.java,0.00,5.00,0.00,0.00,None,5.00
src\main\java\org\jabref\gui\entryeditor\PreviewSwitchAction.java,5.00,10.00,1.00,20.00,None,20.00
src\main\java\org\jabref\gui\entryeditor\PreviewTab.java,5.00,35.00,0.00,5.00,None,35.00
src\main\java\org\jabref\gui\entryeditor\RelatedArticlesTab.java,5.00,25.00,1.00,1.00,None,25.00
src\main\java\org\jabref\gui\entryeditor\RequiredFieldsTab.java,10.00,60.00,1.00,5.00,logic,60.00
src\main\java\org\jabref\gui\entryeditor\SourceTab.java,0.00,85.00,0.00,0.00,logic,85.00
src\main\java\org\jabref\gui\entryeditor\UserDefinedFieldsTab.java,0.00,0.00,0.00,70.00,preferences,70.00
src\main\java\org\jabref\gui\errorconsole\ErrorConsoleView.java,5.00,30.00,2.00,2.00,None,30.00
src\main\java\org\jabref\gui\errorconsole\ErrorConsoleViewModel.java,3.00,32.00,0.00,2.00,None,32.00
src\main\java\org\jabref\gui\errorconsole\LogEventViewModel.java,20.00,0.00,0.00,0.00,None,20.00
src\main\java\org\jabref\gui\exporter\CreateModifyExporterDialogView.java,5.00,10.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\exporter\CreateModifyExporterDialogViewModel.java,0.00,0.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\exporter\ExportCommand.java,5.00,85.00,5.00,5.00,logic,85.00
src\main\java\org\jabref\gui\exporter\ExporterViewModel.java,5.00,85.00,2.00,8.00,logic,85.00
src\main\java\org\jabref\gui\exporter\ExportToClipboardAction.java,5.00,30.00,0.00,0.00,None,30.00
src\main\java\org\jabref\gui\exporter\SaveAction.java,0.00,85.00,0.00,5.00,logic,85.00
src\main\java\org\jabref\gui\exporter\SaveAllAction.java,5.00,40.00,0.00,0.00,None,40.00
src\main\java\org\jabref\gui\exporter\SaveDatabaseAction.java,5.00,90.00,2.00,3.00,logic,90.00
src\main\java\org\jabref\gui\exporter\WriteMetadataToPdfAction.java,5.00,75.00,2.00,3.00,logic,75.00
src\main\java\org\jabref\gui\externalfiles\AutoSetFileLinksUtil.java,0.00,95.00,0.00,0.00,logic,95.00
src\main\java\org\jabref\gui\externalfiles\AutoLinkFilesAction.java,0.00,30.00,0.00,0.00,None,30.00
src\main\java\org\jabref\gui\externalfiles\ChainedFilters.java,0.00,3.00,0.00,0.00,None,3.00
src\main\java\org\jabref\gui\externalfiles\DateRange.java,0.00,75.00,0.00,0.00,logic,75.00
src\main\java\org\jabref\gui\externalfiles\DownloadFullTextAction.java,5.00,85.00,5.00,5.00,logic,85.00
src\main\java\org\jabref\gui\externalfiles\ExternalFilesEntryLinker.java,0.00,85.00,0.00,0.00,logic,85.00
src\main\java\org\jabref\gui\externalfiles\ExternalFileSorter.java,5.00,10.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\externalfiles\FileDownloadTask.java,5.00,10.00,3.00,2.00,None,10.00
src\main\java\org\jabref\gui\externalfiles\FileExtensionViewModel.java,5.00,30.00,0.00,10.00,None,30.00
src\main\java\org\jabref\gui\externalfiles\FileFilterUtils.java,5.00,85.00,2.00,8.00,logic,85.00
src\main\java\org\jabref\gui\externalfiles\FindUnlinkedFilesAction.java,5.00,30.00,2.00,3.00,None,30.00
src\main\java\org\jabref\gui\externalfiles\GitIgnoreFileFilter.java,0.00,85.00,0.00,0.00,logic,85.00
src\main\java\org\jabref\gui\externalfiles\ImportHandler.java,0.00,85.00,0.00,0.00,logic,85.00
src\main\java\org\jabref\gui\externalfiles\ImportFilesResultItemViewModel.java,20.00,40.00,5.00,5.00,None,40.00
src\main\java\org\jabref\gui\externalfiles\UnlinkedFilesCrawler.java,0.00,85.00,0.00,0.00,logic,85.00
src\main\java\org\jabref\gui\externalfiles\UnlinkedFilesDialogViewModel.java,0.00,85.00,0.00,0.00,logic,85.00
src\main\java\org\jabref\gui\externalfiles\UnlinkedFilesDialogView.java,5.00,85.00,0.00,10.00,logic,85.00
src\main\java\org\jabref\gui\externalfiles\UnlinkedPDFFileFilter.java,10.00,80.00,5.00,10.00,logic,80.00
src\main\java\org\jabref\gui\externalfiletype\CustomExternalFileType.java,0.00,0.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\externalfiletype\ExternalFileType.java,0.00,0.00,0.00,65.00,preferences,65.00
src\main\java\org\jabref\gui\externalfiletype\ExternalFileTypes.java,0.00,0.00,0.00,95.00,preferences,95.00
src\main\java\org\jabref\gui\externalfiletype\UnknownExternalFileType.java,0.00,0.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\externalfiletype\StandardExternalFileType.java,0.00,0.00,0.00,75.00,preferences,75.00
src\main\java\org\jabref\gui\fieldeditors\contextmenu\DefaultMenu.java,0.00,1.00,0.00,0.00,None,1.00
src\main\java\org\jabref\gui\fieldeditors\contextmenu\EditorContextAction.java,5.00,20.00,1.00,4.00,None,20.00
src\main\java\org\jabref\gui\fieldeditors\contextmenu\EditorMenus.java,0.00,15.00,0.00,0.00,None,15.00
src\main\java\org\jabref\gui\fieldeditors\contextmenu\ProtectedTermsMenu.java,0.00,0.00,0.00,90.00,preferences,90.00
src\main\java\org\jabref\gui\fieldeditors\identifier\DoiIdentifierEditorViewModel.java,5.00,70.00,2.00,3.00,logic,70.00
src\main\java\org\jabref\gui\fieldeditors\identifier\BaseIdentifierEditorViewModel.java,8.00,67.00,2.00,23.00,logic,67.00
src\main\java\org\jabref\gui\fieldeditors\identifier\EprintIdentifierEditorViewModel.java,10.00,5.00,1.00,2.00,None,10.00
src\main\java\org\jabref\gui\fieldeditors\identifier\IdentifierEditor.java,5.00,15.00,0.00,3.00,None,15.00
src\main\java\org\jabref\gui\fieldeditors\identifier\ISBNIdentifierEditorViewModel.java,5.00,90.00,1.00,4.00,logic,90.00
src\main\java\org\jabref\gui\fieldeditors\AbstractEditorViewModel.java,15.00,5.00,0.00,5.00,None,15.00
src\main\java\org\jabref\gui\fieldeditors\CitationKeyEditor.java,5.00,30.00,1.00,5.00,None,30.00
src\main\java\org\jabref\gui\fieldeditors\CitationKeyEditorViewModel.java,2.00,15.00,1.00,3.00,None,15.00
src\main\java\org\jabref\gui\fieldeditors\ContextMenuAddable.java,0.00,5.00,0.00,0.00,None,5.00
src\main\java\org\jabref\gui\fieldeditors\DateEditor.java,15.00,5.00,0.00,2.00,None,15.00
src\main\java\org\jabref\gui\fieldeditors\DateEditorViewModel.java,0.00,0.00,0.00,20.00,None,20.00
src\main\java\org\jabref\gui\fieldeditors\EditorTextArea.java,2.00,5.00,1.00,3.00,None,5.00
src\main\java\org\jabref\gui\fieldeditors\EditorTextField.java,3.00,5.00,1.00,15.00,None,15.00
src\main\java\org\jabref\gui\fieldeditors\EditorTypeEditorViewModel.java,2.00,3.00,1.00,4.00,None,4.00
src\main\java\org\jabref\gui\fieldeditors\EditorValidator.java,5.00,8.00,0.00,20.00,None,20.00
src\main\java\org\jabref\gui\fieldeditors\FieldEditorFX.java,70.00,15.00,5.00,10.00,model,70.00
src\main\java\org\jabref\gui\fieldeditors\FieldEditors.java,5.00,85.00,1.00,9.00,logic,85.00
src\main\java\org\jabref\gui\fieldeditors\FieldNameLabel.java,10.00,5.00,0.00,5.00,None,10.00
src\main\java\org\jabref\gui\fieldeditors\GenderEditorViewModel.java,5.00,10.00,0.00,25.00,None,25.00
src\main\java\org\jabref\gui\fieldeditors\JournalEditor.java,0.00,10.00,0.00,5.00,None,10.00
src\main\java\org\jabref\gui\fieldeditors\JournalEditorViewModel.java,5.00,15.00,1.00,25.00,None,25.00
src\main\java\org\jabref\gui\fieldeditors\KeywordsEditor.java,3.00,10.00,1.00,2.00,None,10.00
src\main\java\org\jabref\gui\fieldeditors\LinkedEntriesEditorViewModel.java,5.00,85.00,5.00,5.00,logic,85.00
src\main\java\org\jabref\gui\fieldeditors\LinkedEntriesEditor.java,5.00,85.00,1.00,9.00,logic,85.00
src\main\java\org\jabref\gui\fieldeditors\LinkedFilesEditor.java,5.00,70.00,2.00,10.00,logic,70.00
src\main\java\org\jabref\gui\fieldeditors\LinkedFilesEditorViewModel.java,20.00,60.00,2.00,5.00,logic,60.00
src\main\java\org\jabref\gui\fieldeditors\LinkedFileViewModel.java,0.00,93.00,0.00,0.00,logic,93.00
src\main\java\org\jabref\gui\fieldeditors\MapBasedEditorViewModel.java,1.00,4.00,0.00,8.00,None,8.00
src\main\java\org\jabref\gui\fieldeditors\MonthEditorViewModel.java,25.00,0.00,0.00,0.00,None,25.00
src\main\java\org\jabref\gui\fieldeditors\OptionEditorViewModel.java,0.00,0.00,0.00,40.00,None,40.00
src\main\java\org\jabref\gui\fieldeditors\OptionEditor.java,30.00,10.00,5.00,15.00,None,30.00
src\main\java\org\jabref\gui\fieldeditors\OwnerEditor.java,20.00,10.00,5.00,5.00,None,20.00
src\main\java\org\jabref\gui\fieldeditors\OwnerEditorViewModel.java,30.00,0.00,0.00,0.00,None,30.00
src\main\java\org\jabref\gui\fieldeditors\PaginationEditorViewModel.java,5.00,92.00,1.00,2.00,logic,92.00
